ybin,ybin_numeric,lum_bin,count,y_mm,relres
"(0.00238,0.34]",1,buffer,0,0,0
"(0.34,0.661]",2,buffer,0,0.324,0
"(0.661,0.982]",3,buffer,0,0.648,0
"(0.982,1.3]",4,buffer,197,0.972,0.32487227575502814
"(1.3,1.62]",5,buffer,305,1.296,0.5029748431740283
"(1.62,1.95]",6,buffer,295,1.62,0.4864838647093061
"(1.95,2.27]",7,buffer,235,1.944,0.38753799392097266
"(2.27,2.59]",8,buffer,388,2.2680000000000002,0.6398499644312229
"(2.59,2.91]",9,buffer,575,2.592,0.9482312617215288
"(2.91,3.23]",10,buffer,320,2.916,0.5277113108711117
"(3.23,3.55]",11,buffer,296,3.24,0.4881329625557783
"(3.55,3.87]",12,buffer,282,3.564,0.4650455927051672
"(3.87,4.19]",13,buffer,186,3.888,0.3067321994438337
"(4.19,4.52]",14,buffer,290,4.212,0.478238375476945
"(4.52,4.84]",15,buffer,1189,4.5360000000000005,1.9607773394554744
"(4.84,5.16]",16,buffer,997,4.86,1.6441505529328073
"(4.84,5.16]",16,dye,79,5.184,0.1302787298713057
"(5.16,5.48]",17,dye,1345,5.508,2.2180366035051415
"(5.48,5.8]",18,dye,1249,5.832,2.0597232102438077
"(5.8,6.12]",19,dye,851,6.156000000000001,1.4033822673478626
"(6.12,6.44]",20,dye,611,6.48,1.0075987841945289
"(6.44,6.76]",21,dye,784,6.804,1.2928927116342237
"(6.76,7.09]",22,dye,1194,7.128,1.9690228286878355
"(7.09,7.41]",23,dye,1264,7.452,2.0844596779408913
"(7.41,7.73]",24,dye,941,7.776,1.551801073530363
"(7.73,8.05]",25,dye,701,8.1,1.1560175903770291
"(8.05,8.37]",26,dye,568,8.424,0.9366875767962233
"(8.37,8.69]",27,dye,527,8.748000000000001,0.8690745650908621
"(8.69,9.01]",28,dye,647,9.072000000000001,1.066966306667529
"(9.01,9.34]",29,dye,804,9.396,1.3258746685636682
"(9.34,9.66]",30,dye,388,9.72,0.6398499644312229
"(9.66,9.98]",31,dye,1010,10.044,1.6655888249369464
"(9.98,10.3]",32,dye,1507,10.368,2.4851904546336416
"(10.3,10.6]",33,dye,1143,10.692,1.884918838517752
"(10.6,10.9]",34,dye,2836,11.016,4.676841492595227
"(10.9,11.3]",35,buffer,2447,11.34,4.035342430317533
"(11.3,11.6]",36,buffer,1405,11.664,2.3169824742934746
"(11.6,11.9]",37,buffer,475,11.988,0.7833214770743064
"(11.9,12.2]",38,buffer,523,12.312000000000001,0.86247817370497315
"(12.2,12.5]",39,buffer,269,12.636000000000001,0.44360732070102826
"(12.5,12.9]",40,buffer,104,12.96,0.1715061760331113
"(12.9,13.2]",41,buffer,310,13.284,0.5112203324063894
"(13.2,13.5]",42,buffer,323,13.608,0.5326586044105284
"(13.5,13.8]",43,buffer,382,13.932,0.6299553773523896
"(13.8,14.2]",44,buffer,277,14.256,0.4568001034728061
"(14.2,14.5]",45,buffer,243,14.58,0.4007307766927504
"(14.5,14.8]",46,buffer,128,14.904,0.21108452434844469
"(14.8,15.1]",47,buffer,36,15.228,0.05936752247300007
"(15.1,15.4]",48,buffer,0,15.552,0
"(15.4,15.8]",49,buffer,0,15.876000000000001,0
"(15.8,16.1]",50,buffer,0,16.2,0
