ypos,lum_bin,worm,time,y_mm
55,buffer,1,1231,1.015481651376147
55,buffer,1,1346,1.015481651376147
55,buffer,1,2059,1.015481651376147
55,buffer,1,2220,1.015481651376147
55,buffer,1,2255,1.015481651376147
55,buffer,4,1824,1.015481651376147
55,buffer,4,1838,1.015481651376147
55,buffer,4,1871,1.015481651376147
55,buffer,4,1947,1.015481651376147
55,buffer,4,2211,1.015481651376147
55,buffer,4,2215,1.015481651376147
55,buffer,5,1697,1.015481651376147
55,buffer,6,367,1.015481651376147
56,buffer,1,1394,1.0339449541284407
56,buffer,1,2121,1.0339449541284407
56,buffer,1,2311,1.0339449541284407
56,buffer,1,2388,1.0339449541284407
56,buffer,2,262,1.0339449541284407
56,buffer,4,1948,1.0339449541284407
56,buffer,4,1951,1.0339449541284407
56,buffer,4,2170,1.0339449541284407
56,buffer,4,2212,1.0339449541284407
56,buffer,4,2294,1.0339449541284407
56,buffer,4,2296,1.0339449541284407
56,buffer,5,1717,1.0339449541284407
56,buffer,5,1719,1.0339449541284407
56,buffer,5,2275,1.0339449541284407
56,buffer,5,2355,1.0339449541284407
56,buffer,10,2016,1.0339449541284407
56,buffer,10,2179,1.0339449541284407
56,buffer,23,1028,1.0339449541284407
57,buffer,1,1230,1.0524082568807342
57,buffer,1,1347,1.0524082568807342
57,buffer,1,1920,1.0524082568807342
57,buffer,1,2312,1.0524082568807342
57,buffer,2,332,1.0524082568807342
57,buffer,4,1669,1.0524082568807342
57,buffer,4,1670,1.0524082568807342
57,buffer,4,1671,1.0524082568807342
57,buffer,4,1672,1.0524082568807342
57,buffer,4,1673,1.0524082568807342
57,buffer,4,1674,1.0524082568807342
57,buffer,4,1675,1.0524082568807342
57,buffer,4,1676,1.0524082568807342
57,buffer,4,1677,1.0524082568807342
57,buffer,4,1678,1.0524082568807342
57,buffer,4,1851,1.0524082568807342
57,buffer,4,1952,1.0524082568807342
57,buffer,4,2213,1.0524082568807342
57,buffer,5,1568,1.0524082568807342
57,buffer,5,1718,1.0524082568807342
57,buffer,5,2348,1.0524082568807342
57,buffer,6,432,1.0524082568807342
57,buffer,6,488,1.0524082568807342
57,buffer,10,2111,1.0524082568807342
57,buffer,10,2112,1.0524082568807342
57,buffer,10,2145,1.0524082568807342
57,buffer,13,1859,1.0524082568807342
57,buffer,25,492,1.0524082568807342
58,buffer,1,1348,1.0708715596330278
58,buffer,1,2056,1.0708715596330278
58,buffer,1,2057,1.0708715596330278
58,buffer,1,2058,1.0708715596330278
58,buffer,1,2254,1.0708715596330278
58,buffer,2,129,1.0708715596330278
58,buffer,4,1679,1.0708715596330278
58,buffer,4,1680,1.0708715596330278
58,buffer,4,1681,1.0708715596330278
58,buffer,4,1953,1.0708715596330278
58,buffer,4,1954,1.0708715596330278
58,buffer,4,1955,1.0708715596330278
58,buffer,5,1712,1.0708715596330278
58,buffer,10,2113,1.0708715596330278
58,buffer,10,2148,1.0708715596330278
58,buffer,10,2152,1.0708715596330278
58,buffer,23,1029,1.0708715596330278
59,buffer,1,1229,1.0893348623853214
59,buffer,1,2250,1.0893348623853214
59,buffer,1,2253,1.0893348623853214
59,buffer,1,2313,1.0893348623853214
59,buffer,1,2387,1.0893348623853214
59,buffer,2,128,1.0893348623853214
59,buffer,2,137,1.0893348623853214
59,buffer,2,225,1.0893348623853214
59,buffer,2,333,1.0893348623853214
59,buffer,4,1682,1.0893348623853214
59,buffer,4,1683,1.0893348623853214
59,buffer,4,1825,1.0893348623853214
59,buffer,4,1829,1.0893348623853214
59,buffer,4,1830,1.0893348623853214
59,buffer,4,1831,1.0893348623853214
59,buffer,4,1837,1.0893348623853214
59,buffer,4,1839,1.0893348623853214
59,buffer,4,1848,1.0893348623853214
59,buffer,4,1849,1.0893348623853214
59,buffer,4,1850,1.0893348623853214
59,buffer,4,1956,1.0893348623853214
59,buffer,4,1957,1.0893348623853214
59,buffer,4,2214,1.0893348623853214
59,buffer,5,1567,1.0893348623853214
59,buffer,5,1631,1.0893348623853214
59,buffer,5,1720,1.0893348623853214
59,buffer,5,2274,1.0893348623853214
59,buffer,5,2349,1.0893348623853214
59,buffer,6,495,1.0893348623853214
59,buffer,10,1964,1.0893348623853214
59,buffer,10,2110,1.0893348623853214
59,buffer,23,1030,1.0893348623853214
60,buffer,1,1228,1.107798165137615
60,buffer,1,1349,1.107798165137615
60,buffer,1,1350,1.107798165137615
60,buffer,1,1393,1.107798165137615
60,buffer,1,2049,1.107798165137615
60,buffer,1,2122,1.107798165137615
60,buffer,2,132,1.107798165137615
60,buffer,2,133,1.107798165137615
60,buffer,2,134,1.107798165137615
60,buffer,2,226,1.107798165137615
60,buffer,2,334,1.107798165137615
60,buffer,2,336,1.107798165137615
60,buffer,4,1649,1.107798165137615
60,buffer,4,1666,1.107798165137615
60,buffer,4,1828,1.107798165137615
60,buffer,4,1958,1.107798165137615
60,buffer,4,2169,1.107798165137615
60,buffer,5,1710,1.107798165137615
60,buffer,6,365,1.107798165137615
60,buffer,6,368,1.107798165137615
60,buffer,6,369,1.107798165137615
60,buffer,6,431,1.107798165137615
60,buffer,6,489,1.107798165137615
60,buffer,10,2114,1.107798165137615
61,buffer,1,1351,1.1262614678899086
61,buffer,1,1921,1.1262614678899086
61,buffer,1,2055,1.1262614678899086
61,buffer,1,2251,1.1262614678899086
61,buffer,1,2252,1.1262614678899086
61,buffer,1,2314,1.1262614678899086
61,buffer,2,135,1.1262614678899086
61,buffer,2,136,1.1262614678899086
61,buffer,2,202,1.1262614678899086
61,buffer,2,335,1.1262614678899086
61,buffer,2,337,1.1262614678899086
61,buffer,4,1648,1.1262614678899086
61,buffer,4,1665,1.1262614678899086
61,buffer,4,1684,1.1262614678899086
61,buffer,4,1959,1.1262614678899086
61,buffer,4,2297,1.1262614678899086
61,buffer,5,1699,1.1262614678899086
61,buffer,5,1711,1.1262614678899086
61,buffer,5,1721,1.1262614678899086
61,buffer,6,354,1.1262614678899086
61,buffer,10,2109,1.1262614678899086
61,buffer,10,2115,1.1262614678899086
61,buffer,10,2144,1.1262614678899086
61,buffer,13,1858,1.1262614678899086
62,buffer,1,1392,1.1447247706422021
62,buffer,1,2044,1.1447247706422021
62,buffer,1,2219,1.1447247706422021
62,buffer,1,2315,1.1447247706422021
62,buffer,2,127,1.1447247706422021
62,buffer,2,224,1.1447247706422021
62,buffer,4,1660,1.1447247706422021
62,buffer,4,1661,1.1447247706422021
62,buffer,4,1662,1.1447247706422021
62,buffer,4,1847,1.1447247706422021
62,buffer,5,2273,1.1447247706422021
62,buffer,5,2350,1.1447247706422021
62,buffer,5,2354,1.1447247706422021
62,buffer,6,355,1.1447247706422021
62,buffer,10,2108,1.1447247706422021
62,buffer,10,2116,1.1447247706422021
62,buffer,10,2151,1.1447247706422021
62,buffer,10,2180,1.1447247706422021
63,buffer,1,1227,1.1631880733944957
63,buffer,1,1391,1.1631880733944957
63,buffer,1,1922,1.1631880733944957
63,buffer,1,2020,1.1631880733944957
63,buffer,1,2040,1.1631880733944957
63,buffer,1,2041,1.1631880733944957
63,buffer,1,2045,1.1631880733944957
63,buffer,1,2316,1.1631880733944957
63,buffer,1,2386,1.1631880733944957
63,buffer,2,130,1.1631880733944957
63,buffer,2,138,1.1631880733944957
63,buffer,2,201,1.1631880733944957
63,buffer,2,203,1.1631880733944957
63,buffer,2,261,1.1631880733944957
63,buffer,2,338,1.1631880733944957
63,buffer,4,1647,1.1631880733944957
63,buffer,4,1650,1.1631880733944957
63,buffer,4,1657,1.1631880733944957
63,buffer,4,1658,1.1631880733944957
63,buffer,4,1659,1.1631880733944957
63,buffer,4,1663,1.1631880733944957
63,buffer,4,1685,1.1631880733944957
63,buffer,4,1960,1.1631880733944957
63,buffer,4,2168,1.1631880733944957
63,buffer,4,2298,1.1631880733944957
63,buffer,5,2351,1.1631880733944957
63,buffer,6,428,1.1631880733944957
63,buffer,6,429,1.1631880733944957
63,buffer,6,490,1.1631880733944957
63,buffer,6,494,1.1631880733944957
63,buffer,6,496,1.1631880733944957
63,buffer,23,1031,1.1631880733944957
63,buffer,23,1035,1.1631880733944957
63,buffer,23,1036,1.1631880733944957
64,buffer,1,1387,1.1816513761467893
64,buffer,1,1388,1.1816513761467893
64,buffer,1,1389,1.1816513761467893
64,buffer,1,1390,1.1816513761467893
64,buffer,1,2043,1.1816513761467893
64,buffer,1,2053,1.1816513761467893
64,buffer,1,2054,1.1816513761467893
64,buffer,1,2317,1.1816513761467893
64,buffer,1,2327,1.1816513761467893
64,buffer,2,7,1.1816513761467893
64,buffer,2,126,1.1816513761467893
64,buffer,4,1664,1.1816513761467893
64,buffer,5,2272,1.1816513761467893
64,buffer,5,2352,1.1816513761467893
64,buffer,6,356,1.1816513761467893
64,buffer,10,2017,1.1816513761467893
64,buffer,10,2117,1.1816513761467893
64,buffer,10,2118,1.1816513761467893
64,buffer,10,2122,1.1816513761467893
64,buffer,13,1857,1.1816513761467893
65,buffer,1,1226,1.2001146788990829
65,buffer,1,1352,1.2001146788990829
65,buffer,1,1386,1.2001146788990829
65,buffer,1,2021,1.2001146788990829
65,buffer,1,2039,1.2001146788990829
65,buffer,1,2048,1.2001146788990829
65,buffer,1,2050,1.2001146788990829
65,buffer,1,2318,1.2001146788990829
65,buffer,1,2319,1.2001146788990829
65,buffer,1,2320,1.2001146788990829
65,buffer,1,2322,1.2001146788990829
65,buffer,1,2323,1.2001146788990829
65,buffer,1,2324,1.2001146788990829
65,buffer,1,2325,1.2001146788990829
65,buffer,1,2326,1.2001146788990829
65,buffer,1,2328,1.2001146788990829
65,buffer,1,2329,1.2001146788990829
65,buffer,1,2330,1.2001146788990829
65,buffer,1,2331,1.2001146788990829
65,buffer,1,2332,1.2001146788990829
65,buffer,1,2333,1.2001146788990829
65,buffer,1,2334,1.2001146788990829
65,buffer,1,2335,1.2001146788990829
65,buffer,1,2336,1.2001146788990829
65,buffer,1,2337,1.2001146788990829
65,buffer,2,8,1.2001146788990829
65,buffer,2,18,1.2001146788990829
65,buffer,2,131,1.2001146788990829
65,buffer,2,186,1.2001146788990829
65,buffer,4,1656,1.2001146788990829
65,buffer,4,1787,1.2001146788990829
65,buffer,4,2299,1.2001146788990829
65,buffer,5,1566,1.2001146788990829
65,buffer,5,1696,1.2001146788990829
65,buffer,5,2353,1.2001146788990829
65,buffer,6,430,1.2001146788990829
65,buffer,10,2107,1.2001146788990829
65,buffer,10,2119,1.2001146788990829
65,buffer,10,2120,1.2001146788990829
65,buffer,10,2121,1.2001146788990829
65,buffer,10,2123,1.2001146788990829
65,buffer,10,2124,1.2001146788990829
65,buffer,10,2125,1.2001146788990829
65,buffer,10,2126,1.2001146788990829
65,buffer,10,2128,1.2001146788990829
65,buffer,10,2129,1.2001146788990829
