ypos,lum_bin,worm,time,y_mm
52,buffer,1,1958,1.0165628109452736
52,buffer,2,47,1.0165628109452736
52,buffer,2,96,1.0165628109452736
52,buffer,2,97,1.0165628109452736
52,buffer,2,312,1.0165628109452736
52,buffer,2,757,1.0165628109452736
52,buffer,2,761,1.0165628109452736
52,buffer,2,1556,1.0165628109452736
52,buffer,2,1763,1.0165628109452736
52,buffer,2,1889,1.0165628109452736
52,buffer,2,2227,1.0165628109452736
52,buffer,7,202,1.0165628109452736
52,buffer,7,469,1.0165628109452736
52,buffer,7,474,1.0165628109452736
52,buffer,7,475,1.0165628109452736
52,buffer,9,1669,1.0165628109452736
52,buffer,9,1719,1.0165628109452736
52,buffer,9,1827,1.0165628109452736
52,buffer,9,1828,1.0165628109452736
52,buffer,10,154,1.0165628109452736
52,buffer,10,624,1.0165628109452736
52,buffer,10,851,1.0165628109452736
52,buffer,11,1434,1.0165628109452736
52,buffer,11,1635,1.0165628109452736
52,buffer,11,1660,1.0165628109452736
52,buffer,12,2306,1.0165628109452736
52,buffer,13,1734,1.0165628109452736
52,buffer,15,87,1.0165628109452736
52,buffer,15,110,1.0165628109452736
52,buffer,15,191,1.0165628109452736
52,buffer,15,445,1.0165628109452736
52,buffer,17,102,1.0165628109452736
52,buffer,17,110,1.0165628109452736
52,buffer,21,240,1.0165628109452736
52,buffer,23,1485,1.0165628109452736
52,buffer,25,2107,1.0165628109452736
52,buffer,25,2108,1.0165628109452736
52,buffer,25,2355,1.0165628109452736
52,buffer,26,677,1.0165628109452736
52,buffer,27,807,1.0165628109452736
52,buffer,27,808,1.0165628109452736
52,buffer,27,810,1.0165628109452736
52,buffer,27,1394,1.0165628109452736
52,buffer,27,1395,1.0165628109452736
52,buffer,27,1399,1.0165628109452736
52,buffer,27,1404,1.0165628109452736
52,buffer,27,1405,1.0165628109452736
52,buffer,27,1938,1.0165628109452736
52,buffer,27,1943,1.0165628109452736
52,buffer,27,1955,1.0165628109452736
52,buffer,30,1830,1.0165628109452736
52,buffer,32,317,1.0165628109452736
52,buffer,32,321,1.0165628109452736
52,buffer,32,322,1.0165628109452736
52,buffer,32,324,1.0165628109452736
52,buffer,32,328,1.0165628109452736
52,buffer,32,329,1.0165628109452736
52,buffer,32,330,1.0165628109452736
52,buffer,32,331,1.0165628109452736
52,buffer,32,335,1.0165628109452736
52,buffer,32,340,1.0165628109452736
52,buffer,32,341,1.0165628109452736
53,buffer,1,1980,1.0361120957711443
53,buffer,1,1981,1.0361120957711443
53,buffer,2,98,1.0361120957711443
53,buffer,2,140,1.0361120957711443
53,buffer,2,141,1.0361120957711443
53,buffer,2,142,1.0361120957711443
53,buffer,2,276,1.0361120957711443
53,buffer,2,302,1.0361120957711443
53,buffer,2,313,1.0361120957711443
53,buffer,2,314,1.0361120957711443
53,buffer,2,315,1.0361120957711443
53,buffer,2,756,1.0361120957711443
53,buffer,2,762,1.0361120957711443
53,buffer,2,1246,1.0361120957711443
53,buffer,2,1463,1.0361120957711443
53,buffer,2,1470,1.0361120957711443
53,buffer,2,1764,1.0361120957711443
53,buffer,3,2027,1.0361120957711443
53,buffer,7,470,1.0361120957711443
53,buffer,7,473,1.0361120957711443
53,buffer,10,625,1.0361120957711443
53,buffer,11,617,1.0361120957711443
53,buffer,11,1390,1.0361120957711443
53,buffer,11,1636,1.0361120957711443
53,buffer,12,2305,1.0361120957711443
53,buffer,12,2356,1.0361120957711443
53,buffer,13,1661,1.0361120957711443
53,buffer,13,1696,1.0361120957711443
53,buffer,13,1731,1.0361120957711443
53,buffer,13,2064,1.0361120957711443
53,buffer,15,118,1.0361120957711443
53,buffer,15,188,1.0361120957711443
53,buffer,17,108,1.0361120957711443
53,buffer,17,109,1.0361120957711443
53,buffer,21,148,1.0361120957711443
53,buffer,21,161,1.0361120957711443
53,buffer,23,15,1.0361120957711443
53,buffer,23,16,1.0361120957711443
53,buffer,23,17,1.0361120957711443
53,buffer,23,19,1.0361120957711443
53,buffer,23,1533,1.0361120957711443
53,buffer,25,1875,1.0361120957711443
53,buffer,25,2311,1.0361120957711443
53,buffer,27,1406,1.0361120957711443
53,buffer,27,1954,1.0361120957711443
53,buffer,28,2013,1.0361120957711443
53,buffer,30,1826,1.0361120957711443
53,buffer,30,1884,1.0361120957711443
53,buffer,30,1885,1.0361120957711443
53,buffer,32,625,1.0361120957711443
54,buffer,2,99,1.055661380597015
54,buffer,2,143,1.055661380597015
54,buffer,2,277,1.055661380597015
54,buffer,2,278,1.055661380597015
54,buffer,2,280,1.055661380597015
54,buffer,2,856,1.055661380597015
54,buffer,2,857,1.055661380597015
54,buffer,2,1589,1.055661380597015
54,buffer,2,1767,1.055661380597015
54,buffer,2,1768,1.055661380597015
54,buffer,2,2129,1.055661380597015
54,buffer,2,2223,1.055661380597015
54,buffer,2,2295,1.055661380597015
54,buffer,7,471,1.055661380597015
54,buffer,7,472,1.055661380597015
54,buffer,9,1842,1.055661380597015
54,buffer,10,151,1.055661380597015
54,buffer,10,152,1.055661380597015
54,buffer,10,153,1.055661380597015
54,buffer,10,626,1.055661380597015
54,buffer,13,1141,1.055661380597015
54,buffer,13,1146,1.055661380597015
54,buffer,13,1148,1.055661380597015
54,buffer,13,1182,1.055661380597015
54,buffer,13,1184,1.055661380597015
54,buffer,13,1670,1.055661380597015
54,buffer,13,1677,1.055661380597015
54,buffer,15,111,1.055661380597015
54,buffer,15,187,1.055661380597015
54,buffer,15,443,1.055661380597015
54,buffer,15,444,1.055661380597015
54,buffer,17,107,1.055661380597015
54,buffer,17,249,1.055661380597015
54,buffer,23,18,1.055661380597015
54,buffer,23,73,1.055661380597015
54,buffer,25,2061,1.055661380597015
54,buffer,26,646,1.055661380597015
54,buffer,27,883,1.055661380597015
54,buffer,27,1393,1.055661380597015
54,buffer,27,1407,1.055661380597015
54,buffer,27,1937,1.055661380597015
54,buffer,27,1944,1.055661380597015
54,buffer,28,2012,1.055661380597015
54,buffer,30,1827,1.055661380597015
54,buffer,30,1829,1.055661380597015
54,buffer,30,1864,1.055661380597015
54,buffer,30,1867,1.055661380597015
54,buffer,30,1868,1.055661380597015
54,buffer,32,344,1.055661380597015
54,buffer,32,393,1.055661380597015
55,buffer,1,1957,1.0752106654228855
55,buffer,1,1982,1.0752106654228855
55,buffer,2,100,1.0752106654228855
55,buffer,2,139,1.0752106654228855
55,buffer,2,301,1.0752106654228855
55,buffer,2,316,1.0752106654228855
55,buffer,2,1157,1.0752106654228855
55,buffer,2,1411,1.0752106654228855
55,buffer,2,1765,1.0752106654228855
55,buffer,2,1766,1.0752106654228855
55,buffer,2,2224,1.0752106654228855
55,buffer,7,497,1.0752106654228855
55,buffer,9,1667,1.0752106654228855
