ybin,ybin_numeric,lum_bin,count,y_mm,relres
"(0.00266,0.337]",1,buffer,0,0,0
"(0.337,0.655]",2,buffer,0,0.3176470588235294,0
"(0.655,0.974]",3,buffer,0,0.6352941176470588,0
"(0.974,1.29]",4,buffer,1278,0.9529411764705882,1.8020500027116437
"(1.29,1.61]",5,buffer,1597,1.2705882352941176,2.2518574760019523
"(1.61,1.93]",6,buffer,1180,1.588235294117647,1.6638646347415802
"(1.93,2.25]",7,buffer,1269,1.9058823529411764,1.7893595097348012
"(2.25,2.57]",8,buffer,1356,2.223529411764706,1.9120342751776125
"(2.57,2.88]",9,buffer,1339,2.541176470588235,1.8880633439991321
"(2.88,3.2]",10,buffer,940,2.8588235294117643,1.3254514886924453
"(3.2,3.52]",11,buffer,1077,3.176470588235294,1.5186289928954932
"(3.52,3.84]",12,buffer,1061,3.4941176470588236,1.4960681164922174
"(3.84,4.16]",13,buffer,1262,3.8117647058823527,1.779489126308368
"(4.16,4.48]",14,buffer,1613,4.129411764705882,2.274418352405228
"(4.48,4.8]",15,buffer,1735,4.447058823529412,2.4464450349802047
"(4.8,5.11]",16,buffer,2134,4.764705882352941,3.009056890286892
"(4.8,5.11]",16,dye,301,5.08235294117647,0.4244264873366234
"(5.11,5.43]",17,dye,574,5.3999999999999995,0.8093714409675145
"(5.43,5.75]",18,dye,223,5.717647058823529,0.31444221487065455
"(5.75,6.07]",19,dye,67,6.035294117647059,0.09447366993871685
"(6.07,6.39]",20,dye,101,6.352941176470588,0.14241553229567763
"(6.39,6.71]",21,dye,117,6.670588235294117,0.1649764086989533
"(6.71,7.02]",22,dye,129,6.988235294117647,0.18189706600141003
"(7.02,7.34]",23,dye,248,7.305882352941176,0.3496935842507728
"(7.34,7.66]",24,dye,155,7.6235294117647054,0.218558490156733
"(7.66,7.98]",25,dye,269,7.941176470588235,0.37930473453007213
"(7.98,8.3]",26,dye,207,8.258823529411764,0.2918813384673789
"(8.3,8.62]",27,dye,105,8.576470588235294,0.14805575139649654
"(8.62,8.93]",28,dye,201,8.894117647058824,0.28342100981615054
"(8.93,9.25]",29,dye,139,9.211764705882352,0.19599761375345734
"(9.25,9.57]",30,dye,101,9.529411764705882,0.14241553229567763
"(9.57,9.89]",31,dye,125,9.84705882352941,0.17625684690059112
"(9.89,10.2]",32,dye,161,10.16470588235294,0.22701881880796138
"(10.2,10.5]",33,dye,201,10.48235294117647,0.28342100981615054
"(10.5,10.8]",34,dye,376,10.799999999999999,0.5301805954769782
"(10.8,11.2]",35,buffer,823,11.117647058823529,1.160475079993492
"(10.8,11.2]",35,dye,169,11.435294117647057,0.2382992570095992
"(11.2,11.5]",36,buffer,1461,11.752941176470587,2.060090026574109
"(11.5,11.8]",37,buffer,1373,12.070588235294117,1.9360052063560929
"(11.8,12.1]",38,buffer,1017,12.388235294117646,1.4340257063832094
"(12.1,12.4]",39,buffer,1376,12.705882352941176,1.940235370681707
"(12.4,12.8]",40,buffer,1433,13.023529411764706,2.0206084928683765
"(12.8,13.1]",41,buffer,1209,13.341176470588234,1.7047562232225173
"(13.1,13.4]",42,buffer,1001,13.658823529411764,1.4114648299799337
"(13.4,13.7]",43,buffer,1391,13.976470588235294,1.9613861923097782
"(13.7,14]",44,buffer,1115,14.294117647058822,1.572211074353273
"(14,14.3]",45,buffer,1141,14.611764705882353,1.6088724985085958
"(14.3,14.7]",46,buffer,1123,14.92941176470588,1.5834915125549107
"(14.7,15]",47,buffer,605,15.247058823529411,0.853083138998861
"(15,15.3]",48,buffer,0,15.564705882352941,0
"(15.3,15.6]",49,buffer,0,15.88235294117647,0
"(15.6,16]",50,buffer,0,16.2,0
