ybin,ybin_numeric,lum_bin,count,y_mm,relres
"(0.0031,0.335]",1,buffer,0,0,0
"(0.0031,0.335]",1,dye,0,0.31153846153846154,0
"(0.335,0.651]",2,buffer,0,0.6230769230769231,0
"(0.651,0.968]",3,buffer,0,0.9346153846153846,0
"(0.968,1.28]",4,buffer,1220,1.2461538461538462,1.9146038138102572
"(1.28,1.6]",5,buffer,1127,1.5576923076923077,1.7686545066919344
"(1.6,1.92]",6,buffer,933,1.8692307692307693,1.464201113348336
"(1.92,2.23]",7,buffer,1043,2.180769230769231,1.636829326068933
"(2.23,2.55]",8,buffer,947,2.4923076923076923,1.4861719767855028
"(2.55,2.87]",9,buffer,1115,2.8038461538461537,1.7498223380315054
"(2.87,3.18]",10,buffer,1341,3.1153846153846154,2.104494847802914
"(3.18,3.5]",11,buffer,1527,3.426923076923077,2.3963934620395597
"(3.5,3.81]",12,buffer,1535,3.7384615384615385,2.408948241146512
"(3.81,4.13]",13,buffer,1695,4.05,2.6600438232855623
"(4.13,4.45]",14,buffer,1670,4.361538461538462,2.620810138576336
"(4.45,4.76]",15,buffer,1530,4.673076923076923,2.4011015042046666
"(4.76,5.08]",16,buffer,1413,4.984615384615385,2.2174878597654866
"(5.08,5.4]",17,buffer,163,5.296153846153846,0.2558036243041573
"(5.08,5.4]",17,dye,601,5.607692307692307,0.943177780409807
"(5.4,5.71]",18,dye,186,5.9192307692307695,0.29189861423664576
"(5.71,6.03]",19,dye,247,6.230769230769231,0.3876288049271586
"(6.03,6.34]",20,dye,163,6.542307692307692,0.2558036243041573
"(6.34,6.66]",21,dye,174,6.853846153846154,0.273066445576217
"(6.66,6.98]",22,dye,215,7.165384615384616,0.3374096884993486
"(6.98,7.29]",23,dye,249,7.476923076923077,0.39076749970389674
"(7.29,7.61]",24,dye,420,7.788461538461538,0.6591259031150065
"(7.61,7.93]",25,dye,355,8.1,0.5571183228710175
"(7.93,8.24]",26,dye,523,8.411538461538461,0.8207686841170201
"(8.24,8.56]",27,dye,271,8.723076923076924,0.4252931422480161
"(8.56,8.87]",28,dye,211,9.034615384615385,0.3311322989458723
"(8.87,9.19]",29,dye,182,9.346153846153847,0.28562122468316953
"(9.19,9.51]",30,dye,173,9.657692307692308,0.27149709818784795
"(9.51,9.82]",31,dye,241,9.96923076923077,0.3782127205969442
"(9.82,10.1]",32,dye,214,10.28076923076923,0.33584034111097955
"(10.1,10.5]",33,dye,252,10.592307692307692,0.3954755418690039
"(10.5,10.8]",34,dye,523,10.903846153846153,0.8207686841170201
"(10.8,11.1]",35,buffer,790,11.215384615384615,1.23978443681156
"(10.8,11.1]",35,dye,312,11.526923076923078,0.4896363851711477
"(11.1,11.4]",36,buffer,1067,11.838461538461539,1.6744936633897904
"(11.4,11.7]",37,buffer,957,12.15,1.5018654506691935
"(11.7,12]",38,buffer,987,12.461538461538462,1.5489458723202654
"(12,12.4]",39,buffer,901,12.773076923076923,1.413981996920526
"(12.4,12.7]",40,buffer,842,13.084615384615384,1.3213905010067513
"(12.7,13]",41,buffer,780,13.396153846153846,1.2240909629278693
"(13,13.3]",42,buffer,893,13.707692307692309,1.4014272178135734
"(13.3,13.6]",43,buffer,885,14.01923076923077,1.388872438706621
"(13.6,13.9]",44,buffer,901,14.330769230769231,1.413981996920526
"(13.9,14.2]",45,buffer,801,14.642307692307693,1.2570472580836196
"(14.2,14.6]",46,buffer,863,14.953846153846154,1.3543467961625015
"(14.6,14.9]",47,buffer,334,15.265384615384615,0.5241620277152671
"(14.9,15.2]",48,buffer,0,15.576923076923077,0
"(15.2,15.5]",49,buffer,0,15.888461538461538,0
"(15.5,15.8]",50,buffer,0,16.2,0
