ypos,lum_bin,worm,time,y_mm
55,buffer,3,1836,1.0111812297734635
55,buffer,3,1837,1.0111812297734635
55,buffer,3,2091,1.0111812297734635
55,buffer,3,2114,1.0111812297734635
55,buffer,3,2115,1.0111812297734635
55,buffer,3,2117,1.0111812297734635
55,buffer,3,2120,1.0111812297734635
55,buffer,3,2166,1.0111812297734635
55,buffer,6,1752,1.0111812297734635
55,buffer,6,1780,1.0111812297734635
55,buffer,6,1783,1.0111812297734635
55,buffer,6,1786,1.0111812297734635
55,buffer,6,1927,1.0111812297734635
55,buffer,7,329,1.0111812297734635
55,buffer,7,335,1.0111812297734635
55,buffer,7,337,1.0111812297734635
55,buffer,7,345,1.0111812297734635
55,buffer,7,1256,1.0111812297734635
55,buffer,7,1285,1.0111812297734635
55,buffer,7,1321,1.0111812297734635
55,buffer,7,1404,1.0111812297734635
55,buffer,7,1545,1.0111812297734635
55,buffer,7,2366,1.0111812297734635
55,buffer,8,1054,1.0111812297734635
55,buffer,10,1319,1.0111812297734635
55,buffer,10,1320,1.0111812297734635
55,buffer,10,1518,1.0111812297734635
55,buffer,10,1525,1.0111812297734635
55,buffer,10,1527,1.0111812297734635
55,buffer,10,1533,1.0111812297734635
55,buffer,11,150,1.0111812297734635
55,buffer,11,322,1.0111812297734635
55,buffer,11,324,1.0111812297734635
55,buffer,11,333,1.0111812297734635
55,buffer,12,1497,1.0111812297734635
55,buffer,12,1499,1.0111812297734635
55,buffer,12,1500,1.0111812297734635
55,buffer,12,1509,1.0111812297734635
55,buffer,13,710,1.0111812297734635
55,buffer,13,711,1.0111812297734635
55,buffer,13,712,1.0111812297734635
55,buffer,13,716,1.0111812297734635
55,buffer,13,1253,1.0111812297734635
55,buffer,13,1254,1.0111812297734635
55,buffer,13,1255,1.0111812297734635
55,buffer,14,760,1.0111812297734635
55,buffer,14,828,1.0111812297734635
55,buffer,16,2142,1.0111812297734635
55,buffer,17,2254,1.0111812297734635
55,buffer,20,1027,1.0111812297734635
55,buffer,20,1754,1.0111812297734635
55,buffer,21,43,1.0111812297734635
55,buffer,21,62,1.0111812297734635
55,buffer,21,67,1.0111812297734635
55,buffer,22,94,1.0111812297734635
55,buffer,23,989,1.0111812297734635
55,buffer,23,2233,1.0111812297734635
55,buffer,25,925,1.0111812297734635
55,buffer,25,1633,1.0111812297734635
55,buffer,26,1601,1.0111812297734635
55,buffer,26,1679,1.0111812297734635
55,buffer,27,610,1.0111812297734635
55,buffer,27,687,1.0111812297734635
55,buffer,27,1295,1.0111812297734635
55,buffer,27,1312,1.0111812297734635
55,buffer,27,1429,1.0111812297734635
55,buffer,27,1430,1.0111812297734635
55,buffer,27,1431,1.0111812297734635
55,buffer,27,1432,1.0111812297734635
55,buffer,27,1436,1.0111812297734635
55,buffer,27,1592,1.0111812297734635
55,buffer,27,2018,1.0111812297734635
55,buffer,27,2039,1.0111812297734635
55,buffer,27,2080,1.0111812297734635
55,buffer,27,2278,1.0111812297734635
55,buffer,27,2370,1.0111812297734635
55,buffer,29,611,1.0111812297734635
55,buffer,29,633,1.0111812297734635
56,buffer,1,1973,1.0295663430420718
56,buffer,3,1835,1.0295663430420718
56,buffer,3,2100,1.0295663430420718
56,buffer,3,2102,1.0295663430420718
56,buffer,3,2116,1.0295663430420718
56,buffer,3,2118,1.0295663430420718
56,buffer,3,2119,1.0295663430420718
56,buffer,4,179,1.0295663430420718
56,buffer,6,436,1.0295663430420718
56,buffer,6,900,1.0295663430420718
56,buffer,6,1781,1.0295663430420718
