ybin,ybin_numeric,lum_bin,count,y_mm,relres
"(0.00219,0.342]",1,buffer,0,0,0
"(0.342,0.666]",2,buffer,0,0.3176470588235294,0
"(0.666,0.99]",3,buffer,0,0.6352941176470588,0
"(0.99,1.31]",4,buffer,1385,0.9529411764705882,1.8614629103127422
"(1.31,1.64]",5,buffer,1194,1.2705882352941176,1.6047557508400103
"(1.64,1.96]",6,buffer,1147,1.588235294117647,1.5415869733781338
"(1.96,2.29]",7,buffer,1367,1.9058823529411764,1.8372706125613854
"(2.29,2.61]",8,buffer,1246,2.223529411764706,1.674644611010597
"(2.61,2.93]",9,buffer,1261,2.541176470588235,1.6948048591367277
"(2.93,3.26]",10,buffer,1783,2.8588235294117643,2.396381493926079
"(3.26,3.58]",11,buffer,917,3.176470588235294,1.2324631687774619
"(3.58,3.91]",12,buffer,1279,3.4941176470588236,1.7189971568880849
"(3.91,4.23]",13,buffer,1231,3.8117647058823527,1.6544843628844663
"(4.23,4.55]",14,buffer,588,4.129411764705882,0.7902817265443267
"(4.23,4.55]",14,dye,281,4.447058823529412,0.3776686482295167
"(4.55,4.88]",15,dye,702,4.764705882352941,0.9434996123029207
"(4.88,5.2]",16,dye,473,5.08235294117647,0.63571982424399065
"(5.2,5.53]",17,dye,545,5.3999999999999995,0.7324890152494185
"(5.53,5.85]",18,dye,376,5.717647058823529,0.5053502196950116
"(5.85,6.17]",19,dye,304,6.035294117647059,0.40858102868958385
"(6.17,6.5]",20,dye,503,6.352941176470588,0.6760403204962523
"(6.5,6.82]",21,dye,320,6.670588235294117,0.4300852933574567
"(6.82,7.15]",22,dye,432,6.988235294117647,0.5806151460325666
"(7.15,7.47]",23,dye,547,7.305882352941176,0.7351770483329025
"(7.47,7.79]",24,dye,701,7.6235294117647054,0.9421555957611786
"(7.79,8.12]",25,dye,593,7.941176470588235,0.797001809253037
"(8.12,8.44]",26,dye,546,8.258823529411764,0.7338330317911606
"(8.44,8.76]",27,dye,481,8.576470588235294,0.6464719565779271
"(8.76,9.09]",28,dye,449,8.894117647058824,0.6034634272421814
"(9.09,9.41]",29,dye,542,9.211764705882352,0.7284569656241923
"(9.41,9.74]",30,dye,714,9.529411764705882,0.9596278108038253
"(9.74,10.1]",31,dye,723,9.84705882352941,0.9717239596795038
"(10.1,10.4]",32,dye,576,10.16470588235294,0.7741535280434221
"(10.4,10.7]",33,dye,798,10.48235294117647,1.0725252003101577
"(10.7,11]",34,dye,755,10.799999999999999,1.0147324890152494
"(11,11.4]",35,dye,1026,11.117647058823529,1.3789609718273454
"(11.4,11.7]",36,buffer,480,11.435294117647057,0.645127940036185
"(11.4,11.7]",36,dye,425,11.752941176470587,0.5712070302403722
"(11.7,12]",37,buffer,887,12.070588235294117,1.1921426725252002
"(12,12.3]",38,buffer,1072,12.388235294117646,1.44078573274748
"(12.3,12.7]",39,buffer,1051,12.705882352941176,1.412561385370897
"(12.7,13]",40,buffer,933,13.023529411764706,1.2539674334453348
"(13,13.3]",41,buffer,1063,13.341176470588234,1.4286895838718014
"(13.3,13.6]",42,buffer,882,13.658823529411764,1.18542258981649
"(13.6,13.9]",43,buffer,1121,13.976470588235294,1.5066425432928405
"(13.9,14.3]",44,buffer,1289,14.294117647058822,1.7324373223055052
"(14.3,14.6]",45,buffer,1177,14.611764705882353,1.5819074696303954
"(14.6,14.9]",46,buffer,1762,14.92941176470588,2.368157146549496
"(14.9,15.2]",47,buffer,763,15.247058823529411,1.0254846213491857
"(15.2,15.6]",48,buffer,0,15.564705882352941,0
"(15.6,15.9]",49,buffer,0,15.88235294117647,0
"(15.9,16.2]",50,buffer,0,16.2,0
