ybin,ybin_numeric,lum_bin,count,y_mm,relres
"(0.00233,0.341]",1,buffer,0,0,0
"(0.341,0.664]",2,buffer,0,0.3176470588235294,0
"(0.664,0.987]",3,buffer,0,0.6352941176470588,0
"(0.987,1.31]",4,buffer,742,0.9529411764705882,1.28978773190707
"(1.31,1.63]",5,buffer,586,1.2705882352941176,1.018619421694802
"(1.63,1.95]",6,buffer,512,1.588235294117647,0.8899883001838542
"(1.95,2.28]",7,buffer,487,1.9058823529411764,0.8465318402139395
"(2.28,2.6]",8,buffer,690,2.223529411764706,1.1993982951696474
"(2.6,2.92]",9,buffer,644,2.541176470588235,1.1194384088250042
"(2.92,3.25]",10,buffer,639,2.8588235294117643,1.1107471168310212
"(3.25,3.57]",11,buffer,709,3.176470588235294,1.2324252047467825
"(3.57,3.89]",12,buffer,459,3.4941176470588236,0.797860605047635
"(3.89,4.21]",13,buffer,461,3.8117647058823527,0.8013371218452281
"(4.21,4.54]",14,buffer,625,4.129411764705882,1.0864114992478688
"(4.54,4.86]",15,buffer,728,4.447058823529412,1.2654521143239177
"(4.86,5.18]",16,buffer,909,4.764705882352941,1.5800768845061006
"(5.18,5.51]",17,buffer,61,5.08235294117647,0.10603376232659201
"(5.18,5.51]",17,dye,549,5.3999999999999995,0.9543038609393281
"(5.51,5.83]",18,dye,439,5.717647058823529,0.7630954370717031
"(5.83,6.15]",19,dye,549,6.035294117647059,0.9543038609393281
"(6.15,6.47]",20,dye,499,6.352941176470588,0.8673909409994985
"(6.47,6.8]",21,dye,701,6.670588235294117,1.2185191375564097
"(6.8,7.12]",22,dye,557,6.988235294117647,0.9682099281297009
"(7.12,7.44]",23,dye,339,7.305882352941176,0.5892695971920441
"(7.44,7.76]",24,dye,329,7.6235294117647054,0.5718870132040782
"(7.76,8.09]",25,dye,453,7.941176470588235,0.7874310546548554
"(8.09,8.41]",26,dye,453,8.258823529411764,0.7874310546548554
"(8.41,8.73]",27,dye,419,8.576470588235294,0.7283302690957714
"(8.73,9.06]",28,dye,312,8.894117647058824,0.5423366204245362
"(9.06,9.38]",29,dye,317,9.211764705882352,0.5510279124185191
"(9.38,9.7]",30,dye,166,9.529411764705882,0.288550894200234
"(9.7,10]",31,dye,318,9.84705882352941,0.5527661708173157
"(10,10.3]",32,dye,374,10.16470588235294,0.6501086411499247
"(10.3,10.7]",33,dye,293,10.48235294117647,0.509309710847401
"(10.7,11]",34,dye,639,10.799999999999999,1.1107471168310212
"(11,11.3]",35,buffer,676,11.117647058823529,1.175062677586495
"(11,11.3]",35,dye,232,11.435294117647057,0.40327594852080895
"(11.3,11.6]",36,buffer,1052,11.752941176470587,1.828647835534013
"(11.6,12]",37,buffer,896,12.070588235294117,1.5574795253217448
"(12,12.3]",38,buffer,1010,12.388235294117646,1.7556409827845563
"(12.3,12.6]",39,buffer,1235,12.705882352941176,2.146749122513789
"(12.6,12.9]",40,buffer,1273,13.023529411764706,2.2128029416680595
"(12.9,13.3]",41,buffer,1241,13.341176470588234,2.1571786729065687
"(13.3,13.6]",42,buffer,1560,13.658823529411764,2.711683102122681
"(13.6,13.9]",43,buffer,1285,13.976470588235294,2.2336620424536187
"(13.9,14.2]",44,buffer,1230,14.294117647058822,2.138057830519806
"(14.2,14.5]",45,buffer,929,14.611764705882353,1.6148420524820324
"(14.5,14.9]",46,buffer,1011,14.92941176470588,1.7573792411833529
"(14.9,15.2]",47,buffer,327,15.247058823529411,0.568410496406485
"(15.2,15.5]",48,buffer,0,15.564705882352941,0
"(15.5,15.8]",49,buffer,0,15.88235294117647,0
"(15.8,16.2]",50,buffer,0,16.2,0
