ypos,lum_bin,worm,time,y_mm
55,buffer,2,232,1.0005432581018519
55,buffer,2,233,1.0005432581018519
55,buffer,2,234,1.0005432581018519
55,buffer,2,237,1.0005432581018519
55,buffer,4,1855,1.0005432581018519
55,buffer,4,1863,1.0005432581018519
55,buffer,5,2178,1.0005432581018519
55,buffer,7,1285,1.0005432581018519
55,buffer,7,1818,1.0005432581018519
55,buffer,9,1342,1.0005432581018519
55,buffer,10,196,1.0005432581018519
55,buffer,10,200,1.0005432581018519
55,buffer,10,209,1.0005432581018519
55,buffer,10,210,1.0005432581018519
55,buffer,11,1424,1.0005432581018519
55,buffer,11,1429,1.0005432581018519
55,buffer,11,1430,1.0005432581018519
55,buffer,11,1431,1.0005432581018519
55,buffer,11,1577,1.0005432581018519
55,buffer,11,1578,1.0005432581018519
55,buffer,11,1584,1.0005432581018519
55,buffer,11,1799,1.0005432581018519
55,buffer,13,1144,1.0005432581018519
55,buffer,14,1780,1.0005432581018519
55,buffer,14,1962,1.0005432581018519
55,buffer,15,145,1.0005432581018519
55,buffer,15,161,1.0005432581018519
55,buffer,16,290,1.0005432581018519
55,buffer,18,507,1.0005432581018519
55,buffer,18,713,1.0005432581018519
55,buffer,18,727,1.0005432581018519
55,buffer,18,1562,1.0005432581018519
55,buffer,18,2215,1.0005432581018519
55,buffer,18,2216,1.0005432581018519
55,buffer,18,2239,1.0005432581018519
55,buffer,18,2378,1.0005432581018519
55,buffer,19,113,1.0005432581018519
55,buffer,20,1312,1.0005432581018519
55,buffer,20,1318,1.0005432581018519
55,buffer,20,2080,1.0005432581018519
55,buffer,20,2133,1.0005432581018519
55,buffer,20,2134,1.0005432581018519
55,buffer,21,60,1.0005432581018519
55,buffer,21,113,1.0005432581018519
55,buffer,21,296,1.0005432581018519
55,buffer,21,342,1.0005432581018519
55,buffer,21,389,1.0005432581018519
55,buffer,21,398,1.0005432581018519
55,buffer,21,895,1.0005432581018519
55,buffer,21,913,1.0005432581018519
55,buffer,21,920,1.0005432581018519
55,buffer,22,97,1.0005432581018519
55,buffer,22,128,1.0005432581018519
55,buffer,22,162,1.0005432581018519
55,buffer,22,485,1.0005432581018519
55,buffer,22,509,1.0005432581018519
55,buffer,22,640,1.0005432581018519
55,buffer,22,1109,1.0005432581018519
55,buffer,22,1572,1.0005432581018519
55,buffer,22,1757,1.0005432581018519
55,buffer,24,344,1.0005432581018519
55,buffer,24,1966,1.0005432581018519
55,buffer,25,1767,1.0005432581018519
55,buffer,26,1487,1.0005432581018519
55,buffer,28,1191,1.0005432581018519
55,buffer,29,639,1.0005432581018519
55,buffer,29,1445,1.0005432581018519
55,buffer,30,2206,1.0005432581018519
55,buffer,30,2207,1.0005432581018519
55,buffer,31,1309,1.0005432581018519
55,buffer,31,2245,1.0005432581018519
55,buffer,32,2172,1.0005432581018519
55,buffer,33,242,1.0005432581018519
55,buffer,33,249,1.0005432581018519
55,buffer,33,250,1.0005432581018519
55,buffer,33,251,1.0005432581018519
55,buffer,33,404,1.0005432581018519
55,buffer,33,405,1.0005432581018519
55,buffer,33,782,1.0005432581018519
55,buffer,33,2029,1.0005432581018519
55,buffer,33,2179,1.0005432581018519
55,buffer,33,2183,1.0005432581018519
55,buffer,33,2184,1.0005432581018519
55,buffer,33,2209,1.0005432581018519
56,buffer,2,239,1.0187349537037036
56,buffer,2,241,1.0187349537037036
56,buffer,4,1952,1.0187349537037036
56,buffer,4,2390,1.0187349537037036
56,buffer,7,1260,1.0187349537037036
56,buffer,7,1271,1.0187349537037036
56,buffer,7,1284,1.0187349537037036
56,buffer,7,1290,1.0187349537037036
56,buffer,7,1744,1.0187349537037036
56,buffer,9,412,1.0187349537037036
56,buffer,9,911,1.0187349537037036
56,buffer,9,1265,1.0187349537037036
56,buffer,9,1322,1.0187349537037036
56,buffer,9,1977,1.0187349537037036
56,buffer,9,1980,1.0187349537037036
56,buffer,9,1983,1.0187349537037036
56,buffer,9,2084,1.0187349537037036
56,buffer,9,2136,1.0187349537037036
56,buffer,9,2137,1.0187349537037036
56,buffer,9,2331,1.0187349537037036
56,buffer,9,2349,1.0187349537037036
56,buffer,10,5,1.0187349537037036
56,buffer,11,1423,1.0187349537037036
56,buffer,11,1428,1.0187349537037036
56,buffer,11,1441,1.0187349537037036
56,buffer,11,1579,1.0187349537037036
56,buffer,11,1786,1.0187349537037036
56,buffer,11,1787,1.0187349537037036
56,buffer,14,1624,1.0187349537037036
56,buffer,14,1783,1.0187349537037036
56,buffer,14,1944,1.0187349537037036
56,buffer,14,2027,1.0187349537037036
56,buffer,15,167,1.0187349537037036
56,buffer,16,217,1.0187349537037036
56,buffer,16,289,1.0187349537037036
56,buffer,18,609,1.0187349537037036
56,buffer,18,717,1.0187349537037036
56,buffer,18,721,1.0187349537037036
56,buffer,18,728,1.0187349537037036
56,buffer,18,729,1.0187349537037036
56,buffer,18,907,1.0187349537037036
56,buffer,18,932,1.0187349537037036
56,buffer,18,1561,1.0187349537037036
56,buffer,18,2214,1.0187349537037036
56,buffer,18,2217,1.0187349537037036
56,buffer,19,76,1.0187349537037036
56,buffer,20,2092,1.0187349537037036
56,buffer,21,64,1.0187349537037036
56,buffer,21,65,1.0187349537037036
56,buffer,21,386,1.0187349537037036
56,buffer,21,456,1.0187349537037036
56,buffer,21,604,1.0187349537037036
56,buffer,21,905,1.0187349537037036
56,buffer,22,465,1.0187349537037036
56,buffer,22,469,1.0187349537037036
56,buffer,22,474,1.0187349537037036
56,buffer,22,477,1.0187349537037036
56,buffer,22,1759,1.0187349537037036
56,buffer,22,1808,1.0187349537037036
56,buffer,22,1885,1.0187349537037036
56,buffer,22,1886,1.0187349537037036
56,buffer,22,1887,1.0187349537037036
56,buffer,22,1935,1.0187349537037036
56,buffer,23,24,1.0187349537037036
56,buffer,24,1040,1.0187349537037036
56,buffer,25,1326,1.0187349537037036
56,buffer,25,1783,1.0187349537037036
56,buffer,25,1792,1.0187349537037036
56,buffer,25,2120,1.0187349537037036
56,buffer,26,1485,1.0187349537037036
56,buffer,29,640,1.0187349537037036
56,buffer,29,1630,1.0187349537037036
56,buffer,29,1722,1.0187349537037036
56,buffer,29,1729,1.0187349537037036
56,buffer,30,2205,1.0187349537037036
56,buffer,31,677,1.0187349537037036
56,buffer,31,1100,1.0187349537037036
56,buffer,31,1307,1.0187349537037036
56,buffer,31,1308,1.0187349537037036
56,buffer,31,1310,1.0187349537037036
56,buffer,31,1885,1.0187349537037036
56,buffer,31,1886,1.0187349537037036
56,buffer,31,2216,1.0187349537037036
56,buffer,32,1899,1.0187349537037036
56,buffer,32,2189,1.0187349537037036
56,buffer,32,2190,1.0187349537037036
56,buffer,32,2191,1.0187349537037036
56,buffer,33,246,1.0187349537037036
56,buffer,33,247,1.0187349537037036
56,buffer,33,248,1.0187349537037036
56,buffer,33,252,1.0187349537037036
56,buffer,33,253,1.0187349537037036
56,buffer,33,254,1.0187349537037036
56,buffer,33,271,1.0187349537037036
56,buffer,33,402,1.0187349537037036
56,buffer,33,403,1.0187349537037036
56,buffer,33,918,1.0187349537037036
56,buffer,33,1662,1.0187349537037036
56,buffer,33,2066,1.0187349537037036
56,buffer,33,2070,1.0187349537037036
56,buffer,33,2071,1.0187349537037036
56,buffer,33,2096,1.0187349537037036
56,buffer,33,2100,1.0187349537037036
56,buffer,33,2216,1.0187349537037036
56,buffer,33,2217,1.0187349537037036
56,buffer,33,2219,1.0187349537037036
56,buffer,33,2371,1.0187349537037036
56,buffer,33,2372,1.0187349537037036
56,buffer,33,2373,1.0187349537037036
56,buffer,33,2394,1.0187349537037036
56,buffer,33,2395,1.0187349537037036
