ypos,lum_bin,worm,time,y_mm
55,buffer,1,323,1.0131578947368418
55,buffer,1,332,1.0131578947368418
55,buffer,1,338,1.0131578947368418
55,buffer,1,1344,1.0131578947368418
55,buffer,1,1345,1.0131578947368418
55,buffer,1,1529,1.0131578947368418
55,buffer,2,974,1.0131578947368418
55,buffer,2,981,1.0131578947368418
55,buffer,2,984,1.0131578947368418
55,buffer,2,985,1.0131578947368418
55,buffer,2,987,1.0131578947368418
55,buffer,2,1237,1.0131578947368418
55,buffer,2,1238,1.0131578947368418
55,buffer,3,2146,1.0131578947368418
55,buffer,5,270,1.0131578947368418
55,buffer,5,271,1.0131578947368418
55,buffer,5,611,1.0131578947368418
55,buffer,5,700,1.0131578947368418
55,buffer,5,701,1.0131578947368418
55,buffer,5,716,1.0131578947368418
55,buffer,5,717,1.0131578947368418
55,buffer,5,721,1.0131578947368418
55,buffer,5,730,1.0131578947368418
55,buffer,5,817,1.0131578947368418
55,buffer,5,1281,1.0131578947368418
55,buffer,5,1286,1.0131578947368418
55,buffer,5,1879,1.0131578947368418
55,buffer,5,1880,1.0131578947368418
55,buffer,5,2121,1.0131578947368418
55,buffer,5,2180,1.0131578947368418
55,buffer,6,1897,1.0131578947368418
55,buffer,7,28,1.0131578947368418
55,buffer,7,101,1.0131578947368418
55,buffer,8,1838,1.0131578947368418
55,buffer,12,532,1.0131578947368418
55,buffer,12,533,1.0131578947368418
55,buffer,12,540,1.0131578947368418
55,buffer,12,541,1.0131578947368418
55,buffer,12,543,1.0131578947368418
55,buffer,12,544,1.0131578947368418
55,buffer,12,763,1.0131578947368418
55,buffer,12,980,1.0131578947368418
55,buffer,16,1948,1.0131578947368418
55,buffer,18,1599,1.0131578947368418
55,buffer,18,1600,1.0131578947368418
55,buffer,18,1601,1.0131578947368418
55,buffer,18,1602,1.0131578947368418
55,buffer,18,1603,1.0131578947368418
55,buffer,20,835,1.0131578947368418
55,buffer,20,1024,1.0131578947368418
55,buffer,20,1158,1.0131578947368418
55,buffer,20,1442,1.0131578947368418
55,buffer,20,1443,1.0131578947368418
55,buffer,20,1738,1.0131578947368418
55,buffer,20,2047,1.0131578947368418
55,buffer,21,2027,1.0131578947368418
55,buffer,22,1094,1.0131578947368418
55,buffer,24,1602,1.0131578947368418
55,buffer,24,1622,1.0131578947368418
55,buffer,26,888,1.0131578947368418
55,buffer,26,1748,1.0131578947368418
55,buffer,26,1858,1.0131578947368418
55,buffer,26,2389,1.0131578947368418
55,buffer,27,984,1.0131578947368418
55,buffer,27,1015,1.0131578947368418
55,buffer,27,1058,1.0131578947368418
55,buffer,27,1061,1.0131578947368418
55,buffer,28,1630,1.0131578947368418
55,buffer,28,1632,1.0131578947368418
56,buffer,2,889,1.0315789473684207
56,buffer,2,890,1.0315789473684207
56,buffer,2,986,1.0315789473684207
