ybin,ybin_numeric,lum_bin,count,y_mm,relres
"(0.00238,0.339]",1,buffer,0,0,0
"(0.339,0.66]",2,buffer,0,0.3176470588235294,0
"(0.66,0.981]",3,buffer,0,0.6352941176470588,0
"(0.981,1.3]",4,buffer,1204,0.9529411764705882,1.6343749184222205
"(1.3,1.62]",5,buffer,1457,1.2705882352941176,1.9778108439710758
"(1.62,1.94]",6,buffer,1511,1.588235294117647,2.051113373534863
"(1.94,2.26]",7,buffer,1398,1.9058823529411764,1.8977210431513822
"(2.26,2.59]",8,buffer,1382,2.223529411764706,1.8760017751324825
"(2.59,2.91]",9,buffer,1358,2.541176470588235,1.8434228731041324
"(2.91,3.23]",10,buffer,1815,2.8588235294117643,2.463779465893962
"(3.23,3.55]",11,buffer,1266,3.176470588235294,1.7185370819954577
"(3.55,3.87]",12,buffer,1379,3.4941176470588236,1.8719294123789387
"(3.87,4.19]",13,buffer,1318,3.8117647058823527,1.7891247030568826
"(4.19,4.51]",14,buffer,1346,4.129411764705882,1.8271334220899575
"(4.51,4.83]",15,buffer,991,4.447058823529412,1.345237162920615
"(4.83,5.15]",16,buffer,250,4.764705882352941,0.33936356279531155
"(4.83,5.15]",16,dye,202,5.08235294117647,0.27420575873861175
"(5.15,5.47]",17,dye,192,5.3999999999999995,0.2606312162267993
"(5.47,5.79]",18,dye,266,5.717647058823529,0.3610828308142115
"(5.79,6.12]",19,dye,208,6.035294117647059,0.28235048424569925
"(6.12,6.44]",20,dye,322,6.352941176470588,0.4371002688803613
"(6.44,6.76]",21,dye,322,6.670588235294117,0.4371002688803613
"(6.76,7.08]",22,dye,286,6.988235294117647,0.38823191583783645
"(7.08,7.4]",23,dye,308,7.305882352941176,0.41809590936382385
"(7.4,7.72]",24,dye,260,7.6235294117647054,0.35293810530712405
"(7.72,8.04]",25,dye,228,7.941176470588235,0.30949956926932415
"(8.04,8.36]",26,dye,467,8.258823529411764,0.633931135301642
"(8.36,8.68]",27,dye,376,8.576470588235294,0.5104027984441486
"(8.68,9]",28,dye,301,8.894117647058824,0.4085937296055551
"(9,9.32]",29,dye,409,9.211764705882352,0.5551987887331298
"(9.32,9.65]",30,dye,274,9.529411764705882,0.3719424648236615
"(9.65,9.97]",31,dye,327,9.84705882352941,0.4438875401362675
"(9.97,10.3]",32,dye,367,10.16470588235294,0.49818571018351737
"(10.3,10.6]",33,dye,488,10.48235294117647,0.6624376745764482
"(10.6,10.9]",34,dye,806,10.799999999999999,1.0941081264520844
"(10.9,11.2]",35,buffer,1578,11.117647058823529,2.1420628083640065
"(10.9,11.2]",35,dye,110,11.435294117647057,0.1493199676299371
"(11.2,11.6]",36,buffer,1357,11.752941176470587,1.8420654188529513
"(11.6,11.9]",37,buffer,1351,12.070588235294117,1.8339206933458638
"(11.9,12.2]",38,buffer,1082,12.388235294117646,1.4687654997781086
"(12.2,12.5]",39,buffer,1196,12.705882352941176,1.6235152844127705
"(12.5,12.9]",40,buffer,1042,13.023529411764706,1.4144673297308585
"(12.9,13.2]",41,buffer,1186,13.341176470588234,1.6099407419009581
"(13.2,13.5]",42,buffer,1141,13.658823529411764,1.548855300597802
"(13.5,13.8]",43,buffer,1192,13.976470588235294,1.6180854674080456
"(13.8,14.1]",44,buffer,863,14.294117647058822,1.1714830187694156
"(14.1,14.5]",45,buffer,1178,14.611764705882353,1.5990811078915081
"(14.5,14.8]",46,buffer,1396,14.92941176470588,1.89500613464902
"(14.8,15.1]",47,buffer,551,15.247058823529411,0.7479572924008667
"(15.1,15.4]",48,buffer,0,15.564705882352941,0
"(15.4,15.7]",49,buffer,0,15.88235294117647,0
"(15.7,16.1]",50,buffer,0,16.2,0
