ybin,ybin_numeric,lum_bin,count,y_mm,relres
"(0.00233,0.339]",1,buffer,0,0,0
"(0.339,0.659]",2,buffer,0,0.3176470588235294,0
"(0.659,0.98]",3,buffer,0,0.6352941176470588,0
"(0.98,1.3]",4,buffer,467,0.9529411764705882,0.6157044699677999
"(1.3,1.62]",5,buffer,423,1.2705882352941176,0.5576937704419259
"(1.62,1.94]",6,buffer,467,1.588235294117647,0.6157044699677999
"(1.94,2.26]",7,buffer,456,1.9058823529411764,0.6012017950863314
"(2.26,2.58]",8,buffer,677,2.223529411764706,0.8925737177049263
"(2.58,2.9]",9,buffer,652,2.541176470588235,0.859613092974316
"(2.9,3.22]",10,buffer,693,2.8588235294117643,0.9136685175325169
"(3.22,3.54]",11,buffer,335,3.176470588235294,0.4416723713901777
"(3.54,3.86]",12,buffer,1385,3.4941176470588236,1.8260186100758093
"(3.86,4.19]",13,buffer,743,3.8117647058823527,0.9795897669937375
"(4.19,4.51]",14,buffer,127,4.129411764705882,0.1674399736315002
"(4.19,4.51]",14,dye,1039,4.447058823529412,1.369843563804163
"(4.51,4.83]",15,dye,1080,4.764705882352941,1.4238989883623638
"(4.83,5.15]",16,dye,690,5.08235294117647,0.9097132425648436
"(5.15,5.47]",17,dye,688,5.3999999999999995,0.9070763925863948
"(5.47,5.79]",18,dye,1061,5.717647058823529,1.3988489135671
"(5.79,6.11]",19,dye,876,6.035294117647059,1.1549402905605841
"(6.11,6.43]",20,dye,893,6.352941176470588,1.177353515377399
"(6.43,6.75]",21,dye,792,6.670588235294117,1.0441925914657335
"(6.75,7.07]",22,dye,1571,6.988235294117647,2.07124565807155
"(7.07,7.39]",23,dye,1191,7.305882352941176,1.5702441621662735
"(7.39,7.71]",24,dye,921,7.6235294117647054,1.2142694150756825
"(7.71,8.03]",25,dye,1638,7.941176470588235,2.159580132349585
"(8.03,8.35]",26,dye,2251,8.258823529411764,2.967774650744149
"(8.35,8.67]",27,dye,882,8.576470588235294,1.1628508404959306
"(8.67,8.99]",28,dye,692,8.894117647058824,0.9123500925432925
"(8.99,9.31]",29,dye,1047,9.211764705882352,1.3803909637179583
"(9.31,9.63]",30,dye,1232,9.529411764705882,1.6242995867244745
"(9.63,9.95]",31,dye,1813,9.84705882352941,2.3903045054638574
"(9.95,10.3]",32,dye,1169,10.16470588235294,1.5412388124033365
"(10.3,10.6]",33,dye,1276,10.48235294117647,1.6823102862503485
"(10.6,10.9]",34,dye,918,10.799999999999999,1.2103141401080093
"(10.9,11.2]",35,dye,1040,11.117647058823529,1.3711619887933875
"(11.2,11.6]",36,buffer,415,11.435294117647057,0.5471463705281305
"(11.2,11.6]",36,dye,614,11.752941176470587,0.8095129433837884
"(11.6,11.9]",37,buffer,1332,12.070588235294117,1.7561420856469154
"(11.9,12.2]",38,buffer,950,12.388235294117646,1.2525037397631904
"(12.2,12.5]",39,buffer,1102,12.705882352941176,1.452904338125301
"(12.5,12.8]",40,buffer,1069,13.023529411764706,1.4093963134808953
"(12.8,13.2]",41,buffer,594,13.341176470588234,0.7831444435993001
"(13.2,13.5]",42,buffer,421,13.658823529411764,0.5550569204634771
"(13.5,13.8]",43,buffer,485,13.976470588235294,0.6394361197738394
"(13.8,14.1]",44,buffer,440,14.294117647058822,0.5801069952587409
"(14.1,14.4]",45,buffer,288,14.611764705882353,0.3797063968966304
"(14.4,14.8]",46,buffer,411,14.92941176470588,0.5418726705712329
"(14.8,15.1]",47,buffer,135,15.247058823529411,0.17798737354529548
"(15.1,15.4]",48,buffer,0,15.564705882352941,0
"(15.4,15.7]",49,buffer,0,15.88235294117647,0
"(15.7,16.1]",50,buffer,0,16.2,0
