ybin,ybin_numeric,lum_bin,count,y_mm,relres
"(0.0026,0.338]",1,buffer,0,0,0
"(0.338,0.657]",2,buffer,0,0.3176470588235294,0
"(0.657,0.976]",3,buffer,0,0.6352941176470588,0
"(0.976,1.29]",4,buffer,88,0.9529411764705882,0.131953055163067
"(1.29,1.61]",5,buffer,19,1.2705882352941176,0.028489864182934917
"(1.61,1.93]",6,buffer,31,1.588235294117647,0.046483462614262235
"(1.93,2.25]",7,buffer,41,1.9058823529411764,0.06147812797370166
"(2.25,2.57]",8,buffer,34,2.223529411764706,0.05098186222209406
"(2.57,2.89]",9,buffer,121,2.541176470588235,0.18143545084921708
"(2.89,3.21]",10,buffer,184,2.8588235294117643,0.2759018426136855
"(3.21,3.53]",11,buffer,153,3.176470588235294,0.22941837999942327
"(3.53,3.85]",12,buffer,95,3.4941176470588236,0.14244932091467458
"(3.85,4.17]",13,buffer,172,3.8117647058823527,0.2579082441823582
"(4.17,4.48]",14,buffer,261,4.129411764705882,0.3913607658813691
"(4.48,4.8]",15,buffer,354,4.447058823529412,0.5308111537241558
"(4.8,5.12]",16,buffer,209,4.764705882352941,0.3133885060122841
"(5.12,5.44]",17,buffer,455,5.08235294117647,0.6822572738544941
"(5.12,5.44]",17,dye,371,5.3999999999999995,0.5563020848352028
"(5.44,5.76]",18,dye,1115,5.717647058823529,1.6719051875774964
"(5.76,6.08]",19,dye,441,6.035294117647059,0.6612647423512789
"(6.08,6.4]",20,dye,317,6.352941176470588,0.4753308918942299
"(6.4,6.72]",21,dye,588,6.670588235294117,0.8816863231350385
"(6.72,7.04]",22,dye,800,6.988235294117647,1.1995732287551544
"(7.04,7.36]",23,dye,1115,7.305882352941176,1.6719051875774964
"(7.36,7.68]",24,dye,945,7.6235294117647054,1.416995876467026
"(7.68,7.99]",25,dye,1410,7.941176470588235,2.1142478156809594
"(7.99,8.31]",26,dye,639,8.258823529411764,0.9581591164681795
"(8.31,8.63]",27,dye,903,8.576470588235294,1.3540182819573805
"(8.63,8.95]",28,dye,984,8.894117647058824,1.4754750713688398
"(8.95,9.27]",29,dye,1120,9.211764705882352,1.679402520257216
"(9.27,9.59]",30,dye,1253,9.529411764705882,1.8788315695377604
"(9.59,9.91]",31,dye,1510,9.84705882352941,2.264194469275354
"(9.91,10.2]",32,dye,1946,10.16470588235294,2.917961878946913
"(10.2,10.5]",33,dye,1428,10.48235294117647,2.1412382133279504
"(10.5,10.9]",34,dye,1373,10.799999999999999,2.0587675538510335
"(10.9,11.2]",35,buffer,756,11.117647058823529,1.1335967011736208
"(10.9,11.2]",35,dye,144,11.435294117647057,0.2159231811759278
"(11.2,11.5]",36,buffer,1238,11.752941176470587,1.8563395714986013
"(11.5,11.8]",37,buffer,990,12.070588235294117,1.4844718705845035
"(11.8,12.1]",38,buffer,1030,12.388235294117646,1.5444505320222612
"(12.1,12.5]",39,buffer,897,12.705882352941176,1.3450214827417168
"(12.5,12.8]",40,buffer,1159,13.023529411764706,1.7378817151590298
"(12.8,13.1]",41,buffer,1373,13.341176470588234,2.0587675538510335
"(13.1,13.4]",42,buffer,1121,13.658823529411764,1.68090198679316
"(13.4,13.7]",43,buffer,1324,13.976470588235294,1.9852936935897805
"(13.7,14.1]",44,buffer,1720,14.294117647058822,2.579082441823582
"(14.1,14.4]",45,buffer,1264,14.611764705882353,1.895325701433144
"(14.4,14.7]",46,buffer,907,14.92941176470588,1.3600161481011563
"(14.7,15]",47,buffer,281,15.247058823529411,0.42135009660024797
"(15,15.3]",48,buffer,0,15.564705882352941,0
"(15.3,15.7]",49,buffer,0,15.88235294117647,0
"(15.7,16]",50,buffer,0,16.2,0
