ybin,ybin_numeric,lum_bin,count,y_mm,relres
"(0.00367,0.332]",1,buffer,0,0,0
"(0.332,0.644]",2,buffer,0,0.3176470588235294,0
"(0.644,0.957]",3,buffer,0,0.6352941176470588,0
"(0.957,1.27]",4,buffer,237,0.9529411764705882,0.26447487016610155
"(1.27,1.58]",5,buffer,402,1.2705882352941176,0.44860294433237474
"(1.58,1.89]",6,buffer,350,1.588235294117647,0.39057470277694323
"(1.89,2.21]",7,buffer,847,1.9058823529411764,0.9451907807202026
"(2.21,2.52]",8,buffer,1281,2.223529411764706,1.429503412163612
"(2.52,2.83]",9,buffer,1531,2.541176470588235,1.7084853427185716
"(2.83,3.14]",10,buffer,1137,2.8588235294117643,1.2688098201639555
"(3.14,3.46]",11,buffer,1533,3.176470588235294,1.7107171981630112
"(3.46,3.77]",12,buffer,1679,3.4941176470588236,1.8736426456071076
"(3.77,4.08]",13,buffer,2103,3.8117647058823527,2.3467959998283185
"(4.08,4.39]",14,buffer,1005,4.129411764705882,1.121507360830937
"(4.08,4.39]",14,dye,118,4.447058823529412,0.13167947122194085
"(4.39,4.71]",15,dye,1614,4.764705882352941,1.801107343662818
"(4.71,5.02]",16,dye,1322,5.08235294117647,1.4752564487746256
"(5.02,5.33]",17,dye,1044,5.3999999999999995,1.1650285419975106
"(5.33,5.64]",18,dye,446,5.717647058823529,0.49770376411004763
"(5.64,5.96]",19,dye,605,6.035294117647059,0.6751362719430019
"(5.96,6.27]",20,dye,516,6.352941176470588,0.5758187046654363
"(6.27,6.58]",21,dye,734,6.670588235294117,0.8190909481093609
"(6.58,6.89]",22,dye,1062,6.988235294117647,1.1851152409974677
"(6.89,7.21]",23,dye,1090,7.305882352941176,1.2163612172196232
"(7.21,7.52]",24,dye,1052,7.6235294117647054,1.1739559637752692
"(7.52,7.83]",25,dye,1177,7.941176470588235,1.313446929052749
"(7.83,8.14]",26,dye,1931,8.258823529411764,2.1548564316065066
"(8.14,8.46]",27,dye,1135,8.576470588235294,1.266577964719516
"(8.46,8.77]",28,dye,1486,8.894117647058824,1.6582685952186789
"(8.77,9.08]",29,dye,1449,9.211764705882352,1.6169792694965448
"(9.08,9.39]",30,dye,1377,9.529411764705882,1.5366324734967165
"(9.39,9.71]",31,dye,1128,9.84705882352941,1.258766470663977
"(9.71,10]",32,dye,339,10.16470588235294,0.378299497832525
"(10,10.3]",33,dye,775,10.48235294117647,0.8648439847203743
"(10.3,10.6]",34,dye,812,10.799999999999999,0.9061333104425082
"(10.6,11]",35,dye,1478,11.117647058823529,1.6493411734409202
"(11,11.3]",36,buffer,2111,11.435294117647057,2.3557234216060774
"(11,11.3]",36,dye,382,11.752941176470587,0.426284389887978
"(11.3,11.6]",37,buffer,655,12.070588235294117,0.7309326580539938
"(11.6,11.9]",38,buffer,1107,12.388235294117646,1.2353319884973604
"(11.9,12.2]",39,buffer,628,12.705882352941176,0.700802609554058
"(12.2,12.5]",40,buffer,788,13.023529411764706,0.8793510451092321
"(12.5,12.8]",41,buffer,1666,13.341176470588234,1.8591355852182496
"(12.8,13.1]",42,buffer,1248,13.658823529411764,1.3926777973303575
"(13.1,13.5]",43,buffer,664,13.976470588235294,0.7409760075539723
"(13.5,13.8]",44,buffer,664,14.294117647058822,0.7409760075539723
"(13.8,14.1]",45,buffer,851,14.611764705882353,0.9496544916090819
"(14.1,14.4]",46,buffer,685,14.92941176470588,0.7644104897205889
"(14.4,14.7]",47,buffer,354,15.247058823529411,0.39503841366582254
"(14.7,15]",48,buffer,0,15.564705882352941,0
"(15,15.3]",49,buffer,0,15.88235294117647,0
"(15.3,15.7]",50,buffer,0,16.2,0
