ypos,lum_bin,worm,time,y_mm
53,buffer,1,998,1.0158333333333325
53,buffer,1,999,1.0158333333333325
53,buffer,5,590,1.0158333333333325
53,buffer,5,592,1.0158333333333325
53,buffer,5,603,1.0158333333333325
53,buffer,5,849,1.0158333333333325
53,buffer,5,1042,1.0158333333333325
53,buffer,5,1044,1.0158333333333325
53,buffer,5,1045,1.0158333333333325
53,buffer,5,1046,1.0158333333333325
53,buffer,5,1063,1.0158333333333325
53,buffer,21,1683,1.0158333333333325
53,buffer,22,1635,1.0158333333333325
53,buffer,22,1636,1.0158333333333325
54,buffer,1,334,1.0349999999999993
54,buffer,1,338,1.0349999999999993
54,buffer,1,340,1.0349999999999993
54,buffer,1,1000,1.0349999999999993
54,buffer,4,273,1.0349999999999993
54,buffer,5,118,1.0349999999999993
54,buffer,5,582,1.0349999999999993
54,buffer,5,588,1.0349999999999993
54,buffer,5,589,1.0349999999999993
54,buffer,5,591,1.0349999999999993
54,buffer,5,598,1.0349999999999993
54,buffer,5,599,1.0349999999999993
54,buffer,5,604,1.0349999999999993
54,buffer,5,605,1.0349999999999993
54,buffer,5,1041,1.0349999999999993
54,buffer,5,1049,1.0349999999999993
54,buffer,10,20,1.0349999999999993
54,buffer,21,1645,1.0349999999999993
54,buffer,21,1682,1.0349999999999993
54,buffer,21,1686,1.0349999999999993
54,buffer,21,1687,1.0349999999999993
54,buffer,22,223,1.0349999999999993
54,buffer,22,1637,1.0349999999999993
54,buffer,22,1638,1.0349999999999993
54,buffer,22,2229,1.0349999999999993
54,buffer,23,2205,1.0349999999999993
54,buffer,23,2209,1.0349999999999993
54,buffer,25,1473,1.0349999999999993
54,buffer,30,1476,1.0349999999999993
54,buffer,30,1495,1.0349999999999993
55,buffer,1,329,1.0541666666666658
55,buffer,1,330,1.0541666666666658
55,buffer,1,331,1.0541666666666658
55,buffer,1,333,1.0541666666666658
55,buffer,1,335,1.0541666666666658
55,buffer,1,336,1.0541666666666658
55,buffer,1,337,1.0541666666666658
55,buffer,1,339,1.0541666666666658
55,buffer,1,1001,1.0541666666666658
55,buffer,1,1006,1.0541666666666658
55,buffer,1,1007,1.0541666666666658
55,buffer,1,1008,1.0541666666666658
55,buffer,1,1009,1.0541666666666658
55,buffer,1,1010,1.0541666666666658
55,buffer,1,1011,1.0541666666666658
55,buffer,1,1012,1.0541666666666658
55,buffer,1,1019,1.0541666666666658
55,buffer,1,1027,1.0541666666666658
55,buffer,1,1028,1.0541666666666658
55,buffer,1,1029,1.0541666666666658
55,buffer,1,1030,1.0541666666666658
55,buffer,1,1031,1.0541666666666658
55,buffer,1,1032,1.0541666666666658
55,buffer,1,1033,1.0541666666666658
55,buffer,1,1034,1.0541666666666658
55,buffer,1,1038,1.0541666666666658
55,buffer,1,1039,1.0541666666666658
55,buffer,1,1040,1.0541666666666658
55,buffer,1,1041,1.0541666666666658
55,buffer,1,1042,1.0541666666666658
55,buffer,1,1044,1.0541666666666658
55,buffer,1,1045,1.0541666666666658
55,buffer,1,1046,1.0541666666666658
55,buffer,1,1048,1.0541666666666658
55,buffer,1,1049,1.0541666666666658
55,buffer,1,1050,1.0541666666666658
55,buffer,5,117,1.0541666666666658
55,buffer,5,587,1.0541666666666658
55,buffer,5,606,1.0541666666666658
55,buffer,5,826,1.0541666666666658
