ybin,ybin_numeric,lum_bin,count,y_mm,relres
"(0.00299,0.343]",1,buffer,0,0,0
"(0.343,0.666]",2,buffer,0,0.324,0
"(0.666,0.99]",3,buffer,0,0.648,0
"(0.99,1.31]",4,buffer,364,0.972,0.4517557734894021
"(1.31,1.64]",5,buffer,331,1.296,0.41079989292580243
"(1.64,1.96]",6,buffer,298,1.62,0.3698440123622028
"(1.96,2.28]",7,buffer,925,1.944,1.1480057430705959
"(2.28,2.61]",8,buffer,608,2.2680000000000002,0.7545810722020783
"(2.61,2.93]",9,buffer,681,2.592,0.8451804443579198
"(2.93,3.25]",10,buffer,946,2.916,1.174068576156523
"(3.25,3.58]",11,buffer,1091,3.24,1.3540262331784
"(3.58,3.9]",12,buffer,959,3.564,1.1902027109240017
"(3.9,4.23]",13,buffer,1020,3.888,1.2659090356021707
"(4.23,4.55]",14,buffer,1148,4.212,1.424768208697345
"(4.55,4.87]",15,buffer,1763,4.5360000000000005,2.1880368919280655
"(4.87,5.2]",16,buffer,518,4.86,0.6428832161195337
"(4.87,5.2]",16,dye,1309,5.184,1.624583262356119
"(5.2,5.52]",17,dye,986,5.508,1.223712067748765
"(5.52,5.84]",18,dye,774,5.832,0.9606015623098825
"(5.84,6.17]",19,dye,1054,6.156000000000001,1.3081060034555763
"(6.17,6.49]",20,dye,1005,6.48,1.24729272625508
"(6.49,6.81]",21,dye,1701,6.804,2.1110894799600906
"(6.81,7.14]",22,dye,666,7.128,0.826564135010829
"(7.14,7.46]",23,dye,414,7.452,0.5138101379797045
"(7.46,7.78]",24,dye,616,7.776,0.7645097705205266
"(7.78,8.11]",25,dye,1472,8.1,1.826880490594505
"(8.11,8.43]",26,dye,1361,8.424,1.6891198014260336
"(8.43,8.75]",27,dye,969,8.748000000000001,1.2026135838220622
"(8.75,9.08]",28,dye,799,9.072000000000001,0.9916287445550337
"(9.08,9.4]",29,dye,675,9.396,0.8377339206190836
"(9.4,9.73]",30,dye,741,9.72,0.9196456817462828
"(9.73,10]",31,dye,859,10.044,1.0660939819433968
"(10,10.4]",32,dye,1460,10.368,1.8119874431168326
"(10.4,10.7]",33,dye,1140,10.692,1.4148395103788967
"(10.7,11]",34,dye,1987,11.016,2.4660404448446207
"(11,11.3]",35,buffer,2462,11.34,3.055556907502494
"(11.3,11.7]",36,buffer,1021,11.664,1.2671501228919768
"(11.7,12]",37,buffer,660,11.988,0.8191176112719928
"(12,12.3]",38,buffer,413,12.312000000000001,0.5125690506898986
"(12.3,12.6]",39,buffer,468,12.636000000000001,0.5808288516292313
"(12.6,13]",40,buffer,1324,12.96,1.6431995717032097
"(13,13.3]",41,buffer,943,13.284,1.1703453142871048
"(13.3,13.6]",42,buffer,619,13.608,0.7682330323899448
"(13.6,13.9]",43,buffer,659,13.932,0.8178765239821867
"(13.9,14.3]",44,buffer,644,14.256,0.799260214635096
"(14.3,14.6]",45,buffer,501,14.58,0.6217847321928309
"(14.6,14.9]",46,buffer,739,14.904,0.9171635071666707
"(14.9,15.2]",47,buffer,0,15.228,0
"(15.2,15.5]",48,buffer,0,15.552,0
"(15.5,15.9]",49,buffer,0,15.876000000000001,0
"(15.9,16.2]",50,buffer,0,16.2,0
