ybin,ybin_numeric,lum_bin,count,y_mm,relres
"(0.0019,0.341]",1,buffer,0,0,0
"(0.341,0.664]",2,buffer,0,0.3176470588235294,0
"(0.664,0.987]",3,buffer,0,0.6352941176470588,0
"(0.987,1.31]",4,buffer,8,0.9529411764705882,0.017746683161981143
"(1.31,1.63]",5,buffer,10,1.2705882352941176,0.02218335395247643
"(1.63,1.96]",6,buffer,44,1.588235294117647,0.09760675739089629
"(1.96,2.28]",7,buffer,180,1.9058823529411764,0.3993003711445757
"(2.28,2.6]",8,buffer,22,2.223529411764706,0.048803378695448145
"(2.6,2.93]",9,buffer,27,2.541176470588235,0.05989505567168636
"(2.93,3.25]",10,buffer,21,2.8588235294117643,0.0465850433002005
"(3.25,3.57]",11,buffer,31,3.176470588235294,0.06876839725267693
"(3.57,3.9]",12,buffer,26,3.4941176470588236,0.05767672027643872
"(3.9,4.22]",13,buffer,43,3.8117647058823527,0.09538842199564865
"(4.22,4.54]",14,buffer,145,4.129411764705882,0.32165863231090824
"(4.54,4.86]",15,buffer,255,4.447058823529412,0.565675525788149
"(4.86,5.19]",16,buffer,181,4.764705882352941,0.40151870653982336
"(5.19,5.51]",17,buffer,171,5.08235294117647,0.37933535258734696
"(5.19,5.51]",17,dye,1173,5.3999999999999995,2.602107418625485
"(5.51,5.83]",18,dye,1743,5.717647058823529,3.8665585939166416
"(5.83,6.16]",19,dye,1115,6.035294117647059,2.473443965701122
"(6.16,6.48]",20,dye,1896,6.352941176470588,4.205963909389531
"(6.48,6.8]",21,dye,1410,6.670588235294117,3.1278529072991765
"(6.8,7.13]",22,dye,1141,6.988235294117647,2.5311206859775606
"(7.13,7.45]",23,dye,1106,7.305882352941176,2.453478947143893
"(7.45,7.77]",24,dye,1179,7.6235294117647054,2.615417430996971
"(7.77,8.1]",25,dye,1286,7.941176470588235,2.852779318288469
"(8.1,8.42]",26,dye,1388,8.258823529411764,3.0790495286037283
"(8.42,8.74]",27,dye,1451,8.576470588235294,3.21880465850433
"(8.74,9.06]",28,dye,732,8.894117647058824,1.6238215093212747
"(9.06,9.39]",29,dye,978,9.211764705882352,2.169532016552195
"(9.39,9.71]",30,dye,1053,9.529411764705882,2.335907171195768
"(9.71,10]",31,dye,1450,9.84705882352941,3.216586323109082
"(10,10.4]",32,dye,1324,10.16470588235294,2.937076063307879
"(10.4,10.7]",33,dye,1498,10.48235294117647,3.323066422080969
"(10.7,11]",34,dye,354,10.799999999999999,0.7852907299176656
"(11,11.3]",35,dye,0,11.117647058823529,0
"(11.3,11.6]",36,dye,0,11.435294117647057,0
"(11.6,12]",37,buffer,0,11.752941176470587,0
"(11.6,12]",37,dye,0,12.070588235294117,0
"(12,12.3]",38,buffer,0,12.388235294117646,0
"(12.3,12.6]",39,buffer,0,12.705882352941176,0
"(12.6,12.9]",40,buffer,0,13.023529411764706,0
"(12.9,13.3]",41,buffer,0,13.341176470588234,0
"(13.3,13.6]",42,buffer,0,13.658823529411764,0
"(13.6,13.9]",43,buffer,0,13.976470588235294,0
"(13.9,14.2]",44,buffer,0,14.294117647058822,0
"(14.2,14.6]",45,buffer,0,14.611764705882353,0
"(14.6,14.9]",46,buffer,0,14.92941176470588,0
"(14.9,15.2]",47,buffer,0,15.247058823529411,0
"(15.2,15.5]",48,buffer,0,15.564705882352941,0
"(15.5,15.8]",49,buffer,0,15.88235294117647,0
"(15.8,16.2]",50,buffer,0,16.2,0
