ybin,ybin_numeric,lum_bin,count,y_mm,relres
"(0.00182,0.346]",1,dye,0,0,0
"(0.346,0.673]",2,buffer,0,0.31153846153846154,0
"(0.346,0.673]",2,dye,0,0.6230769230769231,0
"(0.673,1]",3,buffer,0,0.9346153846153846,0
"(1,1.33]",4,buffer,225,1.2461538461538462,0.13507390836495442
"(1.33,1.66]",5,buffer,105,1.5576923076923077,0.06303449057031206
"(1.66,1.98]",6,buffer,338,1.8692307692307693,0.20291102678824263
"(1.98,2.31]",7,buffer,583,2.180769230769231,0.3499915047856374
"(2.31,2.64]",8,buffer,145,2.4923076923076923,0.08704762983519283
"(2.64,2.97]",9,buffer,91,2.8038461538461537,0.054629891827603784
"(2.97,3.29]",10,buffer,43,3.1153846153846154,0.025814124709746842
"(3.29,3.62]",11,buffer,194,3.426923076923077,0.1164637254346718
"(3.62,3.95]",12,buffer,659,3.7384615384615385,0.39561646938891093
"(3.95,4.28]",13,buffer,386,4.05,0.23172679390609957
"(4.28,4.6]",14,buffer,129,4.361538461538462,0.07744237412924053
"(4.6,4.93]",15,buffer,98,4.673076923076923,0.05883219119895792
"(4.6,4.93]",15,dye,50,4.984615384615385,0.03001642408110098
"(4.93,5.26]",16,dye,1898,5.296153846153846,1.1394234581185931
"(5.26,5.58]",17,dye,4576,5.607692307692307,2.7471031319023616
"(5.58,5.91]",18,dye,4466,5.9192307692307695,2.6810669989239395
"(5.91,6.24]",19,dye,3769,6.230769230769231,2.262638047233392
"(6.24,6.57]",20,dye,3699,6.542307692307692,2.2206150535198503
"(6.57,6.89]",21,dye,3954,6.853846153846154,2.3736988163334654
"(6.89,7.22]",22,dye,3958,7.165384615384616,2.3761001302599536
"(7.22,7.55]",23,dye,3612,7.476923076923077,2.1683864756187345
"(7.55,7.88]",24,dye,4484,7.788461538461538,2.6918729115931357
"(7.88,8.2]",25,dye,4517,8.1,2.7116837514866625
"(8.2,8.53]",26,dye,4755,8.411538461538461,2.854561930112703
"(8.53,8.86]",27,dye,4705,8.723076923076924,2.824545506031602
"(8.86,9.19]",28,dye,4744,9.034615384615385,2.847958316814861
"(9.19,9.51]",29,dye,4221,9.346153846153847,2.5339865209265446
"(9.51,9.84]",30,dye,3881,9.657692307692308,2.329874837175058
"(9.84,10.2]",31,dye,3775,9.96923076923077,2.266240018123124
"(10.2,10.5]",32,dye,3996,10.28076923076923,2.39891261256159
"(10.5,10.8]",33,dye,4541,10.592307692307692,2.726091635045591
"(10.8,11.2]",34,dye,4602,10.903846153846153,2.762711672424534
"(11.2,11.5]",35,dye,2435,11.215384615384615,1.4617998527496177
"(11.5,11.8]",36,buffer,274,11.526923076923078,0.16449000396443336
"(11.5,11.8]",36,dye,482,11.838461538461539,0.28935832814181345
"(11.8,12.1]",37,buffer,417,12.15,0.2503369768363822
"(12.1,12.5]",38,buffer,581,12.461538461538462,0.3487908478223934
"(12.5,12.8]",39,buffer,496,12.773076923076923,0.2977629268845217
"(12.8,13.1]",40,buffer,642,13.084615384615384,0.3854108852013366
"(13.1,13.4]",41,buffer,305,13.396153846153846,0.18310018689471597
"(13.4,13.8]",42,buffer,185,13.707692307692309,0.11106076910007362
"(13.8,14.1]",43,buffer,289,14.01923076923077,0.17349493118876366
"(14.1,14.4]",44,buffer,323,14.330769230769231,0.19390609956391233
"(14.4,14.8]",45,buffer,324,14.642307692307693,0.19450642804553434
"(14.8,15.1]",46,buffer,289,14.953846153846154,0.17349493118876366
"(15.1,15.4]",47,buffer,44,15.265384615384615,0.026414453191368863
"(15.4,15.7]",48,buffer,0,15.576923076923077,0
"(15.7,16.1]",49,buffer,0,15.888461538461538,0
"(16.1,16.4]",50,buffer,0,16.2,0
