ypos,lum_bin,worm,time,y_mm
57,buffer,14,2210,1.0095709570957103
58,buffer,14,2209,1.027282728272828
60,buffer,14,2208,1.0627062706270636
61,buffer,14,2207,1.0804180418041813
62,buffer,14,2205,1.098129812981299
63,buffer,14,2206,1.1158415841584168
64,buffer,14,2204,1.1335533553355346
65,buffer,14,2203,1.1512651265126521
66,buffer,14,2201,1.1689768976897699
67,buffer,14,2200,1.1866886688668876
67,buffer,14,2202,1.1866886688668876
69,buffer,14,2199,1.2221122112211231
72,buffer,14,2198,1.2752475247524764
75,buffer,14,2197,1.3283828382838294
76,buffer,14,2196,1.3460946094609472
79,buffer,14,2195,1.3992299229923004
82,buffer,14,2194,1.4523652365236535
84,buffer,14,2193,1.487788778877889
86,buffer,14,2192,1.5232123212321245
88,buffer,14,2191,1.55863586358636
90,buffer,14,2190,1.5940594059405955
93,buffer,14,2189,1.6471947194719485
96,buffer,14,2188,1.7003300330033018
99,buffer,14,2187,1.7534653465346548
100,buffer,14,2186,1.7711771177117726
101,buffer,14,2109,1.7888888888888903
102,buffer,14,2102,1.806600660066008
102,buffer,14,2103,1.806600660066008
102,buffer,14,2185,1.806600660066008
103,buffer,14,2101,1.8243124312431258
103,buffer,14,2107,1.8243124312431258
103,buffer,14,2108,1.8243124312431258
104,buffer,14,2110,1.8420242024202436
104,buffer,14,2111,1.8420242024202436
105,buffer,14,2100,1.8597359735973613
105,buffer,14,2104,1.8597359735973613
105,buffer,14,2105,1.8597359735973613
105,buffer,14,2106,1.8597359735973613
105,buffer,14,2112,1.8597359735973613
105,buffer,14,2113,1.8597359735973613
105,buffer,14,2117,1.8597359735973613
105,buffer,14,2118,1.8597359735973613
105,buffer,14,2184,1.8597359735973613
106,buffer,14,2099,1.877447744774479
106,buffer,14,2114,1.877447744774479
106,buffer,14,2183,1.877447744774479
107,buffer,14,2119,1.8951595159515968
108,buffer,14,2116,1.9128712871287143
108,buffer,14,2120,1.9128712871287143
108,buffer,14,2182,1.9128712871287143
109,buffer,14,2098,1.930583058305832
109,buffer,14,2115,1.930583058305832
109,buffer,14,2121,1.930583058305832
110,buffer,14,2181,1.9482948294829499
111,buffer,14,2097,1.9660066006600676
111,buffer,14,2124,1.9660066006600676
111,buffer,14,2136,1.9660066006600676
111,buffer,14,2176,1.9660066006600676
111,buffer,14,2179,1.9660066006600676
111,buffer,14,2180,1.9660066006600676
112,buffer,14,2122,1.9837183718371854
112,buffer,14,2123,1.9837183718371854
112,buffer,14,2128,1.9837183718371854
112,buffer,14,2137,1.9837183718371854
112,buffer,14,2175,1.9837183718371854
112,buffer,14,2177,1.9837183718371854
113,buffer,14,2125,2.001430143014303
113,buffer,14,2126,2.001430143014303
113,buffer,14,2127,2.001430143014303
113,buffer,14,2129,2.001430143014303
113,buffer,14,2135,2.001430143014303
113,buffer,14,2178,2.001430143014303
114,buffer,14,2174,2.0191419141914206
115,buffer,14,2096,2.0368536853685386
115,buffer,14,2134,2.0368536853685386
115,buffer,14,2173,2.0368536853685386
116,buffer,14,2130,2.054565456545656
116,buffer,14,2133,2.054565456545656
117,buffer,14,2131,2.072277227722774
117,buffer,14,2132,2.072277227722774
117,buffer,14,2172,2.072277227722774
118,buffer,14,2095,2.0899889988998916
118,buffer,14,2171,2.0899889988998916
119,buffer,14,2038,2.1077007700770096
119,buffer,14,2094,2.1077007700770096
120,buffer,14,2039,2.125412541254127
120,buffer,14,2138,2.125412541254127
120,buffer,14,2170,2.125412541254127
122,buffer,14,2093,2.1608360836083627
122,buffer,14,2139,2.1608360836083627
122,buffer,14,2140,2.1608360836083627
122,buffer,14,2169,2.1608360836083627
123,buffer,14,2037,2.17854785478548
123,buffer,14,2141,2.17854785478548
124,buffer,14,2036,2.196259625962598
124,buffer,14,2142,2.196259625962598
124,buffer,14,2168,2.196259625962598
125,buffer,14,2092,2.2139713971397157
126,buffer,14,2035,2.2316831683168337
126,buffer,14,2143,2.2316831683168337
126,buffer,14,2156,2.2316831683168337
126,buffer,14,2157,2.2316831683168337
126,buffer,14,2158,2.2316831683168337
126,buffer,14,2159,2.2316831683168337
126,buffer,14,2160,2.2316831683168337
126,buffer,14,2161,2.2316831683168337
127,buffer,14,2034,2.249394939493951
127,buffer,14,2047,2.249394939493951
127,buffer,14,2153,2.249394939493951
127,buffer,14,2154,2.249394939493951
127,buffer,14,2162,2.249394939493951
127,buffer,14,2163,2.249394939493951
127,buffer,14,2164,2.249394939493951
127,buffer,14,2166,2.249394939493951
127,buffer,14,2167,2.249394939493951
128,buffer,14,2045,2.267106710671069
128,buffer,14,2046,2.267106710671069
128,buffer,14,2048,2.267106710671069
128,buffer,14,2049,2.267106710671069
128,buffer,14,2091,2.267106710671069
128,buffer,14,2150,2.267106710671069
128,buffer,14,2152,2.267106710671069
128,buffer,14,2155,2.267106710671069
129,buffer,14,2033,2.2848184818481867
129,buffer,14,2040,2.2848184818481867
129,buffer,14,2042,2.2848184818481867
129,buffer,14,2043,2.2848184818481867
129,buffer,14,2044,2.2848184818481867
129,buffer,14,2144,2.2848184818481867
129,buffer,14,2148,2.2848184818481867
129,buffer,14,2149,2.2848184818481867
129,buffer,14,2151,2.2848184818481867
129,buffer,14,2165,2.2848184818481867
130,buffer,14,2050,2.3025302530253042
130,buffer,14,2090,2.3025302530253042
130,buffer,14,2145,2.3025302530253042
130,buffer,14,2147,2.3025302530253042
131,buffer,14,2032,2.320242024202422
131,buffer,14,2041,2.320242024202422
131,buffer,14,2088,2.320242024202422
131,buffer,14,2089,2.320242024202422
131,buffer,14,2146,2.320242024202422
132,buffer,14,2031,2.3379537953795397
132,buffer,14,2051,2.3379537953795397
133,buffer,14,2030,2.3556655665566577
133,buffer,14,2085,2.3556655665566577
133,buffer,14,2086,2.3556655665566577
133,buffer,14,2087,2.3556655665566577
134,buffer,14,2029,2.3733773377337752
134,buffer,14,2052,2.3733773377337752
134,buffer,14,2053,2.3733773377337752
134,buffer,14,2054,2.3733773377337752
134,buffer,14,2083,2.3733773377337752
134,buffer,14,2084,2.3733773377337752
135,buffer,14,2028,2.391089108910893
135,buffer,14,2055,2.391089108910893
135,buffer,14,2082,2.391089108910893
136,buffer,14,2027,2.4088008800880107
136,buffer,14,2056,2.4088008800880107
136,buffer,14,2081,2.4088008800880107
137,buffer,14,2025,2.4265126512651287
137,buffer,14,2026,2.4265126512651287
137,buffer,14,2057,2.4265126512651287
137,buffer,14,2080,2.4265126512651287
138,buffer,14,2067,2.4442244224422462
138,buffer,14,2068,2.4442244224422462
138,buffer,14,2069,2.4442244224422462
138,buffer,14,2070,2.4442244224422462
138,buffer,14,2071,2.4442244224422462
138,buffer,14,2072,2.4442244224422462
138,buffer,14,2073,2.4442244224422462
138,buffer,14,2074,2.4442244224422462
138,buffer,14,2075,2.4442244224422462
138,buffer,14,2078,2.4442244224422462
138,buffer,14,2079,2.4442244224422462
139,buffer,14,2024,2.4619361936193638
139,buffer,14,2058,2.4619361936193638
139,buffer,14,2060,2.4619361936193638
139,buffer,14,2061,2.4619361936193638
139,buffer,14,2065,2.4619361936193638
139,buffer,14,2066,2.4619361936193638
139,buffer,14,2076,2.4619361936193638
139,buffer,14,2077,2.4619361936193638
140,buffer,14,2059,2.4796479647964818
140,buffer,14,2062,2.4796479647964818
140,buffer,14,2063,2.4796479647964818
140,buffer,14,2064,2.4796479647964818
141,buffer,14,2023,2.4973597359735993
142,buffer,14,2022,2.5150715071507173
143,buffer,14,2021,2.532783278327835
144,buffer,14,2020,2.5504950495049528
146,buffer,14,2019,2.5859185918591883
149,buffer,14,2018,2.6390539053905413
151,buffer,14,2011,2.674477447744777
151,buffer,14,2017,2.674477447744777
152,buffer,14,2010,2.6921892189218943
152,buffer,14,2013,2.6921892189218943
152,buffer,14,2014,2.6921892189218943
152,buffer,14,2015,2.6921892189218943
153,buffer,14,2016,2.7099009900990123
154,buffer,14,2009,2.72761276127613
154,buffer,14,2012,2.72761276127613
156,buffer,14,2008,2.7630363036303653
157,buffer,14,2007,2.780748074807483
159,buffer,14,2006,2.8161716171617184
160,buffer,14,2005,2.8338833883388364
161,buffer,14,2004,2.851595159515954
162,buffer,14,2003,2.869306930693072
163,buffer,14,2002,2.8870187018701894
164,buffer,14,2001,2.904730473047307
166,buffer,14,1999,2.9401540154015424
166,buffer,14,2000,2.9401540154015424
168,buffer,14,1998,2.975577557755778
172,buffer,14,1997,3.046424642464249
173,buffer,14,1996,3.0641364136413665
174,buffer,14,1995,3.0818481848184844
175,buffer,14,1994,3.099559955995602
177,buffer,14,1993,3.1349834983498375
178,buffer,14,1991,3.1526952695269554
178,buffer,14,1992,3.1526952695269554
179,buffer,14,1990,3.170407040704073
180,buffer,14,1988,3.188118811881191
180,buffer,14,1989,3.188118811881191
181,buffer,14,1987,3.2058305830583085
182,buffer,4,2285,3.223542354235426
182,buffer,14,1986,3.223542354235426
183,buffer,4,2275,3.241254125412544
183,buffer,4,2284,3.241254125412544
183,buffer,14,1983,3.241254125412544
183,buffer,14,1985,3.241254125412544
184,buffer,4,2258,3.2589658965896615
184,buffer,4,2280,3.2589658965896615
184,buffer,4,2281,3.2589658965896615
184,buffer,4,2282,3.2589658965896615
184,buffer,4,2283,3.2589658965896615
184,buffer,4,2286,3.2589658965896615
184,buffer,14,1982,3.2589658965896615
184,buffer,14,1984,3.2589658965896615
185,buffer,4,2255,3.2766776677667795
185,buffer,4,2256,3.2766776677667795
185,buffer,4,2257,3.2766776677667795
185,buffer,4,2259,3.2766776677667795
185,buffer,4,2260,3.2766776677667795
185,buffer,4,2261,3.2766776677667795
185,buffer,4,2262,3.2766776677667795
185,buffer,4,2263,3.2766776677667795
185,buffer,4,2276,3.2766776677667795
185,buffer,4,2277,3.2766776677667795
185,buffer,4,2278,3.2766776677667795
185,buffer,4,2399,3.2766776677667795
185,buffer,14,1980,3.2766776677667795
185,buffer,14,1981,3.2766776677667795
186,buffer,4,2248,3.294389438943897
186,buffer,4,2249,3.294389438943897
186,buffer,4,2250,3.294389438943897
186,buffer,4,2251,3.294389438943897
186,buffer,4,2252,3.294389438943897
186,buffer,4,2253,3.294389438943897
186,buffer,4,2254,3.294389438943897
186,buffer,4,2264,3.294389438943897
186,buffer,4,2265,3.294389438943897
186,buffer,4,2266,3.294389438943897
186,buffer,4,2274,3.294389438943897
186,buffer,4,2279,3.294389438943897
186,buffer,4,2287,3.294389438943897
186,buffer,4,2304,3.294389438943897
186,buffer,4,2307,3.294389438943897
186,buffer,4,2308,3.294389438943897
186,buffer,4,2309,3.294389438943897
186,buffer,4,2310,3.294389438943897
186,buffer,4,2398,3.294389438943897
187,buffer,4,2247,3.312101210121015
187,buffer,4,2267,3.312101210121015
187,buffer,4,2270,3.312101210121015
187,buffer,4,2301,3.312101210121015
187,buffer,4,2302,3.312101210121015
187,buffer,4,2303,3.312101210121015
187,buffer,4,2305,3.312101210121015
187,buffer,4,2306,3.312101210121015
187,buffer,4,2311,3.312101210121015
187,buffer,4,2312,3.312101210121015
187,buffer,4,2313,3.312101210121015
187,buffer,4,2314,3.312101210121015
187,buffer,4,2315,3.312101210121015
187,buffer,4,2317,3.312101210121015
187,buffer,4,2319,3.312101210121015
187,buffer,4,2397,3.312101210121015
187,buffer,14,1979,3.312101210121015
188,buffer,4,2246,3.3298129812981325
188,buffer,4,2268,3.3298129812981325
188,buffer,4,2269,3.3298129812981325
188,buffer,4,2271,3.3298129812981325
188,buffer,4,2272,3.3298129812981325
188,buffer,4,2273,3.3298129812981325
188,buffer,4,2288,3.3298129812981325
188,buffer,4,2299,3.3298129812981325
188,buffer,4,2300,3.3298129812981325
188,buffer,4,2316,3.3298129812981325
188,buffer,4,2318,3.3298129812981325
188,buffer,4,2320,3.3298129812981325
188,buffer,4,2321,3.3298129812981325
188,buffer,4,2396,3.3298129812981325
188,buffer,14,1975,3.3298129812981325
188,buffer,14,1976,3.3298129812981325
188,buffer,14,1977,3.3298129812981325
188,buffer,14,1978,3.3298129812981325
189,buffer,4,2289,3.3475247524752505
189,buffer,4,2297,3.3475247524752505
189,buffer,4,2298,3.3475247524752505
189,buffer,4,2322,3.3475247524752505
189,buffer,4,2324,3.3475247524752505
189,buffer,4,2325,3.3475247524752505
189,buffer,4,2390,3.3475247524752505
189,buffer,4,2394,3.3475247524752505
189,buffer,4,2395,3.3475247524752505
190,buffer,4,2296,3.365236523652368
190,buffer,4,2323,3.365236523652368
190,buffer,4,2326,3.365236523652368
190,buffer,4,2386,3.365236523652368
190,buffer,4,2388,3.365236523652368
190,buffer,4,2389,3.365236523652368
