ybin,ybin_numeric,lum_bin,count,y_mm,relres
"(0.00174,0.337]",1,buffer,0,0,0
"(0.337,0.657]",2,buffer,0,0.324,0
"(0.657,0.976]",3,buffer,0,0.648,0
"(0.976,1.3]",4,buffer,13,0.972,0.015546228339625295
"(1.3,1.62]",5,buffer,8,1.296,0.00956690974746172
"(1.62,1.93]",6,buffer,32,1.62,0.03826763898984688
"(1.93,2.25]",7,buffer,62,1.944,0.07414355054282833
"(2.25,2.57]",8,buffer,76,2.2680000000000002,0.09088564260088634
"(2.57,2.89]",9,buffer,18,2.592,0.02152554693178887
"(2.89,3.21]",10,buffer,15,2.916,0.017937955776490724
"(3.21,3.53]",11,buffer,148,3.24,0.17698783032804183
"(3.53,3.85]",12,buffer,387,3.564,0.4627992590334607
"(3.85,4.17]",13,buffer,210,3.888,0.25113138087087017
"(4.17,4.49]",14,buffer,327,4.212,0.3910474359274978
"(4.49,4.81]",15,buffer,673,4.5360000000000005,0.8048162825052172
"(4.81,5.13]",16,buffer,1267,4.86,1.51515933125425
"(5.13,5.45]",17,dye,1869,5.184,2.2350692897507445
"(5.45,5.77]",18,dye,2299,5.508,2.749290688676812
"(5.77,6.09]",19,dye,2896,5.832,3.4632213285811426
"(6.09,6.41]",20,dye,2047,6.156000000000001,2.447933031631768
"(6.41,6.73]",21,dye,1888,6.48,2.257790700400966
"(6.73,7.05]",22,dye,1822,6.804,2.1788636949844067
"(7.05,7.37]",23,dye,1547,7.128,1.8500011724154102
"(7.37,7.69]",24,dye,1724,7.452,2.0616690505780007
"(7.69,8.01]",25,dye,1894,7.776,2.264965882711562
"(8.01,8.33]",26,dye,1899,8.1,2.270945201303726
"(8.33,8.64]",27,dye,1716,8.424,2.052102140830539
"(8.64,8.96]",28,dye,2272,8.748000000000001,2.7170023682791284
"(8.96,9.28]",29,dye,2104,9.072000000000001,2.5160972635824326
"(9.28,9.6]",30,dye,2177,9.396,2.6033953150280205
"(9.6,9.92]",31,dye,2161,9.72,2.5842614955330974
"(9.92,10.2]",32,dye,1855,10.044,2.2183271976926866
"(10.2,10.6]",33,dye,1679,10.368,2.0078551832485285
"(10.6,10.9]",34,dye,1446,10.692,1.7292189368537059
"(10.9,11.2]",35,dye,1387,11.016,1.6586629774661759
"(11.2,11.5]",36,dye,943,11.34,1.1276994864820502
"(11.5,11.8]",37,buffer,245,11.664,0.2929866110160152
"(11.5,11.8]",37,dye,200,11.988,0.239172743686543
"(11.8,12.2]",38,buffer,153,12.312000000000001,0.1829671489202054
"(12.2,12.5]",39,buffer,110,12.636000000000001,0.13154500902759866
"(12.5,12.8]",40,buffer,111,12.96,0.13274087274603136
"(12.8,13.1]",41,buffer,66,13.284,0.0789270054165592
"(13.1,13.4]",42,buffer,98,13.608,0.11719464440640608
"(13.4,13.8]",43,buffer,408,13.932,0.48791239712054774
"(13.8,14.1]",44,buffer,202,14.256,0.24156447112340843
"(14.1,14.4]",45,buffer,98,14.58,0.11719464440640608
"(14.4,14.7]",46,buffer,90,14.904,0.10762773465894435
"(14.7,15]",47,buffer,5,15.228,0.005979318592163575
"(15,15.4]",48,buffer,0,15.552,0
"(15.4,15.7]",49,buffer,0,15.876000000000001,0
"(15.7,16]",50,buffer,0,16.2,0
