ybin,ybin_numeric,lum_bin,count,y_mm,relres
"(0.0013,0.343]",1,buffer,0,0,0
"(0.343,0.668]",2,buffer,0,0.3176470588235294,0
"(0.668,0.993]",3,buffer,0,0.6352941176470588,0
"(0.993,1.32]",4,buffer,1106,0.9529411764705882,2.7562541934247102
"(1.32,1.64]",5,buffer,1066,1.2705882352941176,2.656570497459983
"(1.64,1.97]",6,buffer,992,1.588235294117647,2.472155659925237
"(1.97,2.29]",7,buffer,776,1.9058823529411764,1.9338637017157096
"(2.29,2.62]",8,buffer,604,2.223529411764706,1.5052238090673824
"(2.62,2.94]",9,buffer,1085,2.541176470588235,2.7039202530432283
"(2.94,3.27]",10,buffer,690,2.8588235294117643,1.719543755391546
"(3.27,3.59]",11,buffer,815,3.176470588235294,2.0310553052813187
"(3.59,3.92]",12,buffer,847,3.4941176470588236,2.1108022620531006
"(3.92,4.24]",13,buffer,787,3.8117647058823527,1.9612767181060098
"(4.24,4.57]",14,buffer,626,4.129411764705882,1.5600498418479825
"(4.57,4.89]",15,buffer,541,4.447058823529412,1.348221987922937
"(4.57,4.89]",15,dye,9,4.764705882352941,0.022428831592063644
"(4.89,5.22]",16,dye,188,5.08235294117647,0.46851337103421836
"(5.22,5.55]",17,dye,211,5.3999999999999995,0.5258314962139365
"(5.55,5.87]",18,dye,161,5.717647058823529,0.4012268762580274
"(5.87,6.2]",19,dye,72,6.035294117647059,0.17943065273650916
"(6.2,6.52]",20,dye,112,6.352941176470588,0.27911434870123647
"(6.52,6.85]",21,dye,100,6.670588235294117,0.24920923991181826
"(6.85,7.17]",22,dye,190,6.988235294117647,0.47349755583245473
"(7.17,7.5]",23,dye,105,7.305882352941176,0.2616697019074092
"(7.5,7.82]",24,dye,113,7.6235294117647054,0.28160644110035465
"(7.82,8.15]",25,dye,234,7.941176470588235,0.5831496213936548
"(8.15,8.47]",26,dye,198,8.258823529411764,0.49343429502540015
"(8.47,8.8]",27,dye,177,8.576470588235294,0.44110035464391834
"(8.8,9.12]",28,dye,214,8.894117647058824,0.5333077734112911
"(9.12,9.45]",29,dye,373,9.211764705882352,0.9295504648710822
"(9.45,9.77]",30,dye,338,9.529411764705882,0.8423272309019457
"(9.77,10.1]",31,dye,266,9.84705882352941,0.6628965781654366
"(10.1,10.4]",32,dye,86,10.16470588235294,0.2143199463241637
"(10.4,10.7]",33,dye,176,10.48235294117647,0.43860826224480015
"(10.7,11.1]",34,dye,22,10.799999999999999,0.05482603278060002
"(11.1,11.4]",35,dye,48,11.117647058823529,0.11962043515767276
"(11.4,11.7]",36,dye,33,11.435294117647057,0.08223904917090002
"(11.7,12]",37,buffer,95,11.752941176470587,0.23674877791622737
"(11.7,12]",37,dye,75,12.070588235294117,0.1869069299338637
"(12,12.4]",38,buffer,62,12.388235294117646,0.1545097287453273
"(12.4,12.7]",39,buffer,310,12.705882352941176,0.7725486437266367
"(12.7,13]",40,buffer,516,13.023529411764706,1.2859196779449822
"(13,13.3]",41,buffer,705,13.341176470588234,1.7569251413783187
"(13.3,13.7]",42,buffer,509,13.658823529411764,1.268475031151155
"(13.7,14]",43,buffer,697,13.976470588235294,1.7369884021853734
"(14,14.3]",44,buffer,923,14.294117647058822,2.3002012843860826
"(14.3,14.6]",45,buffer,1449,14.611764705882353,3.611041886322247
"(14.6,15]",46,buffer,1929,14.92941176470588,4.807246237898974
"(15,15.3]",47,buffer,235,15.247058823529411,0.585641713792773
"(15.3,15.6]",48,buffer,0,15.564705882352941,0
"(15.6,16]",49,buffer,0,15.88235294117647,0
"(16,16.3]",50,buffer,0,16.2,0
