ypos,lum_bin,worm,time,y_mm
55,buffer,3,886,1.0016968325791864
55,buffer,4,1361,1.0016968325791864
55,buffer,5,988,1.0016968325791864
55,buffer,5,1316,1.0016968325791864
55,buffer,5,1382,1.0016968325791864
55,buffer,5,1383,1.0016968325791864
55,buffer,5,1384,1.0016968325791864
55,buffer,5,1386,1.0016968325791864
55,buffer,5,1387,1.0016968325791864
55,buffer,5,1603,1.0016968325791864
55,buffer,5,1604,1.0016968325791864
55,buffer,6,572,1.0016968325791864
55,buffer,7,2045,1.0016968325791864
55,buffer,9,275,1.0016968325791864
55,buffer,9,963,1.0016968325791864
55,buffer,9,1085,1.0016968325791864
55,buffer,13,56,1.0016968325791864
55,buffer,13,57,1.0016968325791864
55,buffer,13,813,1.0016968325791864
55,buffer,13,814,1.0016968325791864
55,buffer,13,894,1.0016968325791864
55,buffer,13,1190,1.0016968325791864
55,buffer,13,1191,1.0016968325791864
55,buffer,13,1196,1.0016968325791864
55,buffer,13,1222,1.0016968325791864
55,buffer,13,1225,1.0016968325791864
55,buffer,13,1312,1.0016968325791864
55,buffer,13,1313,1.0016968325791864
55,buffer,13,1314,1.0016968325791864
55,buffer,13,1364,1.0016968325791864
55,buffer,13,1368,1.0016968325791864
55,buffer,13,1459,1.0016968325791864
55,buffer,13,1460,1.0016968325791864
55,buffer,14,1500,1.0016968325791864
55,buffer,14,1501,1.0016968325791864
55,buffer,14,1502,1.0016968325791864
55,buffer,14,1715,1.0016968325791864
55,buffer,14,2220,1.0016968325791864
55,buffer,14,2267,1.0016968325791864
55,buffer,17,628,1.0016968325791864
55,buffer,17,849,1.0016968325791864
55,buffer,17,900,1.0016968325791864
55,buffer,17,901,1.0016968325791864
55,buffer,18,1021,1.0016968325791864
55,buffer,18,1321,1.0016968325791864
55,buffer,21,1044,1.0016968325791864
55,buffer,21,1105,1.0016968325791864
55,buffer,21,2347,1.0016968325791864
55,buffer,21,2350,1.0016968325791864
55,buffer,22,134,1.0016968325791864
55,buffer,22,484,1.0016968325791864
55,buffer,23,328,1.0016968325791864
55,buffer,23,381,1.0016968325791864
55,buffer,23,382,1.0016968325791864
55,buffer,23,557,1.0016968325791864
55,buffer,23,559,1.0016968325791864
55,buffer,23,1599,1.0016968325791864
55,buffer,23,1710,1.0016968325791864
55,buffer,23,1712,1.0016968325791864
55,buffer,23,2056,1.0016968325791864
55,buffer,23,2267,1.0016968325791864
55,buffer,23,2381,1.0016968325791864
55,buffer,26,1189,1.0016968325791864
55,buffer,26,1192,1.0016968325791864
55,buffer,26,1650,1.0016968325791864
55,buffer,26,1651,1.0016968325791864
55,buffer,27,1509,1.0016968325791864
55,buffer,28,1199,1.0016968325791864
55,buffer,28,1681,1.0016968325791864
55,buffer,29,1793,1.0016968325791864
55,buffer,29,1878,1.0016968325791864
56,buffer,3,832,1.0199095022624443
56,buffer,4,1232,1.0199095022624443
56,buffer,4,1363,1.0199095022624443
56,buffer,5,1017,1.0199095022624443
56,buffer,5,1380,1.0199095022624443
56,buffer,5,1381,1.0199095022624443
56,buffer,6,48,1.0199095022624443
56,buffer,6,320,1.0199095022624443
56,buffer,13,806,1.0199095022624443
56,buffer,13,812,1.0199095022624443
56,buffer,13,824,1.0199095022624443
56,buffer,13,834,1.0199095022624443
56,buffer,13,874,1.0199095022624443
56,buffer,13,893,1.0199095022624443
56,buffer,13,1192,1.0199095022624443
56,buffer,13,1193,1.0199095022624443
56,buffer,13,1194,1.0199095022624443
56,buffer,13,1195,1.0199095022624443
56,buffer,13,1223,1.0199095022624443
56,buffer,13,1224,1.0199095022624443
56,buffer,13,1226,1.0199095022624443
56,buffer,13,1311,1.0199095022624443
56,buffer,13,1369,1.0199095022624443
56,buffer,13,1457,1.0199095022624443
56,buffer,13,2153,1.0199095022624443
56,buffer,14,1507,1.0199095022624443
56,buffer,14,2265,1.0199095022624443
56,buffer,14,2266,1.0199095022624443
56,buffer,16,1579,1.0199095022624443
56,buffer,16,1972,1.0199095022624443
56,buffer,16,2065,1.0199095022624443
56,buffer,16,2187,1.0199095022624443
56,buffer,17,464,1.0199095022624443
56,buffer,17,629,1.0199095022624443
56,buffer,17,1429,1.0199095022624443
56,buffer,18,795,1.0199095022624443
56,buffer,18,1020,1.0199095022624443
56,buffer,18,1026,1.0199095022624443
56,buffer,21,1020,1.0199095022624443
56,buffer,21,1046,1.0199095022624443
56,buffer,21,1425,1.0199095022624443
56,buffer,21,2348,1.0199095022624443
56,buffer,21,2349,1.0199095022624443
56,buffer,22,483,1.0199095022624443
56,buffer,23,558,1.0199095022624443
56,buffer,23,1716,1.0199095022624443
56,buffer,26,1187,1.0199095022624443
56,buffer,26,1190,1.0199095022624443
56,buffer,26,1596,1.0199095022624443
56,buffer,27,1443,1.0199095022624443
56,buffer,29,1883,1.0199095022624443
56,buffer,29,2071,1.0199095022624443
57,buffer,1,577,1.0381221719457023
57,buffer,4,1364,1.0381221719457023
57,buffer,4,1365,1.0381221719457023
57,buffer,5,899,1.0381221719457023
57,buffer,5,987,1.0381221719457023
57,buffer,5,1018,1.0381221719457023
57,buffer,5,1314,1.0381221719457023
57,buffer,5,1344,1.0381221719457023
57,buffer,5,1355,1.0381221719457023
57,buffer,5,1356,1.0381221719457023
57,buffer,5,1357,1.0381221719457023
57,buffer,5,1358,1.0381221719457023
57,buffer,5,1359,1.0381221719457023
57,buffer,5,1363,1.0381221719457023
57,buffer,5,1364,1.0381221719457023
57,buffer,5,1365,1.0381221719457023
57,buffer,5,1366,1.0381221719457023
57,buffer,5,1367,1.0381221719457023
57,buffer,5,1368,1.0381221719457023
57,buffer,5,1369,1.0381221719457023
57,buffer,5,1370,1.0381221719457023
57,buffer,5,1371,1.0381221719457023
57,buffer,5,1373,1.0381221719457023
57,buffer,5,1374,1.0381221719457023
57,buffer,5,1375,1.0381221719457023
57,buffer,5,1376,1.0381221719457023
