animal,animal_num,signal,MeanGCaMP,time,MeanBackground,fitted,correction,delF,genotype,cue,food,neuron,mean_pulse_delF
20200810_AWC_Is_odr1p_HEX_10K__1/20200810_AWC_Is_odr1p_HEX_10K__1_ImageJ_data.csv,1,0.01912954667370456,530.504,0.25,204.207,0,raw,0.082918566921184,HEX,HEX,OP50,AWC,-0.06378902024747944
20200810_AWC_Is_odr1p_HEX_10K__1/20200810_AWC_Is_odr1p_HEX_10K__1_ImageJ_data.csv,1,0.01870789863893562,530.438,0.5,204.276,0,raw,0.08249691888641505,HEX,HEX,OP50,AWC,-0.06378902024747944
20200810_AWC_Is_odr1p_HEX_10K__1/20200810_AWC_Is_odr1p_HEX_10K__1_ImageJ_data.csv,1,0.01517230178442995,529.616,0.75,204.586,0,raw,0.07896132203190939,HEX,HEX,OP50,AWC,-0.06378902024747944
20200810_AWC_Is_odr1p_HEX_10K__1/20200810_AWC_Is_odr1p_HEX_10K__1_ImageJ_data.csv,1,0.00605221095832007,526.455,1,204.345,0,raw,0.0698412312057995,HEX,HEX,OP50,AWC,-0.06378902024747944
20200810_AWC_Is_odr1p_HEX_10K__1/20200810_AWC_Is_odr1p_HEX_10K__1_ImageJ_data.csv,1,0.00746082772632548,526.595,1.25,204.034,0,raw,0.07124984797380492,HEX,HEX,OP50,AWC,-0.06378902024747944
20200810_AWC_Is_odr1p_HEX_10K__1/20200810_AWC_Is_odr1p_HEX_10K__1_ImageJ_data.csv,1,0.01155549864174655,527.079,1.5,203.207,0,raw,0.075344518889226,HEX,HEX,OP50,AWC,-0.06378902024747944
20200810_AWC_Is_odr1p_HEX_10K__1/20200810_AWC_Is_odr1p_HEX_10K__1_ImageJ_data.csv,1,0.00391273759671566,525.839,1.75,204.414,0,raw,0.0677017578441951,HEX,HEX,OP50,AWC,-0.06378902024747944
20200810_AWC_Is_odr1p_HEX_10K__1/20200810_AWC_Is_odr1p_HEX_10K__1_ImageJ_data.csv,1,0.00397208065346092,525.306,2,203.862,0,raw,0.06776110090094037,HEX,HEX,OP50,AWC,-0.06378902024747944
20200810_AWC_Is_odr1p_HEX_10K__1/20200810_AWC_Is_odr1p_HEX_10K__1_ImageJ_data.csv,1,0.00679556082702338,526.934,2.25,204.586,0,raw,0.07058458107450283,HEX,HEX,OP50,AWC,-0.06378902024747944
20200810_AWC_Is_odr1p_HEX_10K__1/20200810_AWC_Is_odr1p_HEX_10K__1_ImageJ_data.csv,1,0.00798866859948007,526.661,2.5,203.931,0,raw,0.07177768884695951,HEX,HEX,OP50,AWC,-0.06378902024747944
20200810_AWC_Is_odr1p_HEX_10K__1/20200810_AWC_Is_odr1p_HEX_10K__1_ImageJ_data.csv,1,0.00403454702898216,525.533,2.75,204.069,0,raw,0.0678235672764616,HEX,HEX,OP50,AWC,-0.06378902024747944
20200810_AWC_Is_odr1p_HEX_10K__1/20200810_AWC_Is_odr1p_HEX_10K__1_ImageJ_data.csv,1,-0.00267121838322969,523.351,3,204.034,0,raw,0.061117801864249754,HEX,HEX,OP50,AWC,-0.06378902024747944
