animal,animal_num,time_at_maxON,stim_ON_delF,time_at_maxOFF,stim_OFF_delF
20210722_AWC_odr1_HEPT_IAA_10K__1/20210722_AWC_odr1_HEPT_IAA_10K__1_ImageJ_data.csv,1,35.75,2.1027314281529406,60.75,0.7420001212885825
20210722_AWC_odr1_HEPT_IAA_10K__10/20210722_AWC_odr1_HEPT_IAA_10K__10_ImageJ_data.csv,2,31.75,3.155791009593409,60.75,1.1785764551211677
20210722_AWC_odr1_HEPT_IAA_10K__2/20210722_AWC_odr1_HEPT_IAA_10K__2_ImageJ_data.csv,3,37.75,2.66464723100788,60.75,1.0843752427887028
20210722_AWC_odr1_HEPT_IAA_10K__3/20210722_AWC_odr1_HEPT_IAA_10K__3_ImageJ_data.csv,4,31.75,2.9016110177294583,60.75,1.4596590667963387
20210722_AWC_odr1_HEPT_IAA_10K__4/20210722_AWC_odr1_HEPT_IAA_10K__4_ImageJ_data.csv,5,33.25,4.960578349053287,60.75,1.5013341592763023
20210722_AWC_odr1_HEPT_IAA_10K__5/20210722_AWC_odr1_HEPT_IAA_10K__5_ImageJ_data.csv,6,32.75,0.8493845723120113,60.75,0.24409489522218597
20210722_AWC_odr1_HEPT_IAA_10K__6/20210722_AWC_odr1_HEPT_IAA_10K__6_ImageJ_data.csv,7,40.25,2.0629925243699145,60.75,1.2899112280022789
20210722_AWC_odr1_HEPT_IAA_10K__7/20210722_AWC_odr1_HEPT_IAA_10K__7_ImageJ_data.csv,8,33,4.102243247072142,60.75,1.4466063437489811
20210722_AWC_odr1_HEPT_IAA_10K__8/20210722_AWC_odr1_HEPT_IAA_10K__8_ImageJ_data.csv,9,35.5,4.583397182053536,61,0.7740970446779738
20210722_AWC_odr1_HEPT_IAA_10K__9/20210722_AWC_odr1_HEPT_IAA_10K__9_ImageJ_data.csv,10,37.5,0.397586108828621,60.75,0.37792212311214607
20210827_AWC_WT_HEPT_IAA_10K__1/20210827_AWC_WT_HEPT_IAA_10K__1_ImageJ_data.csv,11,34.75,0.3807398900199736,60.75,0.20224005471109224
20210827_AWC_WT_HEPT_IAA_10K__2/20210827_AWC_WT_HEPT_IAA_10K__2_ImageJ_data.csv,12,34.5,5.5339192942809365,60.75,2.4173115125352993
20210827_AWC_WT_HEPT_IAA_10K__3/20210827_AWC_WT_HEPT_IAA_10K__3_ImageJ_data.csv,13,40,3.870409269585197,60.75,2.442288498828059
20210827_AWC_WT_HEPT_IAA_10K__4/20210827_AWC_WT_HEPT_IAA_10K__4_ImageJ_data.csv,14,34.75,1.552547452252951,60.75,0.11861896618649408
20210827_AWC_WT_HEPT_IAA_10K__5/20210827_AWC_WT_HEPT_IAA_10K__5_ImageJ_data.csv,15,32,2.9366542128530795,61,2.5135742757911697
20210827_AWC_WT_HEPT_IAA_10K__6/20210827_AWC_WT_HEPT_IAA_10K__6_ImageJ_data.csv,16,31.5,0.8776162093752337,62.25,3.9662044007091493
