animal,Slice,MeanGCaMP,MeanBackground,Fluor,Fnaut,signal,time
20210715_AWC_Is_odr1p_HEPT_10K__8_reg.tif,1,950.9,276.408,674.492,675.83915,-0.0019932997370750954,0.25
20210715_AWC_Is_odr1p_HEPT_10K__8_reg.tif,2,953.833,275.408,678.425,675.83915,0.003826132297899488,0.5
20210715_AWC_Is_odr1p_HEPT_10K__8_reg.tif,3,951.572,276.347,675.225,675.83915,-9.087221419475256e-4,0.75
20210715_AWC_Is_odr1p_HEPT_10K__8_reg.tif,4,947.939,275.98,671.959,675.83915,-0.0057412329546166,1
20210715_AWC_Is_odr1p_HEPT_10K__8_reg.tif,5,948.917,275.041,673.876,675.83915,-0.0029047592167456434,1.25
20210715_AWC_Is_odr1p_HEPT_10K__8_reg.tif,6,949.8,274.776,675.0239999999999,675.83915,-0.001206130186450623,1.5
20210715_AWC_Is_odr1p_HEPT_10K__8_reg.tif,7,957.361,275.469,681.892,675.83915,0.008956051155071492,1.75
20210715_AWC_Is_odr1p_HEPT_10K__8_reg.tif,8,957.172,276,681.172,675.83915,0.00789070890610585,2
20210715_AWC_Is_odr1p_HEPT_10K__8_reg.tif,9,961.017,275.857,685.1600000000001,675.83915,0.0137915212517654,2.25
20210715_AWC_Is_odr1p_HEPT_10K__8_reg.tif,10,963.083,275.286,687.797,675.83915,0.01769333723860183,2.5
20210715_AWC_Is_odr1p_HEPT_10K__8_reg.tif,11,963.606,276.082,687.524,675.83915,0.017289394969202336,2.75
20210715_AWC_Is_odr1p_HEPT_10K__8_reg.tif,12,958.717,275.898,682.819,675.83915,0.010327679300614566,3
20210715_AWC_Is_odr1p_HEPT_10K__8_reg.tif,13,953.389,274.755,678.634,675.83915,0.004135377478502091,3.25
20210715_AWC_Is_odr1p_HEPT_10K__8_reg.tif,14,950.211,275.408,674.803,675.83915,-0.0015331310712024015,3.5
20210715_AWC_Is_odr1p_HEPT_10K__8_reg.tif,15,947.439,276,671.439,675.83915,-0.006510646801091729,3.75
20210715_AWC_Is_odr1p_HEPT_10K__8_reg.tif,16,947.772,275.571,672.201,675.83915,-0.00538315958760305,4
