animal,Slice,MeanGCaMP,MeanBackground,Fluor,Fnaut,signal,time
20210827_AWC_WT_HEPT_IAA_10K__1_reg.tif,1,349.877,206.912,142.965,134.1906,0.06538759048696417,0.25
20210827_AWC_WT_HEPT_IAA_10K__1_reg.tif,2,350.811,206.176,144.635,134.1906,0.07783257545610499,0.5
20210827_AWC_WT_HEPT_IAA_10K__1_reg.tif,3,350.368,206.559,143.809,134.1906,0.07167715175280541,0.75
20210827_AWC_WT_HEPT_IAA_10K__1_reg.tif,4,347.066,206.206,140.85999999999999,134.1906,0.0497009477564002,1
20210827_AWC_WT_HEPT_IAA_10K__1_reg.tif,5,345.943,206.235,139.70799999999997,134.1906,0.04111614375373522,1.25
20210827_AWC_WT_HEPT_IAA_10K__1_reg.tif,6,341.792,206.324,135.46799999999996,134.1906,0.009519295688371404,1.5
20210827_AWC_WT_HEPT_IAA_10K__1_reg.tif,7,341.519,206.294,135.225,134.1906,0.007708438594059533,1.75
20210827_AWC_WT_HEPT_IAA_10K__1_reg.tif,8,340.104,207.088,133.016,134.1906,-0.008753221164522687,2
20210827_AWC_WT_HEPT_IAA_10K__1_reg.tif,9,338.915,206.147,132.76800000000003,134.1906,-0.01060133869287387,2.25
20210827_AWC_WT_HEPT_IAA_10K__1_reg.tif,10,337.821,205.912,131.90900000000002,134.1906,-0.017002681260833243,2.5
20210827_AWC_WT_HEPT_IAA_10K__1_reg.tif,11,337.075,205.941,131.134,134.1906,-0.02277804853693182,2.75
20210827_AWC_WT_HEPT_IAA_10K__1_reg.tif,12,338.811,206.206,132.605,134.1906,-0.011816028842556779,3
20210827_AWC_WT_HEPT_IAA_10K__1_reg.tif,13,336.415,206.235,130.18,134.1906,-0.029887339351638512,3.25
20210827_AWC_WT_HEPT_IAA_10K__1_reg.tif,14,335.84,206.029,129.81099999999998,134.1906,-0.03263715938374231,3.5
20210827_AWC_WT_HEPT_IAA_10K__1_reg.tif,15,336.321,205.853,130.46800000000002,134.1906,-0.02774113835097221,3.75
20210827_AWC_WT_HEPT_IAA_10K__1_reg.tif,16,334.745,205.588,129.157,134.1906,-0.03751082415608827,4
20210827_AWC_WT_HEPT_IAA_10K__1_reg.tif,17,335.236,205.5,129.736,134.1906,-0.03319606589433239,4.25
20210827_AWC_WT_HEPT_IAA_10K__1_reg.tif,18,334.981,205.088,129.893,134.1906,-0.0320260882654969,4.5
20210827_AWC_WT_HEPT_IAA_10K__1_reg.tif,19,334.651,205.206,129.44500000000002,134.1906,-0.03536462315542197,4.75
20210827_AWC_WT_HEPT_IAA_10K__1_reg.tif,20,336.226,205.206,131.02,134.1906,-0.023627586433028685,5
20210827_AWC_WT_HEPT_IAA_10K__1_reg.tif,21,335.453,205.588,129.86499999999998,134.1906,-0.03223474669611738,5.25
20210827_AWC_WT_HEPT_IAA_10K__1_reg.tif,22,335.255,206.294,128.96099999999998,134.1906,-0.03897143317043075,5.5
20210827_AWC_WT_HEPT_IAA_10K__1_reg.tif,23,335.387,205.618,129.769,134.1906,-0.032950147029672604,5.75
20210827_AWC_WT_HEPT_IAA_10K__1_reg.tif,24,333.557,206.176,127.38100000000003,134.1906,-0.050745730326863144,6
20210827_AWC_WT_HEPT_IAA_10K__1_reg.tif,25,333.255,205.441,127.814,134.1906,-0.047518976739056216,6.25
20210827_AWC_WT_HEPT_IAA_10K__1_reg.tif,26,332.198,206.618,125.57999999999998,134.1906,-0.0641669386678352,6.5
20210827_AWC_WT_HEPT_IAA_10K__1_reg.tif,27,331.802,205.676,126.12600000000003,134.1906,-0.06009809927073846,6.75
20210827_AWC_WT_HEPT_IAA_10K__1_reg.tif,28,332.717,206,126.71699999999998,134.1906,-0.05569391596728836,7
20210827_AWC_WT_HEPT_IAA_10K__1_reg.tif,29,332.566,204.824,127.74199999999996,134.1906,-0.048055526989223,7.25
20210827_AWC_WT_HEPT_IAA_10K__1_reg.tif,30,331.934,205.529,126.40500000000003,134.1906,-0.058018967051343094,7.5
20210827_AWC_WT_HEPT_IAA_10K__1_reg.tif,31,331.84,206.235,125.60499999999996,134.1906,-0.06398063649763865,7.75
20210827_AWC_WT_HEPT_IAA_10K__1_reg.tif,32,331.245,205.971,125.274,134.1906,-0.06644727723104293,8
20210827_AWC_WT_HEPT_IAA_10K__1_reg.tif,33,332.349,206.412,125.93699999999998,134.1906,-0.061506543677426036,8.25
20210827_AWC_WT_HEPT_IAA_10K__1_reg.tif,34,331.736,205.735,126.00099999999998,134.1906,-0.061029610121722484,8.5
20210827_AWC_WT_HEPT_IAA_10K__1_reg.tif,35,331.198,204.735,126.46299999999997,134.1906,-0.05758674601648718,8.75
20210827_AWC_WT_HEPT_IAA_10K__1_reg.tif,36,330.509,205.235,125.274,134.1906,-0.06644727723104293,9
20210827_AWC_WT_HEPT_IAA_10K__1_reg.tif,37,334.387,205.324,129.063,134.1906,-0.038211320316028106,9.25
20210827_AWC_WT_HEPT_IAA_10K__1_reg.tif,38,333.868,205.559,128.309,134.1906,-0.04383019376916112,9.5
20210827_AWC_WT_HEPT_IAA_10K__1_reg.tif,39,332.491,205.029,127.46199999999999,134.1906,-0.05014211129542606,9.75
20210827_AWC_WT_HEPT_IAA_10K__1_reg.tif,40,332.896,205.235,127.661,134.1906,-0.04865914602066008,10
20210827_AWC_WT_HEPT_IAA_10K__1_reg.tif,41,332.151,205.706,126.44500000000002,134.1906,-0.057720883579028395,10.25
20210827_AWC_WT_HEPT_IAA_10K__1_reg.tif,42,333.038,204.971,128.067,134.1906,-0.0456335987766653,10.5
20210827_AWC_WT_HEPT_IAA_10K__1_reg.tif,43,332.83,205.353,127.47699999999998,134.1906,-0.050030329993308136,10.75
20210827_AWC_WT_HEPT_IAA_10K__1_reg.tif,44,333.679,205.324,128.35499999999996,134.1906,-0.04348739777599942,11
20210827_AWC_WT_HEPT_IAA_10K__1_reg.tif,45,334.123,205.294,128.82899999999998,134.1906,-0.03995510862906947,11.25
20210827_AWC_WT_HEPT_IAA_10K__1_reg.tif,46,333.821,204.941,128.88000000000002,134.1906,-0.039575052201867834,11.5
20210827_AWC_WT_HEPT_IAA_10K__1_reg.tif,47,332.406,205.559,126.84700000000001,134.1906,-0.054725144682265234,11.75
20210827_AWC_WT_HEPT_IAA_10K__1_reg.tif,48,332.217,205.618,126.59899999999999,134.1906,-0.05657326221061684,12
20210827_AWC_WT_HEPT_IAA_10K__1_reg.tif,49,331.642,205.676,125.96600000000001,134.1906,-0.06129043315999766,12.25
20210827_AWC_WT_HEPT_IAA_10K__1_reg.tif,50,332.538,205.412,127.126,134.1906,-0.052646012462869866,12.5
20210827_AWC_WT_HEPT_IAA_10K__1_reg.tif,51,329.425,204.735,124.69,134.1906,-0.07079929592683834,12.75
20210827_AWC_WT_HEPT_IAA_10K__1_reg.tif,52,333.113,205.147,127.96600000000001,134.1906,-0.04638625954426004,13
20210827_AWC_WT_HEPT_IAA_10K__1_reg.tif,53,334.142,204.588,129.554,134.1906,-0.03455234569336442,13.25
20210827_AWC_WT_HEPT_IAA_10K__1_reg.tif,54,330.698,205.265,125.43299999999999,134.1906,-0.06526239542859184,13.5
20210827_AWC_WT_HEPT_IAA_10K__1_reg.tif,55,332.208,205.235,126.97300000000001,134.1906,-0.05378618174447373,13.75
20210827_AWC_WT_HEPT_IAA_10K__1_reg.tif,56,333.896,205.176,128.72000000000003,134.1906,-0.04076738609112682,14
20210827_AWC_WT_HEPT_IAA_10K__1_reg.tif,57,333.906,204.529,129.377,134.1906,-0.03587136505835714,14.25
20210827_AWC_WT_HEPT_IAA_10K__1_reg.tif,58,334.67,205,129.67000000000002,134.1906,-0.03368790362365154,14.5
20210827_AWC_WT_HEPT_IAA_10K__1_reg.tif,59,335.953,205.588,130.36499999999998,134.1906,-0.028508703292182976,14.75
20210827_AWC_WT_HEPT_IAA_10K__1_reg.tif,60,334.679,205.206,129.47299999999998,134.1906,-0.035155964724801925,15
20210827_AWC_WT_HEPT_IAA_10K__1_reg.tif,61,335.472,205.324,130.14799999999997,134.1906,-0.030125806129490604,15.25
20210827_AWC_WT_HEPT_IAA_10K__1_reg.tif,62,335.991,205.912,130.07899999999998,134.1906,-0.030640000119233464,15.5
20210827_AWC_WT_HEPT_IAA_10K__1_reg.tif,63,334.264,205.5,128.764,134.1906,-0.04043949427158072,15.75
20210827_AWC_WT_HEPT_IAA_10K__1_reg.tif,64,334.113,205.765,128.348,134.1906,-0.04353956238365412,16
20210827_AWC_WT_HEPT_IAA_10K__1_reg.tif,65,330.66,204.735,125.92500000000001,134.1906,-0.06159596871912026,16.25
20210827_AWC_WT_HEPT_IAA_10K__1_reg.tif,66,334.208,205.912,128.29600000000002,134.1906,-0.04392707089766324,16.5
20210827_AWC_WT_HEPT_IAA_10K__1_reg.tif,67,335.755,205.765,129.99,134.1906,-0.031303235845133566,16.75
20210827_AWC_WT_HEPT_IAA_10K__1_reg.tif,68,335.774,205.882,129.892,134.1906,-0.03203354035230481,17
20210827_AWC_WT_HEPT_IAA_10K__1_reg.tif,69,338.519,205.088,133.431,134.1906,-0.00566060513925698,17.25
20210827_AWC_WT_HEPT_IAA_10K__1_reg.tif,70,336.274,205.412,130.862,134.1906,-0.024805016148672074,17.5
20210827_AWC_WT_HEPT_IAA_10K__1_reg.tif,71,338.047,205,133.04700000000003,134.1906,-0.008522206473478499,17.75
20210827_AWC_WT_HEPT_IAA_10K__1_reg.tif,72,338.67,205.088,133.58200000000002,134.1906,-0.004535340031268712,18
20210827_AWC_WT_HEPT_IAA_10K__1_reg.tif,73,338.934,205.941,132.99300000000002,134.1906,-0.00892461916110343,18.25
20210827_AWC_WT_HEPT_IAA_10K__1_reg.tif,74,339.528,205.588,133.94000000000003,134.1906,-0.0018674929540516481,18.5
20210827_AWC_WT_HEPT_IAA_10K__1_reg.tif,75,340.057,206.471,133.586,134.1906,-0.004505531684037306,18.75
20210827_AWC_WT_HEPT_IAA_10K__1_reg.tif,76,340,204.882,135.118,134.1906,0.006911065305617576,19
20210827_AWC_WT_HEPT_IAA_10K__1_reg.tif,77,339.302,205.118,134.18400000000003,134.1906,-4.918377293166066e-5,19.25
20210827_AWC_WT_HEPT_IAA_10K__1_reg.tif,78,338.028,205.941,132.08700000000002,134.1906,-0.015676209809032615,19.5
20210827_AWC_WT_HEPT_IAA_10K__1_reg.tif,79,337.358,205.176,132.18200000000002,134.1906,-0.014968261562285085,19.75
20210827_AWC_WT_HEPT_IAA_10K__1_reg.tif,80,338.547,205.618,132.92900000000003,134.1906,-0.00940155271680698,20
20210827_AWC_WT_HEPT_IAA_10K__1_reg.tif,81,339.425,205.735,133.69,134.1906,-0.003730514656019062,20.25
20210827_AWC_WT_HEPT_IAA_10K__1_reg.tif,82,341.425,205.529,135.89600000000002,134.1906,0.012708788842139657,20.5
20210827_AWC_WT_HEPT_IAA_10K__1_reg.tif,83,339.358,206.412,132.946,134.1906,-0.009274867241073454,20.75
20210827_AWC_WT_HEPT_IAA_10K__1_reg.tif,84,340.962,204.941,136.021,134.1906,0.013640299693123047,21
20210827_AWC_WT_HEPT_IAA_10K__1_reg.tif,85,339.67,205.529,134.14100000000002,134.1906,-3.696235056700668e-4,21.25
20210827_AWC_WT_HEPT_IAA_10K__1_reg.tif,86,340.236,205.235,135.00099999999998,134.1906,0.006039171149096786,21.5
20210827_AWC_WT_HEPT_IAA_10K__1_reg.tif,87,336.491,206.265,130.226,134.1906,-0.029544543358476602,21.75
20210827_AWC_WT_HEPT_IAA_10K__1_reg.tif,88,338.481,205.412,133.069,134.1906,-0.008358260563705661,22
20210827_AWC_WT_HEPT_IAA_10K__1_reg.tif,89,336.274,206.059,130.215,134.1906,-0.02962651631336313,22.25
20210827_AWC_WT_HEPT_IAA_10K__1_reg.tif,90,338.104,204.794,133.30999999999997,134.1906,-0.006562307643009387,22.5
20210827_AWC_WT_HEPT_IAA_10K__1_reg.tif,91,339.358,205.735,133.623,134.1906,-0.004229804472146327,22.75
20210827_AWC_WT_HEPT_IAA_10K__1_reg.tif,92,340.33,204.971,135.35899999999998,134.1906,0.00870701822631385,23
20210827_AWC_WT_HEPT_IAA_10K__1_reg.tif,93,342.792,205.853,136.93899999999996,134.1906,0.02048131538274645,23.25
20210827_AWC_WT_HEPT_IAA_10K__1_reg.tif,94,344.198,205.353,138.84499999999997,134.1906,0.03468499283854444,23.5
20210827_AWC_WT_HEPT_IAA_10K__1_reg.tif,95,342.283,205.971,136.312,134.1906,0.01580885695421306,23.75
20210827_AWC_WT_HEPT_IAA_10K__1_reg.tif,96,342,206.382,135.618,134.1906,0.010637108709551979,24
20210827_AWC_WT_HEPT_IAA_10K__1_reg.tif,97,342.038,205.853,136.185,134.1906,0.014862441929613649,24.25
20210827_AWC_WT_HEPT_IAA_10K__1_reg.tif,98,340.377,206,134.377,134.1906,0.0013890689809868972,24.5
20210827_AWC_WT_HEPT_IAA_10K__1_reg.tif,99,343.283,206.294,136.989,134.1906,0.020853919723140185,24.75
20210827_AWC_WT_HEPT_IAA_10K__1_reg.tif,100,343.009,207.029,135.98000000000002,134.1906,0.013334764134000662,25
20210827_AWC_WT_HEPT_IAA_10K__1_reg.tif,101,342.368,206.588,135.78,134.1906,0.011844346772426772,25.25
20210827_AWC_WT_HEPT_IAA_10K__1_reg.tif,102,343.915,205.324,138.591,134.1906,0.03279216278934605,25.5
20210827_AWC_WT_HEPT_IAA_10K__1_reg.tif,103,343.236,205.794,137.44199999999998,134.1906,0.024229715047104566,25.75
20210827_AWC_WT_HEPT_IAA_10K__1_reg.tif,104,343.066,206,137.06599999999997,134.1906,0.021427730407345857,26
20210827_AWC_WT_HEPT_IAA_10K__1_reg.tif,105,342.802,206.059,136.74300000000002,134.1906,0.0190207063684046,26.25
20210827_AWC_WT_HEPT_IAA_10K__1_reg.tif,106,343.802,205.471,138.33100000000002,134.1906,0.030854620219300223,26.5
20210827_AWC_WT_HEPT_IAA_10K__1_reg.tif,107,344.33,206.029,138.301,134.1906,0.030631057615063937,26.75
20210827_AWC_WT_HEPT_IAA_10K__1_reg.tif,108,341.925,205.559,136.366,134.1906,0.01621126964183799,27
20210827_AWC_WT_HEPT_IAA_10K__1_reg.tif,109,338.009,205.794,132.215,134.1906,-0.014722342697625512,27.25
