animal,Slice,MeanGCaMP,MeanBackground,Fluor,Fnaut,signal,time
20210909_AWC_WT_BZ_10K__6_reg.tif,1,361.778,237.436,124.34200000000001,124.65335,-0.0024977266956723605,0.25
20210909_AWC_WT_BZ_10K__6_reg.tif,2,362.831,236.836,125.995,124.65335,0.01076304808494919,0.5
20210909_AWC_WT_BZ_10K__6_reg.tif,3,360.959,238.145,122.814,124.65335,-0.014755720564268913,0.75
20210909_AWC_WT_BZ_10K__6_reg.tif,4,363.24,237.927,125.31300000000002,124.65335,0.005291875428939642,1
20210909_AWC_WT_BZ_10K__6_reg.tif,5,362.618,237.364,125.25399999999999,124.65335,0.004818562838463527,1.25
20210909_AWC_WT_BZ_10K__6_reg.tif,6,365.521,237.709,127.81200000000001,124.65335,0.025339471422147968,1.5
20210909_AWC_WT_BZ_10K__6_reg.tif,7,366.76,237.236,129.524,124.65335,0.03907355879324541,1.75
20210909_AWC_WT_BZ_10K__6_reg.tif,8,366.654,237.745,128.909,124.65335,0.034139876706081214,2
20210909_AWC_WT_BZ_10K__6_reg.tif,9,366.148,238.527,127.62100000000004,124.65335,0.02380722218857363,2.25
20210909_AWC_WT_BZ_10K__6_reg.tif,10,367.124,237.273,129.85100000000003,124.65335,0.04169683365910362,2.5
20210909_AWC_WT_BZ_10K__6_reg.tif,11,363.491,237.4,126.09099999999998,124.65335,0.011533183825384367,2.75
20210909_AWC_WT_BZ_10K__6_reg.tif,12,362.831,237.891,124.94000000000003,124.65335,0.0022995771874564377,3
20210909_AWC_WT_BZ_10K__6_reg.tif,13,361.527,237.055,124.47199999999998,124.65335,-0.0014548345471663874,3.25
20210909_AWC_WT_BZ_10K__6_reg.tif,14,360.053,236.618,123.435,124.65335,-0.009773904993327504,3.5
20210909_AWC_WT_BZ_10K__6_reg.tif,15,358.988,238.164,120.82400000000001,124.65335,-0.030719992683710392,3.75
20210909_AWC_WT_BZ_10K__6_reg.tif,16,357.586,236.436,121.15,124.65335,-0.02810474006514865,4
20210909_AWC_WT_BZ_10K__6_reg.tif,17,357.518,237.218,120.29999999999998,124.65335,-0.03492365026692038,4.25
20210909_AWC_WT_BZ_10K__6_reg.tif,18,359.08,237.855,121.225,124.65335,-0.027503071517933603,4.5
20210909_AWC_WT_BZ_10K__6_reg.tif,19,359.908,236.8,123.108,124.65335,-0.012397179859185486,4.75
20210909_AWC_WT_BZ_10K__6_reg.tif,20,357.142,237.055,120.08699999999999,124.65335,-0.036632388941011326,5
20210909_AWC_WT_BZ_10K__6_reg.tif,21,360.485,236.764,123.721,124.65335,-0.00747954226661377,5.25
20210909_AWC_WT_BZ_10K__6_reg.tif,22,359.367,236.691,122.67600000000002,124.65335,-0.015862790691144577,5.5
20210909_AWC_WT_BZ_10K__6_reg.tif,23,359.716,236.764,122.952,124.65335,-0.013648650437393018,5.75
20210909_AWC_WT_BZ_10K__6_reg.tif,24,359.882,238.4,121.482,124.65335,-0.025441353962809693,6
20210909_AWC_WT_BZ_10K__6_reg.tif,25,358.888,237.327,121.56099999999998,124.65335,-0.024807596426409916,6.25
20210909_AWC_WT_BZ_10K__6_reg.tif,26,359.873,237.218,122.655,124.65335,-0.016031257884364936,6.5
20210909_AWC_WT_BZ_10K__6_reg.tif,27,358.82,237.891,120.929,124.65335,-0.029877656717609283,6.75
20210909_AWC_WT_BZ_10K__6_reg.tif,28,356.328,237.236,119.09199999999998,124.65335,-0.04461452500073218,7
20210909_AWC_WT_BZ_10K__6_reg.tif,29,357.577,237.855,119.72200000000001,124.65335,-0.039560509204124836,7.25
20210909_AWC_WT_BZ_10K__6_reg.tif,30,359.24,236.855,122.38500000000002,124.65335,-0.018197264654339285,7.5
20210909_AWC_WT_BZ_10K__6_reg.tif,31,358.657,237.8,120.85699999999997,124.65335,-0.030455258522936065,7.75
20210909_AWC_WT_BZ_10K__6_reg.tif,32,359.479,237.491,121.98799999999997,124.65335,-0.021382096830931795,8
20210909_AWC_WT_BZ_10K__6_reg.tif,33,359.284,237.255,122.029,124.65335,-0.021053184691787317,8.25
20210909_AWC_WT_BZ_10K__6_reg.tif,34,360.098,237.073,123.025,124.65335,-0.013063026384770225,8.5
