animal,Slice,MeanGCaMP,MeanBackground,Fluor,Fnaut,signal,time
20210908_AWC_WT_BZ_IAA_10K__9_reg.tif,1,278.854,204.778,74.076,74.8281,-0.010051036976750884,0.25
20210908_AWC_WT_BZ_IAA_10K__9_reg.tif,2,278.122,204.644,73.47800000000001,74.8281,-0.018042687172332286,0.5
20210908_AWC_WT_BZ_IAA_10K__9_reg.tif,3,278.683,204.978,73.70499999999998,74.8281,-0.015009067449260666,0.75
20210908_AWC_WT_BZ_IAA_10K__9_reg.tif,4,278.228,204.844,73.38400000000001,74.8281,-0.019298899744881824,1
20210908_AWC_WT_BZ_IAA_10K__9_reg.tif,5,279.293,204.289,75.00400000000002,74.8281,0.0023507211862924867,1.25
20210908_AWC_WT_BZ_IAA_10K__9_reg.tif,6,278.756,204.889,73.86699999999996,74.8281,-0.01284410535614354,1.5
20210908_AWC_WT_BZ_IAA_10K__9_reg.tif,7,279.033,204.733,74.30000000000001,74.8281,-0.007057509144291982,1.75
20210908_AWC_WT_BZ_IAA_10K__9_reg.tif,8,279.041,204.267,74.774,74.8281,-7.229904273929896e-4,2
20210908_AWC_WT_BZ_IAA_10K__9_reg.tif,9,279.537,204.133,75.40399999999997,74.8281,0.007696306601396556,2.25
20210908_AWC_WT_BZ_IAA_10K__9_reg.tif,10,279.276,204.378,74.89800000000002,74.8281,9.341410512897999e-4,2.5
20210908_AWC_WT_BZ_IAA_10K__9_reg.tif,11,279.407,204.822,74.58499999999998,74.8281,-0.0032487795360302708,2.75
20210908_AWC_WT_BZ_IAA_10K__9_reg.tif,12,279.61,204.711,74.899,74.8281,9.475050148272457e-4,3
20210908_AWC_WT_BZ_IAA_10K__9_reg.tif,13,279.569,204.511,75.05800000000002,74.8281,0.0030723752173316553,3.25
20210908_AWC_WT_BZ_IAA_10K__9_reg.tif,14,279.959,204.489,75.47,74.8281,0.008578328194889254,3.5
20210908_AWC_WT_BZ_IAA_10K__9_reg.tif,15,280.415,205.044,75.37100000000001,74.8281,0.007255295804650967,3.75
20210908_AWC_WT_BZ_IAA_10K__9_reg.tif,16,280.74,205.156,75.584,74.8281,0.010101820038194166,4
20210908_AWC_WT_BZ_IAA_10K__9_reg.tif,17,280.829,204.511,76.31800000000001,74.8281,0.019910969274911507,4.25
20210908_AWC_WT_BZ_IAA_10K__9_reg.tif,18,279.886,204.978,74.90800000000002,74.8281,0.0010677806866672972,4.5
20210908_AWC_WT_BZ_IAA_10K__9_reg.tif,19,279.911,204.244,75.667,74.8281,0.011211029011828381,4.75
20210908_AWC_WT_BZ_IAA_10K__9_reg.tif,20,280.545,204.733,75.81200000000001,74.8281,0.01314880372480399,5
20210908_AWC_WT_BZ_IAA_10K__9_reg.tif,21,280.016,204.089,75.92700000000002,74.8281,0.014685659531646729,5.25
20210908_AWC_WT_BZ_IAA_10K__9_reg.tif,22,280.699,204.533,76.16600000000003,74.8281,0.017879646817171874,5.5
20210908_AWC_WT_BZ_IAA_10K__9_reg.tif,23,280.447,204.756,75.691,74.8281,0.011531764136734677,5.75
20210908_AWC_WT_BZ_IAA_10K__9_reg.tif,24,280.106,204.356,75.75,74.8281,0.012320237985462595,6
20210908_AWC_WT_BZ_IAA_10K__9_reg.tif,25,280.22,204.489,75.73100000000002,74.8281,0.012066322678245426,6.25
20210908_AWC_WT_BZ_IAA_10K__9_reg.tif,26,281.024,204.578,76.446,74.8281,0.021621556607744837,6.5
20210908_AWC_WT_BZ_IAA_10K__9_reg.tif,27,280.829,204.667,76.162,74.8281,0.01782619096302057,6.75
20210908_AWC_WT_BZ_IAA_10K__9_reg.tif,28,281.374,203.689,77.68500000000003,74.8281,0.038179507431032246,7
20210908_AWC_WT_BZ_IAA_10K__9_reg.tif,29,280.967,205.067,75.89999999999998,74.8281,0.014324832516126575,7.25
20210908_AWC_WT_BZ_IAA_10K__9_reg.tif,30,281.846,204.533,77.31300000000002,74.8281,0.03320811299498464,7.5
20210908_AWC_WT_BZ_IAA_10K__9_reg.tif,31,281.106,204.733,76.37299999999999,74.8281,0.02064598726948812,7.75
20210908_AWC_WT_BZ_IAA_10K__9_reg.tif,32,281.496,204.444,77.05199999999999,74.8281,0.029720118511628466,8
20210908_AWC_WT_BZ_IAA_10K__9_reg.tif,33,281.431,203.844,77.58699999999999,74.8281,0.03686983900433103,8.25
20210908_AWC_WT_BZ_IAA_10K__9_reg.tif,34,282.26,204.356,77.904,74.8281,0.04110621544580164,8.5
20210908_AWC_WT_BZ_IAA_10K__9_reg.tif,35,281.927,204.489,77.43800000000002,74.8281,0.034878608437204875,8.75
20210908_AWC_WT_BZ_IAA_10K__9_reg.tif,36,282.154,203.8,78.353999999999985,74.8281,0.04711999903779434,9
20210908_AWC_WT_BZ_IAA_10K__9_reg.tif,37,282.211,204.244,77.96700000000001,74.8281,0.041948145148680865,9.25
20210908_AWC_WT_BZ_IAA_10K__9_reg.tif,38,281.886,204.267,77.61900000000003,74.8281,0.03729748583753993,9.5
20210908_AWC_WT_BZ_IAA_10K__9_reg.tif,39,281.472,203.911,77.56099999999998,74.8281,0.03652237595234908,9.75
20210908_AWC_WT_BZ_IAA_10K__9_reg.tif,40,281.447,205.289,76.15800000000002,74.8281,0.01777273510886965,10
20210908_AWC_WT_BZ_IAA_10K__9_reg.tif,41,282.073,204.6,77.47299999999998,74.8281,0.035346347161026116,10.25
20210908_AWC_WT_BZ_IAA_10K__9_reg.tif,42,281.472,203.689,77.78299999999999,74.8281,0.03948917585773233,10.5
20210908_AWC_WT_BZ_IAA_10K__9_reg.tif,43,282.106,205.222,76.88399999999999,74.8281,0.027474972637284385,10.75
20210908_AWC_WT_BZ_IAA_10K__9_reg.tif,44,282.341,204.422,77.91900000000001,74.8281,0.041306674898868266,11
20210908_AWC_WT_BZ_IAA_10K__9_reg.tif,45,282.496,204.4,78.09599999999998,74.8281,0.04367209644505164,11.25
20210908_AWC_WT_BZ_IAA_10K__9_reg.tif,46,283.024,204.244,78.78,74.8281,0.05281304750488112,11.5
