animal,animal_num,signal,MeanGCaMP,time,MeanBackground,fitted,correction,delF,genotype,cue,food,neuron,mean_pulse_delF
20210908_AWC_WT_BZ_IAA_10K/20210908_AWC_WT_BZ_IAA_10K__1/20210908_AWC_WT_BZ_IAA_10K__1_ImageJ_data.csv,1,-0.0350127322319257,317.511,0.25,210.949,-0.018923286122512373,nls,-0.009778820065299024,bz_iaa,bz_iaa,OP50,AWC,-0.006310626044114301
20210908_AWC_WT_BZ_IAA_10K/20210908_AWC_WT_BZ_IAA_10K__1/20210908_AWC_WT_BZ_IAA_10K__1_ImageJ_data.csv,1,-0.02755088364949622,318.489,0.5,211.103,-0.0167465891599321,nls,-0.004493668445449816,bz_iaa,bz_iaa,OP50,AWC,-0.006310626044114301
20210908_AWC_WT_BZ_IAA_10K/20210908_AWC_WT_BZ_IAA_10K__1/20210908_AWC_WT_BZ_IAA_10K__1_ImageJ_data.csv,1,-0.02249783570168551,318.38,0.75,210.436,-0.014579603052285728,nls,-0.0016076066052854799,bz_iaa,bz_iaa,OP50,AWC,-0.006310626044114301
20210908_AWC_WT_BZ_IAA_10K/20210908_AWC_WT_BZ_IAA_10K__1/20210908_AWC_WT_BZ_IAA_10K__1_ImageJ_data.csv,1,-0.01058061150935789,319.978,1,210.718,-0.01242228447672905,nls,0.008152299011485464,bz_iaa,bz_iaa,OP50,AWC,-0.006310626044114301
20210908_AWC_WT_BZ_IAA_10K/20210908_AWC_WT_BZ_IAA_10K__1/20210908_AWC_WT_BZ_IAA_10K__1_ImageJ_data.csv,1,-0.00518344918517339,320.728,1.25,210.872,-0.010274590303693154,nls,0.011401767162634066,bz_iaa,bz_iaa,OP50,AWC,-0.006310626044114301
20210908_AWC_WT_BZ_IAA_10K/20210908_AWC_WT_BZ_IAA_10K__1/20210908_AWC_WT_BZ_IAA_10K__1_ImageJ_data.csv,1,-0.01010971815221458,320.902,1.5,211.59,-0.008136477596022096,nls,0.0043373854879218176,bz_iaa,bz_iaa,OP50,AWC,-0.006310626044114301
20210908_AWC_WT_BZ_IAA_10K/20210908_AWC_WT_BZ_IAA_10K__1/20210908_AWC_WT_BZ_IAA_10K__1_ImageJ_data.csv,1,0.00693299911979157,322.707,1.75,211.513,-0.006007903608114762,nls,0.019251528772020635,bz_iaa,bz_iaa,OP50,AWC,-0.006310626044114301
20210908_AWC_WT_BZ_IAA_10K/20210908_AWC_WT_BZ_IAA_10K__1/20210908_AWC_WT_BZ_IAA_10K__1_ImageJ_data.csv,1,0.00441553078736992,321.685,2,210.769,-0.0038888257850701047,nls,0.014614982616554327,bz_iaa,bz_iaa,OP50,AWC,-0.006310626044114301
20210908_AWC_WT_BZ_IAA_10K/20210908_AWC_WT_BZ_IAA_10K__1/20210908_AWC_WT_BZ_IAA_10K__1_ImageJ_data.csv,1,0.01127970703188681,322.315,2.25,210.641,-0.0017792017618364353,nls,0.019369534837837547,bz_iaa,bz_iaa,OP50,AWC,-0.006310626044114301
20210908_AWC_WT_BZ_IAA_10K/20210908_AWC_WT_BZ_IAA_10K__1/20210908_AWC_WT_BZ_IAA_10K__1_ImageJ_data.csv,1,-0.00704891133078102,320.804,2.5,211.154,3.2101063763562143e-4,nls,-0.0010592959243023404,bz_iaa,bz_iaa,OP50,AWC,-0.006310626044114301
20210908_AWC_WT_BZ_IAA_10K/20210908_AWC_WT_BZ_IAA_10K__1/20210908_AWC_WT_BZ_IAA_10K__1_ImageJ_data.csv,1,0.00877129434094847,321.935,2.75,210.538,0.0024118534012363413,nls,0.01267006698382643,bz_iaa,bz_iaa,OP50,AWC,-0.006310626044114301
20210908_AWC_WT_BZ_IAA_10K/20210908_AWC_WT_BZ_IAA_10K__1/20210908_AWC_WT_BZ_IAA_10K__1_ImageJ_data.csv,1,-0.00357154500110482,320.957,3,210.923,0.004493368329536118,nls,-0.0017542872865266368,bz_iaa,bz_iaa,OP50,AWC,-0.006310626044114301
20210908_AWC_WT_BZ_IAA_10K/20210908_AWC_WT_BZ_IAA_10K__1/20210908_AWC_WT_BZ_IAA_10K__1_ImageJ_data.csv,1,0.01146081986155728,322.207,3.25,210.513,0.006565597036621296,nls,0.011205848869050284,bz_iaa,bz_iaa,OP50,AWC,-0.006310626044114301
20210908_AWC_WT_BZ_IAA_10K/20210908_AWC_WT_BZ_IAA_10K__1/20210908_AWC_WT_BZ_IAA_10K__1_ImageJ_data.csv,1,0.00778422941924373,322.391,3.5,211.103,0.008628580950926279,nls,0.0054662745124317525,bz_iaa,bz_iaa,OP50,AWC,-0.006310626044114301
20210908_AWC_WT_BZ_IAA_10K/20210908_AWC_WT_BZ_IAA_10K__1/20210908_AWC_WT_BZ_IAA_10K__1_ImageJ_data.csv,1,0.00946857873518038,321.859,3.75,210.385,0.010682361316061373,nls,0.005096843463233309,bz_iaa,bz_iaa,OP50,AWC,-0.006310626044114301
20210908_AWC_WT_BZ_IAA_10K/20210908_AWC_WT_BZ_IAA_10K__1/20210908_AWC_WT_BZ_IAA_10K__1_ImageJ_data.csv,1,0.0181257719934363,323.609,4,211.179,0.012726979191637844,nls,0.01170941884591276,bz_iaa,bz_iaa,OP50,AWC,-0.006310626044114301
20210908_AWC_WT_BZ_IAA_10K/20210908_AWC_WT_BZ_IAA_10K__1/20210908_AWC_WT_BZ_IAA_10K__1_ImageJ_data.csv,1,0.00323829739451087,321.478,4.25,210.692,0.014762475454088375,nls,-0.005213552015463204,bz_iaa,bz_iaa,OP50,AWC,-0.006310626044114301
