animal,Slice,MeanGCaMP,MeanBackground,Fluor,Fnaut,signal,time
20200810_AWC_Is_odr1p_HEX_10K__8_reg.tif,1,409.268,239.381,169.88699999999997,169.64825,0.0014073236829733394,0.25
20200810_AWC_Is_odr1p_HEX_10K__8_reg.tif,2,408.748,238.667,170.081,169.64825,0.0025508662777246373,0.5
20200810_AWC_Is_odr1p_HEX_10K__8_reg.tif,3,409.908,238.556,171.352,169.64825,0.01004283863818232,0.75
20200810_AWC_Is_odr1p_HEX_10K__8_reg.tif,4,409.809,238.873,170.93600000000004,169.64825,0.007590706063870658,1
20200810_AWC_Is_odr1p_HEX_10K__8_reg.tif,5,409.038,239.079,169.959,169.64825,0.0018317312439121121,1.25
20200810_AWC_Is_odr1p_HEX_10K__8_reg.tif,6,408.312,238.444,169.86800000000002,169.64825,0.0012953272432815147,1.5
20200810_AWC_Is_odr1p_HEX_10K__8_reg.tif,7,407.707,238.952,168.755,169.64825,-0.005265306302894341,1.75
20200810_AWC_Is_odr1p_HEX_10K__8_reg.tif,8,406.586,237.825,168.76100000000002,169.64825,-0.00522993900614929,2
20200810_AWC_Is_odr1p_HEX_10K__8_reg.tif,9,408.618,238.381,170.237,169.64825,0.003470415993091615,2.25
20200810_AWC_Is_odr1p_HEX_10K__8_reg.tif,10,408.965,238.762,170.20299999999997,169.64825,0.003270001311537162,2.5
20200810_AWC_Is_odr1p_HEX_10K__8_reg.tif,11,408.694,237.556,171.138,169.64825,0.008781405054281521,2.75
20200810_AWC_Is_odr1p_HEX_10K__8_reg.tif,12,407.818,237.73,170.088,169.64825,0.002592128123927029,3
20200810_AWC_Is_odr1p_HEX_10K__8_reg.tif,13,407.436,238.651,168.78499999999997,169.64825,-0.005088469819170089,3.25
20200810_AWC_Is_odr1p_HEX_10K__8_reg.tif,14,406.022,237.619,168.403,169.64825,-0.0073401877119274655,3.5
20200810_AWC_Is_odr1p_HEX_10K__8_reg.tif,15,406.602,237.286,169.31599999999997,169.64825,-0.0019584640572479594,3.75
20200810_AWC_Is_odr1p_HEX_10K__8_reg.tif,16,407.863,238.444,169.419,169.64825,-0.0013513254631272594,4
