animal,Slice,MeanGCaMP,MeanBackground,Fluor,Fnaut,signal,time
20200831_AWC_Is_odr1p_HEX_10K_5_reg.tif,1,580.683,254.111,326.572,326.8661,-8.997568117342681e-4,0.25
20200831_AWC_Is_odr1p_HEX_10K_5_reg.tif,2,604.158,253.648,350.51,326.8661,0.07233512438273645,0.5
20200831_AWC_Is_odr1p_HEX_10K_5_reg.tif,3,620.75,254.852,365.898,326.8661,0.1194125056100954,0.75
20200831_AWC_Is_odr1p_HEX_10K_5_reg.tif,4,617.492,254.593,362.899,326.8661,0.11023749480291771,1
20200831_AWC_Is_odr1p_HEX_10K_5_reg.tif,5,612.683,253.944,358.73900000000003,326.8661,0.09751057084231131,1.25
20200831_AWC_Is_odr1p_HEX_10K_5_reg.tif,6,612.458,253.333,359.125,326.8661,0.09869148253673288,1.5
20200831_AWC_Is_odr1p_HEX_10K_5_reg.tif,7,610.7,253.611,357.08900000000006,326.8661,0.09246263225216698,1.75
20200831_AWC_Is_odr1p_HEX_10K_5_reg.tif,8,603.492,254.37,349.12199999999996,326.8661,0.06808873725357245,2
20200831_AWC_Is_odr1p_HEX_10K_5_reg.tif,9,590.9,252.667,338.23299999999995,326.8661,0.034775401915340655,2.25
20200831_AWC_Is_odr1p_HEX_10K_5_reg.tif,10,582.85,252.241,330.60900000000004,326.8661,0.01145086627215248,2.5
20200831_AWC_Is_odr1p_HEX_10K_5_reg.tif,11,574.525,251.667,322.85799999999995,326.8661,-0.012262207674641297,2.75
20200831_AWC_Is_odr1p_HEX_10K_5_reg.tif,12,567.975,252.481,315.494,326.8661,-0.03479131057029159,3
20200831_AWC_Is_odr1p_HEX_10K_5_reg.tif,13,560.683,252.074,308.609,326.8661,-0.05585498159643975,3.25
20200831_AWC_Is_odr1p_HEX_10K_5_reg.tif,14,555.2,251.333,303.8670000000001,326.8661,-0.07036245116884235,3.5
20200831_AWC_Is_odr1p_HEX_10K_5_reg.tif,15,553.067,251.481,301.586,326.8661,-0.07734084385012702,3.75
20200831_AWC_Is_odr1p_HEX_10K_5_reg.tif,16,552.125,251.444,300.68100000000004,326.8661,-0.0801095616829031,4
20200831_AWC_Is_odr1p_HEX_10K_5_reg.tif,17,550.458,251.241,299.217,326.8661,-0.08458845992288595,4.25
20200831_AWC_Is_odr1p_HEX_10K_5_reg.tif,18,548.883,252.019,296.86400000000003,326.8661,-0.09178712628810386,4.5
20200831_AWC_Is_odr1p_HEX_10K_5_reg.tif,19,546.308,251,295.308,326.8661,-0.09654748534644621,4.75
20200831_AWC_Is_odr1p_HEX_10K_5_reg.tif,20,545.375,251.333,294.04200000000003,326.8661,-0.10042063095561145,5
20200831_AWC_Is_odr1p_HEX_10K_5_reg.tif,21,543.383,251.352,292.03100000000006,326.8661,-0.10657299732214491,5.25
20200831_AWC_Is_odr1p_HEX_10K_5_reg.tif,22,539.75,251.611,288.139,326.8661,-0.11848001368144327,5.5
20200831_AWC_Is_odr1p_HEX_10K_5_reg.tif,23,532.542,250.148,282.394,326.8661,-0.1360560180453097,5.75
20200831_AWC_Is_odr1p_HEX_10K_5_reg.tif,24,527.183,250.759,276.424,326.8661,-0.15432037767146864,6
20200831_AWC_Is_odr1p_HEX_10K_5_reg.tif,25,523.208,250.241,272.967,326.8661,-0.1648965738570015,6.25
20200831_AWC_Is_odr1p_HEX_10K_5_reg.tif,26,517.233,249.593,267.64,326.8661,-0.18119376711136465,6.5
20200831_AWC_Is_odr1p_HEX_10K_5_reg.tif,27,510.883,249.759,261.124,326.8661,-0.201128535507353,6.75
20200831_AWC_Is_odr1p_HEX_10K_5_reg.tif,28,511.567,249.111,262.456,326.8661,-0.19705347235458187,7
20200831_AWC_Is_odr1p_HEX_10K_5_reg.tif,29,507.408,250.13,257.278,326.8661,-0.2128948214574714,7.25
20200831_AWC_Is_odr1p_HEX_10K_5_reg.tif,30,508.392,250.093,258.299,326.8661,-0.2097712182450246,7.5
20200831_AWC_Is_odr1p_HEX_10K_5_reg.tif,31,512.142,250,262.14200000000005,326.8661,-0.19801411036506986,7.75
20200831_AWC_Is_odr1p_HEX_10K_5_reg.tif,32,513.3,250.148,263.15199999999993,326.8661,-0.1949241600765576,8
20200831_AWC_Is_odr1p_HEX_10K_5_reg.tif,33,514.992,249.167,265.82499999999993,326.8661,-0.18674649956052367,8.25
20200831_AWC_Is_odr1p_HEX_10K_5_reg.tif,34,508.125,250.074,258.051,326.8661,-0.2105299387119069,8.5
20200831_AWC_Is_odr1p_HEX_10K_5_reg.tif,35,505.2,249.944,255.256,326.8661,-0.21908084074793932,8.75
20200831_AWC_Is_odr1p_HEX_10K_5_reg.tif,36,501.375,249.796,251.579,326.8661,-0.23033009541215807,9
20200831_AWC_Is_odr1p_HEX_10K_5_reg.tif,37,496.383,249.722,246.66099999999997,326.8661,-0.2453760117675098,9.25
20200831_AWC_Is_odr1p_HEX_10K_5_reg.tif,38,493.942,249.278,244.66400000000002,326.8661,-0.2514855471399451,9.5
20200831_AWC_Is_odr1p_HEX_10K_5_reg.tif,39,490.767,248.759,242.008,326.8661,-0.25961119859171694,9.75
20200831_AWC_Is_odr1p_HEX_10K_5_reg.tif,40,493.058,247.87,245.188,326.8661,-0.24988244421798414,10
20200831_AWC_Is_odr1p_HEX_10K_5_reg.tif,41,491.25,249,242.25,326.8661,-0.25887083426516244,10.25
20200831_AWC_Is_odr1p_HEX_10K_5_reg.tif,42,490.6,249.63,240.97000000000003,326.8661,-0.26278681086842587,10.5
20200831_AWC_Is_odr1p_HEX_10K_5_reg.tif,43,495.35,250.778,244.57200000000003,326.8661,-0.2517670079583046,10.75
20200831_AWC_Is_odr1p_HEX_10K_5_reg.tif,44,502.692,249.741,252.951,326.8661,-0.22613265799053503,11
20200831_AWC_Is_odr1p_HEX_10K_5_reg.tif,45,510.408,249.833,260.57500000000005,326.8661,-0.2028081223473464,11.25
20200831_AWC_Is_odr1p_HEX_10K_5_reg.tif,46,513.258,250.796,262.46200000000005,326.8661,-0.19703511621425399,11.5
20200831_AWC_Is_odr1p_HEX_10K_5_reg.tif,47,512.175,250.63,261.54499999999996,326.8661,-0.19984054632768602,11.75
20200831_AWC_Is_odr1p_HEX_10K_5_reg.tif,48,509.383,250.593,258.78999999999996,326.8661,-0.20826907409486653,12
20200831_AWC_Is_odr1p_HEX_10K_5_reg.tif,49,513.442,250.5,262.942,326.8661,-0.1955666249880303,12.25
20200831_AWC_Is_odr1p_HEX_10K_5_reg.tif,50,519.925,250.204,269.72099999999995,326.8661,-0.17482724577434022,12.5
20200831_AWC_Is_odr1p_HEX_10K_5_reg.tif,51,528.425,250.537,277.8879999999999,326.8661,-0.14984147943148615,12.75
20200831_AWC_Is_odr1p_HEX_10K_5_reg.tif,52,543.625,251.185,292.44,326.8661,-0.10532172042313356,13
20200831_AWC_Is_odr1p_HEX_10K_5_reg.tif,53,560.6,252.185,308.415,326.8661,-0.05644849680037176,13.25
20200831_AWC_Is_odr1p_HEX_10K_5_reg.tif,54,579.858,251.222,328.63599999999997,326.8661,0.005414755461028079,13.5
