animal,Slice,MeanGCaMP,MeanBackground,Fluor,Fnaut,signal,time
20210821_AWC_odr1p_HEX_BENZ_10K__2_reg.tif,1,352.115,203.986,148.12900000000002,150.0165,-0.012581949318908176,0.25
20210821_AWC_odr1p_HEX_BENZ_10K__2_reg.tif,2,351.52,204.068,147.45199999999997,150.0165,-0.017094786240180498,0.5
20210821_AWC_odr1p_HEX_BENZ_10K__2_reg.tif,3,352.885,204.438,148.447,150.0165,-0.010462182493259108,0.75
20210821_AWC_odr1p_HEX_BENZ_10K__2_reg.tif,4,352.27,203.658,148.612,150.0165,-0.009362303479950625,1
20210821_AWC_odr1p_HEX_BENZ_10K__2_reg.tif,5,352.128,204.082,148.046,150.0165,-0.013135221792269619,1.25
20210821_AWC_odr1p_HEX_BENZ_10K__2_reg.tif,6,353.122,203.863,149.25900000000001,150.0165,-0.005049444561098233,1.5
20210821_AWC_odr1p_HEX_BENZ_10K__2_reg.tif,7,352.088,204.37,147.71800000000002,150.0165,-0.015321647952058539,1.75
20210821_AWC_odr1p_HEX_BENZ_10K__2_reg.tif,8,354.986,204.521,150.465,150.0165,0.0029896711361749916,2
20210821_AWC_odr1p_HEX_BENZ_10K__2_reg.tif,9,356.939,203.877,153.062,150.0165,0.020301100212310005,2.25
20210821_AWC_odr1p_HEX_BENZ_10K__2_reg.tif,10,354.473,204.055,150.418,150.0165,0.0026763722657174283,2.5
20210821_AWC_odr1p_HEX_BENZ_10K__2_reg.tif,11,354.095,204.178,149.91700000000003,150.0165,-6.632603746919687e-4,2.75
20210821_AWC_odr1p_HEX_BENZ_10K__2_reg.tif,12,355.02,203.863,151.15699999999998,150.0165,0.007602497058656711,3
20210821_AWC_odr1p_HEX_BENZ_10K__2_reg.tif,13,354.764,203.671,151.09300000000002,150.0165,0.007175877320161515,3.25
20210821_AWC_odr1p_HEX_BENZ_10K__2_reg.tif,14,354.338,203.918,150.42000000000002,150.0165,0.0026897041325454744,3.5
20210821_AWC_odr1p_HEX_BENZ_10K__2_reg.tif,15,354.804,203.342,151.46199999999996,150.0165,0.00963560674992386,3.75
20210821_AWC_odr1p_HEX_BENZ_10K__2_reg.tif,16,354.291,203.603,150.688,150.0165,0.004476174287494912,4
20210821_AWC_odr1p_HEX_BENZ_10K__2_reg.tif,17,354.615,203.973,150.642,150.0165,0.004169541350451372,4.25
20210821_AWC_odr1p_HEX_BENZ_10K__2_reg.tif,18,354.926,204.123,150.803,150.0165,0.005242756630103952,4.5
20210821_AWC_odr1p_HEX_BENZ_10K__2_reg.tif,19,355.088,203.767,151.32100000000003,150.0165,0.00869571013855155,4.75
20210821_AWC_odr1p_HEX_BENZ_10K__2_reg.tif,20,355.493,204.274,151.219,150.0165,0.00801578493032424,5
20210821_AWC_odr1p_HEX_BENZ_10K__2_reg.tif,21,355.703,203.562,152.14099999999996,150.0165,0.01416177553802385,5.25
20210821_AWC_odr1p_HEX_BENZ_10K__2_reg.tif,22,355.676,204.164,151.512,150.0165,0.009968903420623683,5.5
20210821_AWC_odr1p_HEX_BENZ_10K__2_reg.tif,23,355.405,203.918,151.48699999999997,150.0165,0.009802255085273676,5.75
20210821_AWC_odr1p_HEX_BENZ_10K__2_reg.tif,24,355.412,203.808,151.60399999999998,150.0165,0.010582169294710763,6
20210821_AWC_odr1p_HEX_BENZ_10K__2_reg.tif,25,355.128,203.904,151.224,150.0165,0.008049114597394165,6.25
20210821_AWC_odr1p_HEX_BENZ_10K__2_reg.tif,26,355.973,204.192,151.781,150.0165,0.011762039508987332,6.5
20210821_AWC_odr1p_HEX_BENZ_10K__2_reg.tif,27,355.243,203.918,151.325,150.0165,0.008722373872207263,6.75
