animal,Slice,MeanGCaMP,MeanBackground,Fluor,Fnaut,signal,time
20200821_ASH_kyIs602_HEX_10K__8_reg.tif,1,509.194,221.111,288.083,294.48595,-0.02174280300978697,0.25
20200821_ASH_kyIs602_HEX_10K__8_reg.tif,2,515.704,219.778,295.92599999999993,294.48595,0.004890046537024698,0.5
20200821_ASH_kyIs602_HEX_10K__8_reg.tif,3,529.429,220.556,308.87299999999993,294.48595,0.048854792563108464,0.75
20200821_ASH_kyIs602_HEX_10K__8_reg.tif,4,537.163,221.889,315.274,294.48595,0.07059097386479728,1
20200821_ASH_kyIs602_HEX_10K__8_reg.tif,5,540.01,221.222,318.788,294.48595,0.08252363143301067,1.25
20200821_ASH_kyIs602_HEX_10K__8_reg.tif,6,534.398,221.333,313.06500000000005,294.48595,0.06308976710094336,1.5
20200821_ASH_kyIs602_HEX_10K__8_reg.tif,7,527.827,222.667,305.15999999999997,294.48595,0.03624638119407722,1.75
20200821_ASH_kyIs602_HEX_10K__8_reg.tif,8,523.01,220.444,302.56600000000003,294.48595,0.027437811549243785,2
20200821_ASH_kyIs602_HEX_10K__8_reg.tif,9,520.163,220.556,299.60699999999997,294.48595,0.017389793978286463,2.25
20200821_ASH_kyIs602_HEX_10K__8_reg.tif,10,520.816,220.667,300.149,294.48595,0.01923028925488635,2.5
20200821_ASH_kyIs602_HEX_10K__8_reg.tif,11,520.102,220.778,299.32399999999996,294.48595,0.01642879736707287,2.75
20200821_ASH_kyIs602_HEX_10K__8_reg.tif,12,515.541,218.889,296.65200000000004,294.48595,0.007355359398300805,3
20200821_ASH_kyIs602_HEX_10K__8_reg.tif,13,517.122,220.889,296.23299999999995,294.48595,0.00593254109406559,3.25
20200821_ASH_kyIs602_HEX_10K__8_reg.tif,14,515.153,219.889,295.264,294.48595,0.0026420615312887,3.5
20200821_ASH_kyIs602_HEX_10K__8_reg.tif,15,510.429,220.556,289.87299999999993,294.48595,-0.015664414550168076,3.75
20200821_ASH_kyIs602_HEX_10K__8_reg.tif,16,506.5,221.556,284.94399999999996,294.48595,-0.032402055174449045,4
20200821_ASH_kyIs602_HEX_10K__8_reg.tif,17,497.01,221.222,275.788,294.48595,-0.06349352150756256,4.25
20200821_ASH_kyIs602_HEX_10K__8_reg.tif,18,492.184,219.778,272.40600000000006,294.48595,-0.0749779403737256,4.5
20200821_ASH_kyIs602_HEX_10K__8_reg.tif,19,488.449,222.111,266.338,294.48595,-0.09558333767706059,4.75
20200821_ASH_kyIs602_HEX_10K__8_reg.tif,20,486.184,220.778,265.40600000000006,294.48595,-0.0987481745733538,5
20200821_ASH_kyIs602_HEX_10K__8_reg.tif,21,490.01,219.222,270.788,294.48595,-0.0804722602215827,5.25
20200821_ASH_kyIs602_HEX_10K__8_reg.tif,22,495.827,221.333,274.494,294.48595,-0.06788761908675091,5.5
20200821_ASH_kyIs602_HEX_10K__8_reg.tif,23,498.684,221.333,277.351,294.48595,-0.0581859677855599,5.75
20200821_ASH_kyIs602_HEX_10K__8_reg.tif,24,501.592,221.111,280.481,294.48595,-0.04755727735058331,6
20200821_ASH_kyIs602_HEX_10K__8_reg.tif,25,512.112,220.667,291.44499999999994,294.48595,-0.010326299098480136,6.25
20200821_ASH_kyIs602_HEX_10K__8_reg.tif,26,520.224,220.444,299.7800000000001,294.48595,0.01797725833779195,6.5
20200821_ASH_kyIs602_HEX_10K__8_reg.tif,27,526.531,220.222,306.30899999999997,294.48595,0.040148095350559056,6.75
20200821_ASH_kyIs602_HEX_10K__8_reg.tif,28,536.969,222.889,314.08000000000004,294.48595,0.06653645105988941,7
20200821_ASH_kyIs602_HEX_10K__8_reg.tif,29,541.653,220.889,320.764,294.48595,0.08923362897279143,7.25
20200821_ASH_kyIs602_HEX_10K__8_reg.tif,30,542.122,220.222,321.9,294.48595,0.0930911984086167,7.5
20200821_ASH_kyIs602_HEX_10K__8_reg.tif,31,542.745,220.111,322.634,294.48595,0.09558367725183498,7.75
20200821_ASH_kyIs602_HEX_10K__8_reg.tif,32,546.071,221.333,324.73800000000006,294.48595,0.1027283305026948,8
20200821_ASH_kyIs602_HEX_10K__8_reg.tif,33,556.929,220.778,336.15099999999995,294.48595,0.14148399949131682,8.25
20200821_ASH_kyIs602_HEX_10K__8_reg.tif,34,565.898,220.889,345.009,294.48595,0.1715635329970751,8.5
20200821_ASH_kyIs602_HEX_10K__8_reg.tif,35,571.245,219.444,351.80100000000004,294.48595,0.19462745166620019,8.75
20200821_ASH_kyIs602_HEX_10K__8_reg.tif,36,569.061,220.556,348.505,294.48595,0.18343506710591792,9
20200821_ASH_kyIs602_HEX_10K__8_reg.tif,37,560.806,220,340.80600000000004,294.48595,0.15729120523406986,9.25
20200821_ASH_kyIs602_HEX_10K__8_reg.tif,38,564.582,221.111,343.471,294.48595,0.16634087296864247,9.5
20200821_ASH_kyIs602_HEX_10K__8_reg.tif,39,568.276,219.667,348.6089999999999,294.48595,0.1837882248711693,9.75
20200821_ASH_kyIs602_HEX_10K__8_reg.tif,40,563.398,219.889,343.509,294.48595,0.16646991138286907,10
20200821_ASH_kyIs602_HEX_10K__8_reg.tif,41,559.816,221.556,338.26,294.48595,0.14864563148089063,10.25
20200821_ASH_kyIs602_HEX_10K__8_reg.tif,42,566.408,219.889,346.519,294.48595,0.17669111208870916,10.5
20200821_ASH_kyIs602_HEX_10K__8_reg.tif,43,568.306,222.333,345.97300000000007,294.48595,0.17483703382113838,10.75
20200821_ASH_kyIs602_HEX_10K__8_reg.tif,44,564.408,220.222,344.18600000000004,294.48595,0.16876883260474745,11
20200821_ASH_kyIs602_HEX_10K__8_reg.tif,45,564.99,221.778,343.212,294.48595,0.1654613743032562,11.25
20200821_ASH_kyIs602_HEX_10K__8_reg.tif,46,580.847,221.222,359.625,294.48595,0.22119578200589873,11.5
20200821_ASH_kyIs602_HEX_10K__8_reg.tif,47,601.306,221.111,380.19500000000005,294.48595,0.29104631307537776,11.75
20200821_ASH_kyIs602_HEX_10K__8_reg.tif,48,614.561,219.667,394.894,294.48595,0.34096040914685405,12
20200821_ASH_kyIs602_HEX_10K__8_reg.tif,49,616.296,220.333,395.9630000000001,294.48595,0.3445904634839118,12.25
20200821_ASH_kyIs602_HEX_10K__8_reg.tif,50,612.806,219.444,393.3620000000001,294.48595,0.3357581236048785,12.5
20200821_ASH_kyIs602_HEX_10K__8_reg.tif,51,611.163,219,392.163,294.48595,0.33168662206125626,12.75
20200821_ASH_kyIs602_HEX_10K__8_reg.tif,52,611.429,220.222,391.207,294.48595,0.32844028721913554,13
20200821_ASH_kyIs602_HEX_10K__8_reg.tif,53,603.531,220,383.53099999999995,294.48595,0.3023745275453717,13.25
20200821_ASH_kyIs602_HEX_10K__8_reg.tif,54,593.459,219.556,373.9029999999999,294.48595,0.26968026827765434,13.5
20200821_ASH_kyIs602_HEX_10K__8_reg.tif,55,583.439,220.778,362.66099999999994,294.48595,0.23150527215305158,13.75
20200821_ASH_kyIs602_HEX_10K__8_reg.tif,56,577.235,222.111,355.124,294.48595,0.2059115214155379,14
20200821_ASH_kyIs602_HEX_10K__8_reg.tif,57,575.867,220.556,355.3109999999999,294.48595,0.20654652624344189,14.25
20200821_ASH_kyIs602_HEX_10K__8_reg.tif,58,576.255,220.778,355.477,294.48595,0.20711022036874754,14.5
20200821_ASH_kyIs602_HEX_10K__8_reg.tif,59,572.847,220.889,351.95799999999997,294.48595,0.19516058406182016,14.75
20200821_ASH_kyIs602_HEX_10K__8_reg.tif,60,569.398,220.222,349.17600000000004,294.48595,0.1857136138413396,15
20200821_ASH_kyIs602_HEX_10K__8_reg.tif,61,562.735,221.444,341.29100000000005,294.48595,0.15893814288932986,15.25
20200821_ASH_kyIs602_HEX_10K__8_reg.tif,62,556.408,219.556,336.852,294.48595,0.14386441865902252,15.5
20200821_ASH_kyIs602_HEX_10K__8_reg.tif,63,543.602,220.222,323.38,294.48595,0.09811690506796672,15.75
20200821_ASH_kyIs602_HEX_10K__8_reg.tif,64,537.745,219,318.745,294.48595,0.08237761428007008,16
20200821_ASH_kyIs602_HEX_10K__8_reg.tif,65,534.49,219.444,315.04600000000005,294.48595,0.06981674337943812,16.25
20200821_ASH_kyIs602_HEX_10K__8_reg.tif,66,540,220.556,319.44399999999996,294.48595,0.08475124195228993,16.5
20200821_ASH_kyIs602_HEX_10K__8_reg.tif,67,548.633,220.778,327.855,294.48595,0.11331287621701482,16.75
20200821_ASH_kyIs602_HEX_10K__8_reg.tif,68,562.276,220.222,342.054,294.48595,0.16152909841708907,17
