animal,Slice,MeanGCaMP,MeanBackground,Fluor,Fnaut,signal,time
20200828_ASH_kyIs602_HEX_IAA_10K__2_reg.tif,1,330.623,222.45,108.173,107.46875,0.006553067752253579,0.25
20200828_ASH_kyIs602_HEX_IAA_10K__2_reg.tif,2,329.954,222.05,107.904,107.46875,0.0040500145391101725,0.5
20200828_ASH_kyIs602_HEX_IAA_10K__2_reg.tif,3,329.669,221.45,108.219,107.46875,0.006981099156731553,0.75
20200828_ASH_kyIs602_HEX_IAA_10K__2_reg.tif,4,329.245,220.9,108.345,107.46875,0.008153533003780158,1
20200828_ASH_kyIs602_HEX_IAA_10K__2_reg.tif,5,329.099,222.4,106.69899999999998,107.46875,-0.007162547252108321,1.25
20200828_ASH_kyIs602_HEX_IAA_10K__2_reg.tif,6,328.351,222.7,105.65100000000001,107.46875,-0.016914219249781814,1.5
20200828_ASH_kyIs602_HEX_IAA_10K__2_reg.tif,7,328.325,222.4,105.92499999999998,107.46875,-0.014364640883978059,1.75
20200828_ASH_kyIs602_HEX_IAA_10K__2_reg.tif,8,328.483,221.75,106.733,107.46875,-0.006846176214015664,2
20200828_ASH_kyIs602_HEX_IAA_10K__2_reg.tif,9,328.483,220.35,108.13300000000001,107.46875,0.006180866530968396,2.25
20200828_ASH_kyIs602_HEX_IAA_10K__2_reg.tif,10,328.49,221.3,107.19,107.46875,-0.002593777260831658,2.5
20200828_ASH_kyIs602_HEX_IAA_10K__2_reg.tif,11,329.199,220.25,108.94900000000001,107.46875,0.013773771445187669,2.75
20200828_ASH_kyIs602_HEX_IAA_10K__2_reg.tif,12,328.351,222,106.351,107.46875,-0.010400697877289918,3
20200828_ASH_kyIs602_HEX_IAA_10K__2_reg.tif,13,328.06,219.8,108.25999999999999,107.46875,0.007362605408548912,3.25
20200828_ASH_kyIs602_HEX_IAA_10K__2_reg.tif,14,328.728,222,106.72800000000001,107.46875,-0.006892701366676279,3.5
20200828_ASH_kyIs602_HEX_IAA_10K__2_reg.tif,15,328.377,221.5,106.87700000000001,107.46875,-0.005506251817388687,3.75
20200828_ASH_kyIs602_HEX_IAA_10K__2_reg.tif,16,328.947,221.65,107.297,107.46875,-0.0015981389938936011,4
20200828_ASH_kyIs602_HEX_IAA_10K__2_reg.tif,17,329.172,221.45,107.72200000000004,107.46875,0.0023564989822626283,4.25
20200828_ASH_kyIs602_HEX_IAA_10K__2_reg.tif,18,328.497,221,107.49700000000001,107.46875,2.6286711253284417e-4,4.5
20200828_ASH_kyIs602_HEX_IAA_10K__2_reg.tif,19,329.344,221.15,108.19399999999999,107.46875,0.006748473393428214,4.75
20200828_ASH_kyIs602_HEX_IAA_10K__2_reg.tif,20,328.828,220.3,108.52799999999996,107.46875,0.009856353591159878,5
20200828_ASH_kyIs602_HEX_IAA_10K__2_reg.tif,21,330.238,221.05,109.18799999999999,107.46875,0.015997673742366856,5.25
20200828_ASH_kyIs602_HEX_IAA_10K__2_reg.tif,22,329.914,221.95,107.964,107.46875,0.00460831637103808,5.5
20200828_ASH_kyIs602_HEX_IAA_10K__2_reg.tif,23,329.762,220.25,109.512,107.46875,0.019012503634777557,5.75
20200828_ASH_kyIs602_HEX_IAA_10K__2_reg.tif,24,330.556,220.85,109.70599999999999,107.46875,0.020817679558010945,6
20200828_ASH_kyIs602_HEX_IAA_10K__2_reg.tif,25,330.808,221.65,109.15799999999999,107.46875,0.015718522826402903,6.25
20200828_ASH_kyIs602_HEX_IAA_10K__2_reg.tif,26,330.563,220.15,110.41299999999998,107.46875,0.02739633614422781,6.5
20200828_ASH_kyIs602_HEX_IAA_10K__2_reg.tif,27,331.437,220.05,111.387,107.46875,0.036459435882524,6.75
20200828_ASH_kyIs602_HEX_IAA_10K__2_reg.tif,28,330.848,221.3,109.548,107.46875,0.0193474847339343,7
20200828_ASH_kyIs602_HEX_IAA_10K__2_reg.tif,29,331.854,222.15,109.70399999999998,107.46875,0.020799069496946595,7.25
20200828_ASH_kyIs602_HEX_IAA_10K__2_reg.tif,30,330.934,221.2,109.73400000000004,107.46875,0.02107822041291108,7.5
20200828_ASH_kyIs602_HEX_IAA_10K__2_reg.tif,31,330.536,221.65,108.886,107.46875,0.013187554521663234,7.75
20200828_ASH_kyIs602_HEX_IAA_10K__2_reg.tif,32,330.815,219.3,111.51499999999999,107.46875,0.03765047979063669,8
20200828_ASH_kyIs602_HEX_IAA_10K__2_reg.tif,33,330.497,219.95,110.54700000000003,107.46875,0.028643210235533824,8.25
20200828_ASH_kyIs602_HEX_IAA_10K__2_reg.tif,34,330.132,221,109.132,107.46875,0.015476592032567654,8.5
20200828_ASH_kyIs602_HEX_IAA_10K__2_reg.tif,35,330.06,220.35,109.71000000000001,107.46875,0.02085489968013965,8.75
20200828_ASH_kyIs602_HEX_IAA_10K__2_reg.tif,36,329.629,220.85,108.77900000000002,107.46875,0.012191916254725441,9
20200828_ASH_kyIs602_HEX_IAA_10K__2_reg.tif,37,331.278,220.95,110.32800000000003,107.46875,0.026605408548997095,9.25
20200828_ASH_kyIs602_HEX_IAA_10K__2_reg.tif,38,331.099,220.3,110.79899999999998,107.46875,0.030988077929630504,9.5
20200828_ASH_kyIs602_HEX_IAA_10K__2_reg.tif,39,330.728,220.65,110.078,107.46875,0.02427915091596397,9.75
20200828_ASH_kyIs602_HEX_IAA_10K__2_reg.tif,40,330.258,221.55,108.70799999999997,107.46875,0.0115312590869436,10
20200828_ASH_kyIs602_HEX_IAA_10K__2_reg.tif,41,330.795,220.15,110.64500000000001,107.46875,0.02955510322768256,10.25
20200828_ASH_kyIs602_HEX_IAA_10K__2_reg.tif,42,331.503,220.1,111.40299999999999,107.46875,0.036608316371038015,10.5
20200828_ASH_kyIs602_HEX_IAA_10K__2_reg.tif,43,331.894,221.15,110.744,107.46875,0.030476301250363477,10.75
20200828_ASH_kyIs602_HEX_IAA_10K__2_reg.tif,44,331.536,221.15,110.386,107.46875,0.027145100319860383,11
20200828_ASH_kyIs602_HEX_IAA_10K__2_reg.tif,45,332.649,220.9,111.749,107.46875,0.039827856935155524,11.25
