animal,animal_num,time_at_maxON,stim_ON_delF,time_at_maxOFF,stim_OFF_delF
20210616_ASH_unc13_HEX_10K__1/20210616_ASH_unc13_HEX_10K__1_ImageJ_data.csv,1,32.5,0.6603209049242625,70,-0.4555310823533056
20210616_ASH_unc13_HEX_10K__2/20210616_ASH_unc13_HEX_10K__2_ImageJ_data.csv,2,31,2.233946069773301,64.5,-0.3742616933333419
20210616_ASH_unc13_HEX_10K__3/20210616_ASH_unc13_HEX_10K__3_ImageJ_data.csv,3,32,0.27031910424251204,70.25,-0.10413133390273348
20210616_ASH_unc13_HEX_10K__4/20210616_ASH_unc13_HEX_10K__4_ImageJ_data.csv,4,31.25,2.248202687016653,60.75,0.8640750231973952
20210616_ASH_unc13_HEX_10K__5/20210616_ASH_unc13_HEX_10K__5_ImageJ_data.csv,5,31,2.144532817257086,60.75,0.3393811018542553
20210708_ASH_unc13_HEX_10K__1/20210708_ASH_unc13_HEX_10K__1_ImageJ_data.csv,6,31.25,0.49394591764135354,67.75,-0.32826595784975776
20210708_ASH_unc13_HEX_10K__10/20210708_ASH_unc13_HEX_10K__10_ImageJ_data.csv,7,31,0.4378950095076339,67.75,-0.5070125038364177
20210708_ASH_unc13_HEX_10K__2/20210708_ASH_unc13_HEX_10K__2_ImageJ_data.csv,8,31.5,0.48522332648116456,70.25,-0.10296234987498569
20210708_ASH_unc13_HEX_10K__3/20210708_ASH_unc13_HEX_10K__3_ImageJ_data.csv,9,31.25,0.04854121524274756,61.25,-0.09033084893245952
20210708_ASH_unc13_HEX_10K__4/20210708_ASH_unc13_HEX_10K__4_ImageJ_data.csv,10,31.75,1.5254821475639113,60.75,0.3405072975817546
20210708_ASH_unc13_HEX_10K__5/20210708_ASH_unc13_HEX_10K__5_ImageJ_data.csv,11,31.5,0.7127826107323479,61,0.12222603999327601
20210708_ASH_unc13_HEX_10K__6/20210708_ASH_unc13_HEX_10K__6_ImageJ_data.csv,12,30.75,0.31732074037163527,68.75,-0.4393902377941122
20210708_ASH_unc13_HEX_10K__7/20210708_ASH_unc13_HEX_10K__7_ImageJ_data.csv,13,40.25,0.9681341915006488,60.75,0.8343401563113487
20210708_ASH_unc13_HEX_10K__8/20210708_ASH_unc13_HEX_10K__8_ImageJ_data.csv,14,31.5,1.1168276967546578,70.25,-0.17093833518220397
20210708_ASH_unc13_HEX_10K__9/20210708_ASH_unc13_HEX_10K__9_ImageJ_data.csv,15,33.5,0.4689745326259432,60.75,0.175800928355829
