animal,animal_num,time_at_maxON,stim_ON_delF,time_at_maxOFF,stim_OFF_delF
20210324_ASH_unc31_HEX_IAA_10K__10/20210324_ASH_unc31_HEX_IAA_10K__10_ImageJ_data.csv,1,37.75,0.6597202259848634,60.75,1.1738322004328225
20210324_ASH_unc31_HEX_IAA_10K__5/20210324_ASH_unc31_HEX_IAA_10K__5_ImageJ_data.csv,2,35.75,0.16151402526866657,69.5,-0.2888812244142267
20210324_ASH_unc31_HEX_IAA_10K__6/20210324_ASH_unc31_HEX_IAA_10K__6_ImageJ_data.csv,3,31.75,0.607229027994229,70.25,-0.885836472378798
20210324_ASH_unc31_HEX_IAA_10K__7/20210324_ASH_unc31_HEX_IAA_10K__7_ImageJ_data.csv,4,31.5,1.184776521408055,60.75,0.3395805138115312
20210324_ASH_unc31_HEX_IAA_10K__8/20210324_ASH_unc31_HEX_IAA_10K__8_ImageJ_data.csv,5,33,2.093976287975382,60.75,0.9737376859443978
20210324_ASH_unc31_HEX_IAA_10K__9/20210324_ASH_unc31_HEX_IAA_10K__9_ImageJ_data.csv,6,39.5,0.4428456595332082,60.75,0.18644479119066393
20210823_ASH_unc31_HEX_IAA_10K__1/20210823_ASH_unc31_HEX_IAA_10K__1_ImageJ_data.csv,7,38.5,1.0185970238583248,61,0.5047528405778069
20210823_ASH_unc31_HEX_IAA_10K__2/20210823_ASH_unc31_HEX_IAA_10K__2_ImageJ_data.csv,8,37.75,0.8507398670743782,60.75,0.6801777003443388
20210823_ASH_unc31_HEX_IAA_10K__3/20210823_ASH_unc31_HEX_IAA_10K__3_ImageJ_data.csv,9,38.25,0.1924778763923959,67.5,0.05258905927144361
20210823_ASH_unc31_HEX_IAA_10K__4/20210823_ASH_unc31_HEX_IAA_10K__4_ImageJ_data.csv,10,34,2.2183858799324967,60.75,1.916755795280391
20210823_ASH_unc31_HEX_IAA_10K__5/20210823_ASH_unc31_HEX_IAA_10K__5_ImageJ_data.csv,11,33.5,0.18413360578669136,64.75,-0.07073728907469935
20210823_ASH_unc31_HEX_IAA_10K__6/20210823_ASH_unc31_HEX_IAA_10K__6_ImageJ_data.csv,12,32,1.0448119222484906,60.75,0.5212732255159582
20210823_ASH_unc31_HEX_IAA_10K__7/20210823_ASH_unc31_HEX_IAA_10K__7_ImageJ_data.csv,13,33.5,0.14959218155427784,69.75,0.03736548371865593
20210823_ASH_unc31_HEX_IAA_10K__8/20210823_ASH_unc31_HEX_IAA_10K__8_ImageJ_data.csv,14,34.25,0.6449705697801855,60.75,0.3981331377678374
20210823_ASH_unc31_HEX_IAA_10K__9/20210823_ASH_unc31_HEX_IAA_10K__9_ImageJ_data.csv,15,40.25,0.6187761390433599,60.75,0.927764340541448
