wt hex,unc13 hex,unc31 hex,wt hexiaa,unc13 hexiaa,unc31 hexiaa
-0.421615463,-0.9185251,-0.4744624,2.85116069,2.52868627,4.50483365
0.095667807,-0.6963669,-0.6978682,0.04575841,0.72851178,2.12815194
-0.360089173,-0.4559961,-0.5871438,0.06606097,0.49896459,0.06400324
-0.400619134,-0.3133698,-0.5898783,-0.041866,1.89471569,2.84082119
-0.114194723,-0.5307724,-0.1529748,1.5685504,1.05176973,0.95726155
-0.388612604,-0.7911396,-0.4513202,2.01033013,1.0700267,0.93359429
-0.344275818,-0.2401384,0.08751146,1.03675996,-0.2059149,2.5677838
-0.165314102,-0.2377174,-0.0595548,1.63448098,1.99344264,3.21181071
-0.036379475,-0.4272503,-0.0700935,4.19079163,-0.185701,1.10660728
-0.055446259,-0.3600209,-0.0774374,0.41608546,4.14169964,1.19702956
-0.62223113,-0.2685411,-0.2689877,3.30095316,2.33342782,5.10077694
-0.621860501,-0.7107434,-0.6536381,2.72375582,3.65042271,3.6787999
-0.321795167,-0.1378958,-0.2503356,-0.0545503,1.49184103,1.89701189
-0.189778618,-0.300324,-0.3792981,0.503476,2.28183658,4.06544941
-0.07610279,-0.0786753,-0.3669518,2.44329607,2.94403283,-0.0528006
-0.328923241,,-0.0435545,2.34814618,,3.47406357
-0.740097985,,,2.85338058,,
-0.504338054,,,2.49023112,,
-0.60799603,,,0.64568538,,
-0.662772554,,,3.74889111,,
-0.4759601,,,1.54113031,,
-0.6809289,,,2.85295927,,
-0.4768316,,,2.96410593,,
-0.5597258,,,1.50597731,,
0.04408088,,,2.40957107,,
-0.5010867,,,0.04333716,,
-0.3129552,,,2.53790601,,
-0.1702716,,,3.43815247,,
-0.7764422,,,0.67246118,,
-0.8134961,,,1.40535266,,
-0.0614073,,,0.40646853,,
-0.0668616,,,1.46497192,,
-0.1866112,,,,,
-0.1014238,,,,,
-0.3970611,,,,,
