animal,animal_num,signal,MeanGCaMP,time,MeanBackground,fitted,correction,delF,genotype,cue,food,neuron,mean_pulse_delF
20210715_AWC_Is_odr1p_HEPT_10K__1/20210715_AWC_Is_odr1p_HEPT_10K__1_ImageJ_data.csv,1,-0.0060982407063963,667.033,0.25,220.349,0,raw,-0.07184514504570103,HEPT,HEX,OP50,AWC,0.06574690433930472
20210715_AWC_Is_odr1p_HEPT_10K__1/20210715_AWC_Is_odr1p_HEPT_10K__1_ImageJ_data.csv,1,-0.00914213215250519,664.886,0.5,219.57,0,raw,-0.0748890364918099,HEPT,HEX,OP50,AWC,0.06574690433930472
20210715_AWC_Is_odr1p_HEPT_10K__1/20210715_AWC_Is_odr1p_HEPT_10K__1_ImageJ_data.csv,1,-0.00624509511826991,667.374,0.75,220.756,0,raw,-0.07199199945757463,HEPT,HEX,OP50,AWC,0.06574690433930472
20210715_AWC_Is_odr1p_HEPT_10K__1/20210715_AWC_Is_odr1p_HEPT_10K__1_ImageJ_data.csv,1,-0.00220882385859067,668.967,1,220.535,0,raw,-0.06795572819789539,HEPT,HEX,OP50,AWC,0.06574690433930472
20210715_AWC_Is_odr1p_HEPT_10K__1/20210715_AWC_Is_odr1p_HEPT_10K__1_ImageJ_data.csv,1,-0.00231340200037955,668.211,1.25,219.826,0,raw,-0.06806030633968427,HEPT,HEX,OP50,AWC,0.06574690433930472
20210715_AWC_Is_odr1p_HEPT_10K__1/20210715_AWC_Is_odr1p_HEPT_10K__1_ImageJ_data.csv,1,-4.799469188051146e-4,668.244,1.5,219.035,0,raw,-0.06622685125810983,HEPT,HEX,OP50,AWC,0.06574690433930472
20210715_AWC_Is_odr1p_HEPT_10K__1/20210715_AWC_Is_odr1p_HEPT_10K__1_ImageJ_data.csv,1,-0.00396662666738173,667.805,1.75,220.163,0,raw,-0.06971353100668645,HEPT,HEX,OP50,AWC,0.06574690433930472
20210715_AWC_Is_odr1p_HEPT_10K__1/20210715_AWC_Is_odr1p_HEPT_10K__1_ImageJ_data.csv,1,2.5432514056306717e-4,669.341,2,219.802,0,raw,-0.06549257919874166,HEPT,HEX,OP50,AWC,0.06574690433930472
20210715_AWC_Is_odr1p_HEPT_10K__1/20210715_AWC_Is_odr1p_HEPT_10K__1_ImageJ_data.csv,1,5.636094322362955e-4,669.829,2.25,220.151,0,raw,-0.06518329490706842,HEPT,HEX,OP50,AWC,0.06574690433930472
20210715_AWC_Is_odr1p_HEPT_10K__1/20210715_AWC_Is_odr1p_HEPT_10K__1_ImageJ_data.csv,1,-0.00549079745728243,666.585,2.5,219.628,0,raw,-0.07123770179658714,HEPT,HEX,OP50,AWC,0.06574690433930472
