animal,animal_num,time_at_maxON,stim_ON_delF,time_at_maxOFF,stim_OFF_delF
20210908_AWC_WT_BZ_IAA_10K/20210908_AWC_WT_BZ_IAA_10K__1/20210908_AWC_WT_BZ_IAA_10K__1_ImageJ_data.csv,1,37.5,-0.020693385997492347,64.5,0.07662199312953899
20210908_AWC_WT_BZ_IAA_10K/20210908_AWC_WT_BZ_IAA_10K__10/20210908_AWC_WT_BZ_IAA_10K__10_ImageJ_data.csv,2,38.5,-0.05893736296370037,63.5,-0.033505609531784476
20210908_AWC_WT_BZ_IAA_10K/20210908_AWC_WT_BZ_IAA_10K__2/20210908_AWC_WT_BZ_IAA_10K__2_ImageJ_data.csv,3,38.5,-0.14380477181647672,69.5,0.2454082493709375
20210908_AWC_WT_BZ_IAA_10K/20210908_AWC_WT_BZ_IAA_10K__2/20210908_AWC_WT_BZ_IAA_10K__2_ImageJ_data.csv,3,40.25,-0.14380477181647672,69.5,0.2454082493709375
20210908_AWC_WT_BZ_IAA_10K/20210908_AWC_WT_BZ_IAA_10K__3/20210908_AWC_WT_BZ_IAA_10K__3_ImageJ_data.csv,4,30.75,-0.024373771713181294,62.25,0.061468981489109745
20210908_AWC_WT_BZ_IAA_10K/20210908_AWC_WT_BZ_IAA_10K__4/20210908_AWC_WT_BZ_IAA_10K__4_ImageJ_data.csv,5,38.75,-0.03197052249427277,63,0.18701458441342655
20210908_AWC_WT_BZ_IAA_10K/20210908_AWC_WT_BZ_IAA_10K__5/20210908_AWC_WT_BZ_IAA_10K__5_ImageJ_data.csv,6,37.5,-0.25160694974705183,61.5,0.34377587718029373
20210908_AWC_WT_BZ_IAA_10K/20210908_AWC_WT_BZ_IAA_10K__6/20210908_AWC_WT_BZ_IAA_10K__6_ImageJ_data.csv,7,38,-0.17361080549949642,60.75,-0.05886403204751318
20210908_AWC_WT_BZ_IAA_10K/20210908_AWC_WT_BZ_IAA_10K__7/20210908_AWC_WT_BZ_IAA_10K__7_ImageJ_data.csv,8,34,-0.03181203708760199,61.5,0.33777927596044927
20210908_AWC_WT_BZ_IAA_10K/20210908_AWC_WT_BZ_IAA_10K__8/20210908_AWC_WT_BZ_IAA_10K__8_ImageJ_data.csv,9,37.75,-0.050050257488917144,62.25,0.4068153487373357
20210908_AWC_WT_BZ_IAA_10K/20210908_AWC_WT_BZ_IAA_10K__9/20210908_AWC_WT_BZ_IAA_10K__9_ImageJ_data.csv,10,37.75,-0.06128860280797162,61.5,0.1424354021929028
20210909_AWC_WT_BZ_IAA_10K/20210909_AWC_WT_BZ_IAA_10K__1/20210909_AWC_WT_BZ_IAA_10K__1_ImageJ_data.csv,11,38.5,-0.03309733972629348,64.25,0.06298640969068954
20210909_AWC_WT_BZ_IAA_10K/20210909_AWC_WT_BZ_IAA_10K__2/20210909_AWC_WT_BZ_IAA_10K__2_ImageJ_data.csv,12,40.25,-0.1695551091101613,64.75,0.1551080285287594
20210909_AWC_WT_BZ_IAA_10K/20210909_AWC_WT_BZ_IAA_10K__3/20210909_AWC_WT_BZ_IAA_10K__3_ImageJ_data.csv,13,40.25,-0.5375377945583646,60.75,-0.34457442456757753
20210909_AWC_WT_BZ_IAA_10K/20210909_AWC_WT_BZ_IAA_10K__4/20210909_AWC_WT_BZ_IAA_10K__4_ImageJ_data.csv,14,39,-0.10235618200578075,69.25,0.14516260762085337
20210909_AWC_WT_BZ_IAA_10K/20210909_AWC_WT_BZ_IAA_10K__5/20210909_AWC_WT_BZ_IAA_10K__5_ImageJ_data.csv,15,32.75,0.016834570824991946,70.25,-0.10452638587163102
20210909_AWC_WT_BZ_IAA_10K/20210909_AWC_WT_BZ_IAA_10K__6/20210909_AWC_WT_BZ_IAA_10K__6_ImageJ_data.csv,16,32.75,-0.07027026249729743,66.5,-0.11268167331422074
20210909_AWC_WT_BZ_IAA_10K/20210909_AWC_WT_BZ_IAA_10K__7/20210909_AWC_WT_BZ_IAA_10K__7_ImageJ_data.csv,17,38.25,0.06369090351164397,61.5,0.10557175978035996
