animal,animal_num,time_at_maxON,stim_ON_delF,time_at_maxOFF,stim_OFF_delF
20200821_ASH_kyIs602_HEX_10K__1/20200821_ASH_kyIs602_HEX_10K__1_ImageJ_data.csv,1,30.75,1.0265994616538645,67.5,-0.16871075914680808
20200821_ASH_kyIs602_HEX_10K__10/20200821_ASH_kyIs602_HEX_10K__10_ImageJ_data.csv,2,34,0.3021016524525486,69,-0.6349348736227308
20200821_ASH_kyIs602_HEX_10K__3/20200821_ASH_kyIs602_HEX_10K__3_ImageJ_data.csv,3,30.75,0.28030185825882054,60.75,1.088245166298362
20200821_ASH_kyIs602_HEX_10K__4/20200821_ASH_kyIs602_HEX_10K__4_ImageJ_data.csv,4,30.75,0.4277663543791004,68.25,-0.2955438088599346
20200821_ASH_kyIs602_HEX_10K__5/20200821_ASH_kyIs602_HEX_10K__5_ImageJ_data.csv,5,39.5,-0.35804900431854186,65.25,-0.30922298777532753
20200821_ASH_kyIs602_HEX_10K__6/20200821_ASH_kyIs602_HEX_10K__6_ImageJ_data.csv,6,40.25,0.16412689363368121,60.75,0.20588352115127645
20200821_ASH_kyIs602_HEX_10K__7/20200821_ASH_kyIs602_HEX_10K__7_ImageJ_data.csv,7,31,1.1497446709613137,68.5,-0.15105737595109045
20200821_ASH_kyIs602_HEX_10K__8/20200821_ASH_kyIs602_HEX_10K__8_ImageJ_data.csv,8,31,1.1967983046874924,63.5,0.37141427533057436
20200821_ASH_kyIs602_HEX_10K__9/20200821_ASH_kyIs602_HEX_10K__9_ImageJ_data.csv,9,31.5,1.6330383903996717,69,-0.21899702442281574
20200822_ASH_kyIs602_HEX_10K__1/20200822_ASH_kyIs602_HEX_10K__1_ImageJ_data.csv,10,31.25,0.5932642373079603,68.75,0.035675084178247746
20200822_ASH_kyIs602_HEX_10K__2/20200822_ASH_kyIs602_HEX_10K__2_ImageJ_data.csv,11,30.75,1.2034556009290558,60.75,0.5150684942008796
20200822_ASH_kyIs602_HEX_10K__3/20200822_ASH_kyIs602_HEX_10K__3_ImageJ_data.csv,12,30.75,0.8935915893132956,60.75,0.22950660739396697
20200822_ASH_kyIs602_HEX_10K__4/20200822_ASH_kyIs602_HEX_10K__4_ImageJ_data.csv,13,31,0.9202144674695294,70.25,0.21996660363587323
20200822_ASH_kyIs602_HEX_10K__5/20200822_ASH_kyIs602_HEX_10K__5_ImageJ_data.csv,14,31.25,0.9614891691528594,60.75,0.10089458994702964
