ypos,lum_bin,worm,time,y_mm
55,buffer,9,2069,1.015481651376147
55,buffer,9,2081,1.015481651376147
55,buffer,34,1729,1.015481651376147
55,buffer,34,1731,1.015481651376147
56,buffer,9,1929,1.0339449541284407
56,buffer,9,1933,1.0339449541284407
56,buffer,9,1989,1.0339449541284407
56,buffer,9,1993,1.0339449541284407
56,buffer,9,2068,1.0339449541284407
56,buffer,20,1886,1.0339449541284407
56,buffer,20,1887,1.0339449541284407
56,buffer,34,1733,1.0339449541284407
57,buffer,9,1927,1.0524082568807342
57,buffer,9,1990,1.0524082568807342
57,buffer,9,1992,1.0524082568807342
57,buffer,34,1734,1.0524082568807342
58,buffer,9,1934,1.0708715596330278
58,buffer,9,1991,1.0708715596330278
58,buffer,20,1967,1.0708715596330278
58,buffer,34,1728,1.0708715596330278
59,buffer,9,1930,1.0893348623853214
59,buffer,9,1994,1.0893348623853214
59,buffer,9,2030,1.0893348623853214
59,buffer,9,2067,1.0893348623853214
59,buffer,9,2294,1.0893348623853214
59,buffer,34,1735,1.0893348623853214
60,buffer,9,2028,1.107798165137615
60,buffer,9,2031,1.107798165137615
60,buffer,9,2297,1.107798165137615
60,buffer,9,2380,1.107798165137615
60,buffer,20,1873,1.107798165137615
61,buffer,9,1932,1.1262614678899086
61,buffer,21,1840,1.1262614678899086
61,buffer,34,1727,1.1262614678899086
62,buffer,9,2032,1.1447247706422021
62,buffer,20,1882,1.1447247706422021
62,buffer,20,1885,1.1447247706422021
63,buffer,9,1931,1.1631880733944957
63,buffer,9,2296,1.1631880733944957
63,buffer,20,1883,1.1631880733944957
63,buffer,34,1726,1.1631880733944957
64,buffer,9,2295,1.1816513761467893
65,buffer,9,1926,1.2001146788990829
65,buffer,20,1884,1.2001146788990829
65,buffer,34,1736,1.2001146788990829
66,buffer,9,2027,1.2185779816513764
66,buffer,9,2066,1.2185779816513764
66,buffer,29,2378,1.2185779816513764
66,buffer,34,1725,1.2185779816513764
67,buffer,9,2033,1.23704128440367
67,buffer,9,2298,1.23704128440367
67,buffer,9,2301,1.23704128440367
67,buffer,29,2359,1.23704128440367
67,buffer,29,2365,1.23704128440367
67,buffer,29,2366,1.23704128440367
67,buffer,29,2368,1.23704128440367
67,buffer,29,2369,1.23704128440367
67,buffer,29,2370,1.23704128440367
67,buffer,29,2371,1.23704128440367
67,buffer,29,2374,1.23704128440367
67,buffer,29,2375,1.23704128440367
67,buffer,29,2377,1.23704128440367
68,buffer,9,2065,1.2555045871559636
68,buffer,9,2300,1.2555045871559636
68,buffer,9,2379,1.2555045871559636
68,buffer,29,2355,1.2555045871559636
68,buffer,29,2356,1.2555045871559636
68,buffer,29,2357,1.2555045871559636
68,buffer,29,2358,1.2555045871559636
68,buffer,29,2360,1.2555045871559636
68,buffer,29,2361,1.2555045871559636
68,buffer,29,2363,1.2555045871559636
68,buffer,29,2364,1.2555045871559636
68,buffer,29,2367,1.2555045871559636
68,buffer,29,2372,1.2555045871559636
