ybin,ybin_numeric,lum_bin,count,y_mm,relres
"(0.00239,0.341]",1,buffer,0,0,0
"(0.341,0.663]",2,buffer,0,0.3176470588235294,0
"(0.663,0.986]",3,buffer,0,0.6352941176470588,0
"(0.986,1.31]",4,buffer,303,0.9529411764705882,0.3634769770231614
"(1.31,1.63]",5,buffer,307,1.2705882352941176,0.36827535295746056
"(1.63,1.95]",6,buffer,296,1.588235294117647,0.35507981913813785
"(1.95,2.28]",7,buffer,359,1.9058823529411764,0.43065424010334963
"(2.28,2.6]",8,buffer,270,2.223529411764706,0.3238903755651933
"(2.6,2.92]",9,buffer,222,2.541176470588235,0.2663098643536034
"(2.92,3.24]",10,buffer,587,2.8588235294117643,0.7041616683584018
"(3.24,3.56]",11,buffer,385,3.176470588235294,0.46184368367629414
"(3.56,3.89]",12,buffer,298,3.4941176470588236,0.3574790071052874
"(3.89,4.21]",13,buffer,271,3.8117647058823527,0.3250899695487681
"(4.21,4.53]",14,buffer,554,4.129411764705882,0.6645750669004337
"(4.53,4.85]",15,buffer,870,4.447058823529412,1.0436467657100674
"(4.85,5.18]",16,buffer,145,4.764705882352941,0.17394112761834454
"(4.85,5.18]",16,dye,2278,5.08235294117647,2.7326750945833718
"(5.18,5.5]",17,dye,2848,5.3999999999999995,3.416443665221002
"(5.5,5.82]",18,dye,1899,5.717647058823529,2.2780289748085263
"(5.82,6.14]",19,dye,1585,6.035294117647059,1.9013564639660423
"(6.14,6.47]",20,dye,1612,6.352941176470588,1.9337455015225615
"(6.47,6.79]",21,dye,1450,6.670588235294117,1.7394112761834455
"(6.79,7.11]",22,dye,1226,6.988235294117647,1.4707022238626926
"(7.11,7.43]",23,dye,1207,7.305882352941176,1.4479099381747715
"(7.43,7.76]",24,dye,1481,7.6235294117647054,1.776598689674264
"(7.76,8.08]",25,dye,1337,7.941176470588235,1.6038571560394943
"(8.08,8.4]",26,dye,1397,8.258823529411764,1.6758327950539817
"(8.4,8.72]",27,dye,1717,8.576470588235294,2.0597028697979143
"(8.72,9.04]",28,dye,1252,8.894117647058824,1.501891667435637
"(9.04,9.37]",29,dye,1407,9.211764705882352,1.6878287348897296
"(9.37,9.69]",30,dye,1728,9.529411764705882,2.0728984036172373
"(9.69,10]",31,dye,1794,9.84705882352941,2.1520716065331733
"(10,10.3]",32,dye,1741,10.16470588235294,2.0884931254037093
"(10.3,10.7]",33,dye,2460,10.48235294117647,2.9510011995939833
"(10.7,11]",34,dye,2994,10.799999999999999,3.5915843868229214
"(11,11.3]",35,buffer,258,11.117647058823529,0.3094952477622958
"(11,11.3]",35,dye,1165,11.435294117647057,1.3975269908646304
"(11.3,11.6]",36,buffer,668,11.752941176470587,0.8013287810279598
"(11.6,11.9]",37,buffer,495,12.070588235294117,0.593799021869521
"(11.9,12.3]",38,buffer,500,12.388235294117646,0.599796991787395
"(12.3,12.6]",39,buffer,539,12.705882352941176,0.6465811571468119
"(12.6,12.9]",40,buffer,198,13.023529411764706,0.23751960874780842
"(12.9,13.2]",41,buffer,272,13.341176470588234,0.3262895635323429
"(13.2,13.6]",42,buffer,277,13.658823529411764,0.33228753345021683
"(13.6,13.9]",43,buffer,142,13.976470588235294,0.1703423456676202
"(13.9,14.2]",44,buffer,100,14.294117647058822,0.119959398357479
"(14.2,14.5]",45,buffer,147,14.611764705882353,0.17634031558549412
"(14.5,14.8]",46,buffer,176,14.92941176470588,0.21112854110916304
"(14.8,15.2]",47,buffer,131,15.247058823529411,0.15714681184829749
"(15.2,15.5]",48,buffer,0,15.564705882352941,0
"(15.5,15.8]",49,buffer,0,15.88235294117647,0
"(15.8,16.2]",50,buffer,0,16.2,0
