ypos,lum_bin,worm,time,y_mm
55,buffer,11,318,1.009692132269099
55,buffer,11,320,1.009692132269099
55,buffer,11,640,1.009692132269099
55,buffer,11,731,1.009692132269099
55,buffer,11,983,1.009692132269099
55,buffer,11,1260,1.009692132269099
55,buffer,11,1760,1.009692132269099
56,buffer,4,1379,1.0280501710376282
56,buffer,4,1380,1.0280501710376282
56,buffer,4,1385,1.0280501710376282
56,buffer,11,422,1.0280501710376282
56,buffer,11,580,1.0280501710376282
56,buffer,11,638,1.0280501710376282
56,buffer,11,981,1.0280501710376282
56,buffer,11,1766,1.0280501710376282
56,buffer,11,1767,1.0280501710376282
57,buffer,4,1381,1.0464082098061571
57,buffer,11,563,1.0464082098061571
57,buffer,11,587,1.0464082098061571
57,buffer,11,639,1.0464082098061571
57,buffer,11,732,1.0464082098061571
57,buffer,11,979,1.0464082098061571
57,buffer,11,980,1.0464082098061571
57,buffer,11,1259,1.0464082098061571
58,buffer,11,562,1.0647662485746863
58,buffer,11,581,1.0647662485746863
58,buffer,11,582,1.0647662485746863
58,buffer,11,978,1.0647662485746863
58,buffer,11,1261,1.0647662485746863
58,buffer,11,1301,1.0647662485746863
59,buffer,11,423,1.0831242873432154
59,buffer,11,637,1.0831242873432154
59,buffer,11,977,1.0831242873432154
59,buffer,11,1759,1.0831242873432154
61,buffer,4,1386,1.1198403648802735
61,buffer,11,424,1.1198403648802735
61,buffer,11,976,1.1198403648802735
61,buffer,11,1262,1.1198403648802735
61,buffer,11,1263,1.1198403648802735
62,buffer,11,588,1.1381984036488026
62,buffer,11,771,1.1381984036488026
62,buffer,11,772,1.1381984036488026
62,buffer,11,773,1.1381984036488026
62,buffer,11,774,1.1381984036488026
62,buffer,11,974,1.1381984036488026
62,buffer,11,975,1.1381984036488026
62,buffer,11,1265,1.1381984036488026
62,buffer,11,1758,1.1381984036488026
63,buffer,11,316,1.1565564424173316
63,buffer,11,733,1.1565564424173316
63,buffer,11,770,1.1565564424173316
63,buffer,11,775,1.1565564424173316
63,buffer,11,1264,1.1565564424173316
63,buffer,11,1266,1.1565564424173316
63,buffer,11,1267,1.1565564424173316
63,buffer,11,1268,1.1565564424173316
64,buffer,4,1389,1.1749144811858607
64,buffer,11,561,1.1749144811858607
64,buffer,11,589,1.1749144811858607
64,buffer,11,636,1.1749144811858607
64,buffer,11,769,1.1749144811858607
64,buffer,11,776,1.1749144811858607
64,buffer,11,777,1.1749144811858607
