ybin,ybin_numeric,lum_bin,count,y_mm,relres
"(0.00218,0.342]",1,buffer,0,0,0
"(0.342,0.665]",2,buffer,0,0.3176470588235294,0
"(0.665,0.989]",3,buffer,0,0.6352941176470588,0
"(0.989,1.31]",4,buffer,145,0.9529411764705882,0.22879684418145957
"(1.31,1.64]",5,buffer,398,1.2705882352941176,0.6280078895463511
"(1.64,1.96]",6,buffer,300,1.588235294117647,0.47337278106508873
"(1.96,2.28]",7,buffer,373,1.9058823529411764,0.5885601577909271
"(2.28,2.61]",8,buffer,543,2.223529411764706,0.8568047337278106
"(2.61,2.93]",9,buffer,137,2.541176470588235,0.21617357001972387
"(2.93,3.25]",10,buffer,139,2.8588235294117643,0.2193293885601578
"(3.25,3.58]",11,buffer,120,3.176470588235294,0.1893491124260355
"(3.58,3.9]",12,buffer,103,3.4941176470588236,0.16252465483234713
"(3.9,4.22]",13,buffer,199,3.8117647058823527,0.31400394477317556
"(4.22,4.55]",14,buffer,408,4.129411764705882,0.6437869822485207
"(4.55,4.87]",15,buffer,143,4.447058823529412,0.22564102564102564
"(4.55,4.87]",15,dye,477,4.764705882352941,0.7526627218934911
"(4.87,5.19]",16,dye,868,5.08235294117647,1.3696252465483234
"(5.19,5.52]",17,dye,953,5.3999999999999995,1.5037475345167652
"(5.52,5.84]",18,dye,806,5.717647058823529,1.2717948717948717
"(5.84,6.16]",19,dye,569,6.035294117647059,0.8978303747534516
"(6.16,6.49]",20,dye,819,6.352941176470588,1.2923076923076924
"(6.49,6.81]",21,dye,862,6.670588235294117,1.3601577909270217
"(6.81,7.13]",22,dye,1049,6.988235294117647,1.6552268244575936
"(7.13,7.46]",23,dye,841,7.305882352941176,1.3270216962524655
"(7.46,7.78]",24,dye,1278,7.6235294117647054,2.016568047337278
"(7.78,8.11]",25,dye,1052,7.941176470588235,1.6599605522682446
"(8.11,8.43]",26,dye,1253,8.258823529411764,1.977120315581854
"(8.43,8.75]",27,dye,1197,8.576470588235294,1.8887573964497042
"(8.75,9.08]",28,dye,1309,8.894117647058824,2.0654832347140037
"(9.08,9.4]",29,dye,860,9.211764705882352,1.3570019723865878
"(9.4,9.72]",30,dye,1148,9.529411764705882,1.811439842209073
"(9.72,10]",31,dye,1566,9.84705882352941,2.471005917159763
"(10,10.4]",32,dye,1391,10.16470588235294,2.194871794871795
"(10.4,10.7]",33,dye,1694,10.48235294117647,2.6729783037475343
"(10.7,11]",34,dye,2065,10.799999999999999,3.258382642998028
"(11,11.3]",35,dye,2126,11.117647058823529,3.3546351084812622
"(11.3,11.7]",36,buffer,962,11.435294117647057,1.5179487179487179
"(11.3,11.7]",36,dye,709,11.752941176470587,1.1187376725838265
"(11.7,12]",37,buffer,731,12.070588235294117,1.1534516765285996
"(12,12.3]",38,buffer,433,12.388235294117646,0.6832347140039448
"(12.3,12.6]",39,buffer,723,12.705882352941176,1.140828402366864
"(12.6,13]",40,buffer,756,13.023529411764706,1.1928994082840236
"(13,13.3]",41,buffer,206,13.341176470588234,0.32504930966469425
"(13.3,13.6]",42,buffer,360,13.658823529411764,0.5680473372781065
"(13.6,13.9]",43,buffer,173,13.976470588235294,0.2729783037475345
"(13.9,14.3]",44,buffer,134,14.294117647058822,0.21143984220907297
"(14.3,14.6]",45,buffer,312,14.611764705882353,0.49230769230769234
"(14.6,14.9]",46,buffer,245,14.92941176470588,0.3865877712031558
"(14.9,15.2]",47,buffer,20,15.247058823529411,0.03155818540433925
"(15.2,15.5]",48,buffer,0,15.564705882352941,0
"(15.5,15.9]",49,buffer,0,15.88235294117647,0
"(15.9,16.2]",50,buffer,0,16.2,0
