ybin,ybin_numeric,lum_bin,count,y_mm,relres
"(0.00241,0.338]",1,buffer,0,0,0
"(0.338,0.657]",2,buffer,0,0.3176470588235294,0
"(0.657,0.977]",3,buffer,0,0.6352941176470588,0
"(0.977,1.3]",4,buffer,785,0.9529411764705882,1.3384484228473998
"(1.3,1.62]",5,buffer,676,1.2705882352941176,1.1526001705029838
"(1.62,1.93]",6,buffer,413,1.588235294117647,0.7041773231031543
"(1.93,2.25]",7,buffer,727,1.9058823529411764,1.2395566922421142
"(2.25,2.57]",8,buffer,469,2.223529411764706,0.7996589940323956
"(2.57,2.89]",9,buffer,368,2.541176470588235,0.6274509803921569
"(2.89,3.21]",10,buffer,405,2.8588235294117643,0.690537084398977
"(3.21,3.53]",11,buffer,328,3.176470588235294,0.5592497868712702
"(3.53,3.85]",12,buffer,235,3.4941176470588236,0.40068201193520886
"(3.85,4.17]",13,buffer,211,3.8117647058823527,0.3597612958226769
"(4.17,4.49]",14,buffer,274,4.129411764705882,0.46717817561807334
"(4.49,4.81]",15,buffer,429,4.447058823529412,0.731457800511509
"(4.81,5.13]",16,buffer,577,4.764705882352941,0.9838022165387894
"(4.81,5.13]",16,dye,304,5.08235294117647,0.5183290707587382
"(5.13,5.45]",17,dye,1677,5.3999999999999995,2.8593350383631715
"(5.45,5.77]",18,dye,1280,5.717647058823529,2.182438192668372
"(5.77,6.09]",19,dye,1208,6.035294117647059,2.059676044330776
"(6.09,6.41]",20,dye,982,6.352941176470588,1.6743393009377665
"(6.41,6.73]",21,dye,888,6.670588235294117,1.514066496163683
"(6.73,7.05]",22,dye,1008,6.988235294117647,1.7186700767263428
"(7.05,7.37]",23,dye,774,7.305882352941176,1.319693094629156
"(7.37,7.68]",24,dye,789,7.6235294117647054,1.3452685421994885
"(7.68,8]",25,dye,651,7.941176470588235,1.1099744245524297
"(8,8.32]",26,dye,725,8.258823529411764,1.23614663256607
"(8.32,8.64]",27,dye,963,8.576470588235294,1.6419437340153453
"(8.64,8.96]",28,dye,933,8.894117647058824,1.5907928388746804
"(8.96,9.28]",29,dye,1101,9.211764705882352,1.8772378516624042
"(9.28,9.6]",30,dye,1040,9.529411764705882,1.773231031543052
"(9.6,9.92]",31,dye,1062,9.84705882352941,1.8107416879795397
"(9.92,10.2]",32,dye,1471,10.16470588235294,2.5080988917306053
"(10.2,10.6]",33,dye,2046,10.48235294117647,3.4884910485933505
"(10.6,10.9]",34,dye,1277,10.799999999999999,2.177323103154305
"(10.9,11.2]",35,buffer,696,11.117647058823529,1.186700767263427
"(10.9,11.2]",35,dye,209,11.435294117647057,0.35635123614663256
"(11.2,11.5]",36,buffer,366,11.752941176470587,0.6240409207161125
"(11.5,11.8]",37,buffer,197,12.070588235294117,0.3358908780903666
"(11.8,12.2]",38,buffer,206,12.388235294117646,0.3512361466325661
"(12.2,12.5]",39,buffer,385,12.705882352941176,0.6564364876385337
"(12.5,12.8]",40,buffer,188,13.023529411764706,0.3205456095481671
"(12.8,13.1]",41,buffer,164,13.341176470588234,0.2796248934356351
"(13.1,13.4]",42,buffer,354,13.658823529411764,0.6035805626598465
"(13.4,13.8]",43,buffer,565,13.976470588235294,0.9633418584825234
"(13.8,14.1]",44,buffer,545,14.294117647058822,0.9292412617220801
"(14.1,14.4]",45,buffer,224,14.611764705882353,0.38192668371696503
"(14.4,14.7]",46,buffer,262,14.92941176470588,0.44671781756180734
"(14.7,15]",47,buffer,61,15.247058823529411,0.10400682011935208
"(15,15.4]",48,buffer,0,15.564705882352941,0
"(15.4,15.7]",49,buffer,0,15.88235294117647,0
"(15.7,16]",50,buffer,0,16.2,0
