ybin,ybin_numeric,lum_bin,count,y_mm,relres
"(0.00238,0.34]",1,buffer,0,0,0
"(0.34,0.662]",2,buffer,0,0.3176470588235294,0
"(0.662,0.984]",3,buffer,0,0.6352941176470588,0
"(0.984,1.31]",4,buffer,79,0.9529411764705882,0.0801983483981805
"(1.31,1.63]",5,buffer,169,1.2705882352941176,0.17156355543408236
"(1.63,1.95]",6,buffer,192,1.588235294117647,0.1949124416765906
"(1.95,2.27]",7,buffer,241,1.9058823529411764,0.24465572106280384
"(2.27,2.59]",8,buffer,452,2.223529411764706,0.45885637311364036
"(2.59,2.92]",9,buffer,616,2.541176470588235,0.6253440837123948
"(2.92,3.24]",10,buffer,553,2.8588235294117643,0.5613884387872635
"(3.24,3.56]",11,buffer,770,3.176470588235294,0.7816801046404935
"(3.56,3.88]",12,buffer,339,3.4941176470588236,0.34414227983523027
"(3.88,4.2]",13,buffer,362,3.8117647058823527,0.3674911660777385
"(4.2,4.53]",14,buffer,626,4.129411764705882,0.6354957733830506
"(4.53,4.85]",15,buffer,818,4.447058823529412,0.8304082150596412
"(4.53,4.85]",15,dye,508,4.764705882352941,0.5157058352693127
"(4.85,5.17]",16,dye,2529,5.08235294117647,2.567362317708842
"(5.17,5.49]",17,dye,2396,5.3999999999999995,2.43234484508912
"(5.49,5.81]",18,dye,2126,5.717647058823529,2.158249223981415
"(5.81,6.14]",19,dye,2232,6.035294117647059,2.265857134490366
"(6.14,6.46]",20,dye,2170,6.352941176470588,2.2029166585323
"(6.46,6.78]",21,dye,1927,6.670588235294117,1.956230599535365
"(6.78,7.1]",22,dye,2108,6.988235294117647,2.1399761825742343
"(7.1,7.42]",23,dye,1922,7.305882352941176,1.9511547547000372
"(7.42,7.75]",24,dye,2409,7.6235294117647054,2.4455420416609726
"(7.75,8.07]",25,dye,1716,7.941176470588235,1.7420299474845284
"(8.07,8.39]",26,dye,1625,8.258823529411764,1.649649571481561
"(8.39,8.71]",27,dye,2299,8.576470588235294,2.3338734552837592
"(8.71,9.03]",28,dye,1937,8.894117647058824,1.9663822892060208
"(9.03,9.36]",29,dye,1962,9.211764705882352,1.9917615133826603
"(9.36,9.68]",30,dye,1955,9.529411764705882,1.984655330613201
"(9.68,10]",31,dye,2063,9.84705882352941,2.0942935790562833
"(10,10.3]",32,dye,1765,10.16470588235294,1.7917732268707418
"(10.3,10.6]",33,dye,2101,10.48235294117647,2.1328699998047753
"(10.6,11]",34,buffer,68,10.799999999999999,0.06903148976045917
"(10.6,11]",34,dye,2014,11.117647058823529,2.04455029967007
"(11,11.3]",35,buffer,1003,11.435294117647057,1.018214473966773
"(11.3,11.6]",36,buffer,933,11.752941176470587,0.9471526462721824
"(11.6,11.9]",37,buffer,377,12.070588235294117,0.38271870058372215
"(11.9,12.3]",38,buffer,518,12.388235294117646,0.5258575249399684
"(12.3,12.6]",39,buffer,644,12.705882352941176,0.653768814790231
"(12.6,12.9]",40,buffer,860,13.023529411764706,0.8730453116763954
"(12.9,13.2]",41,buffer,386,13.341176470588234,0.39185522128731237
"(13.2,13.5]",42,buffer,486,13.658823529411764,0.49337211799387
"(13.5,13.9]",43,buffer,283,13.976470588235294,0.287292817679558
"(13.9,14.2]",44,buffer,179,14.294117647058822,0.1817152451047381
"(14.2,14.5]",45,buffer,292,14.611764705882353,0.2964293383831482
"(14.5,14.8]",46,buffer,96,14.92941176470588,0.0974562208382953
"(14.8,15.2]",47,buffer,117,15.247058823529411,0.1187747691466724
"(15.2,15.5]",48,buffer,0,15.564705882352941,0
"(15.5,15.8]",49,buffer,0,15.88235294117647,0
"(15.8,16.1]",50,buffer,0,16.2,0
