ybin,ybin_numeric,lum_bin,count,y_mm,relres
"(0.00365,0.337]",1,buffer,0,0,0
"(0.337,0.655]",2,buffer,0,0.3176470588235294,0
"(0.655,0.973]",3,buffer,0,0.6352941176470588,0
"(0.973,1.29]",4,buffer,1716,0.9529411764705882,1.5773174008343351
"(1.29,1.61]",5,buffer,1598,1.2705882352941176,1.4688538499611115
"(1.61,1.93]",6,buffer,1363,1.588235294117647,1.2528459308491833
"(1.93,2.24]",7,buffer,1207,1.9058823529411764,1.1094534398642437
"(2.24,2.56]",8,buffer,1477,2.223529411764706,1.3576327511843316
"(2.56,2.88]",9,buffer,1652,2.541176470588235,1.518489712225129
"(2.88,3.2]",10,buffer,1369,2.8588235294117643,1.2583610266562963
"(3.2,3.51]",11,buffer,2338,3.176470588235294,2.1490489995050557
"(3.51,3.83]",12,buffer,2428,3.4941176470588236,2.2317754366117515
"(3.83,4.15]",13,buffer,2355,3.8117647058823527,2.164675104291876
"(3.83,4.15]",13,dye,99,4.129411764705882,0.09099908081736548
"(4.15,4.47]",14,dye,1863,4.447058823529412,1.712437248108605
"(4.47,4.79]",15,dye,1911,4.764705882352941,1.7565580145655095
"(4.79,5.1]",16,dye,1050,5.08235294117647,0.9651417662447854
"(5.1,5.42]",17,dye,918,5.3999999999999995,0.8438096584882981
"(5.42,5.74]",18,dye,822,5.717647058823529,0.7555681255744892
"(5.74,6.06]",19,dye,879,6.035294117647059,0.8079615357420632
"(6.06,6.37]",20,dye,271,6.352941176470588,0.24909849395460654
"(6.37,6.69]",21,dye,647,6.670588235294117,0.5947111645336915
"(6.69,7.01]",22,dye,554,6.988235294117647,0.5092271795234392
"(7.01,7.33]",23,dye,178,7.305882352941176,0.1636145089443541
"(7.33,7.64]",24,dye,268,7.6235294117647054,0.24634094605105
"(7.64,7.96]",25,dye,694,7.941176470588235,0.6379127483560773
"(7.96,8.28]",26,dye,1826,8.258823529411764,1.6784274906314078
"(8.28,8.6]",27,dye,520,8.576470588235294,0.4779749699497985
"(8.6,8.92]",28,dye,548,8.894117647058824,0.5037120837163261
"(8.92,9.23]",29,dye,414,9.211764705882352,0.3805416106908011
"(9.23,9.55]",30,dye,348,9.529411764705882,0.31987555681255747
"(9.55,9.87]",31,dye,632,9.84705882352941,0.580923425015909
"(9.87,10.2]",32,dye,2060,10.16470588235294,1.893516227108817
"(10.2,10.5]",33,dye,2987,10.48235294117647,2.745598529307785
"(10.5,10.8]",34,dye,2069,10.799999999999999,1.9017888708194868
"(10.8,11.1]",35,buffer,170,11.117647058823529,0.15626104786820336
"(10.8,11.1]",35,dye,1442,11.435294117647057,1.325461358976172
"(11.1,11.5]",36,buffer,2050,11.752941176470587,1.8843244007636286
"(11.5,11.8]",37,buffer,2877,12.070588235294117,2.644488439510712
"(11.8,12.1]",38,buffer,2289,12.388235294117646,2.1040090504136324
"(12.1,12.4]",39,buffer,1049,12.705882352941176,0.9642225836102666
"(12.4,12.7]",40,buffer,941,13.023529411764706,0.8649508590822315
"(12.7,13]",41,buffer,1154,13.341176470588234,1.060736760234745
"(13,13.4]",42,buffer,987,13.658823529411764,0.9072332602700983
"(13.4,13.7]",43,buffer,914,13.976470588235294,0.8401329279502228
"(13.7,14]",44,buffer,927,14.294117647058822,0.8520823021989677
"(14,14.3]",45,buffer,734,14.611764705882353,0.6746800537368309
"(14.3,14.6]",46,buffer,872,14.92941176470588,0.8015272573004313
"(14.6,15]",47,buffer,1105,15.247058823529411,1.0156968111433218
"(15,15.3]",48,buffer,0,15.564705882352941,0
"(15.3,15.6]",49,buffer,0,15.88235294117647,0
"(15.6,15.9]",50,buffer,0,16.2,0
