ybin,ybin_numeric,lum_bin,count,y_mm,relres
"(0.00226,0.341]",1,buffer,0,0,0
"(0.341,0.663]",2,buffer,0,0.3176470588235294,0
"(0.663,0.986]",3,buffer,0,0.6352941176470588,0
"(0.986,1.31]",4,buffer,949,0.9529411764705882,3.108535433070866
"(1.31,1.63]",5,buffer,981,1.2705882352941176,3.213354330708661
"(1.63,1.95]",6,buffer,691,1.588235294117647,2.263433070866142
"(1.95,2.28]",7,buffer,563,1.9058823529411764,1.8441574803149605
"(2.28,2.6]",8,buffer,544,2.223529411764706,1.7819212598425196
"(2.6,2.92]",9,buffer,490,2.541176470588235,1.6050393700787402
"(2.92,3.24]",10,buffer,355,2.8588235294117643,1.1628346456692913
"(3.24,3.57]",11,buffer,377,3.176470588235294,1.2348976377952756
"(3.57,3.89]",12,buffer,393,3.4941176470588236,1.2873070866141731
"(3.89,4.21]",13,buffer,429,3.8117647058823527,1.4052283464566928
"(4.21,4.53]",14,buffer,568,4.129411764705882,1.860535433070866
"(4.53,4.85]",15,buffer,569,4.447058823529412,1.863811023622047
"(4.53,4.85]",15,dye,77,4.764705882352941,0.25222047244094487
"(4.85,5.18]",16,dye,202,5.08235294117647,0.6616692913385827
"(5.18,5.5]",17,dye,48,5.3999999999999995,0.1572283464566929
"(5.5,5.82]",18,dye,29,5.717647058823529,0.09499212598425197
"(5.82,6.14]",19,dye,81,6.035294117647059,0.2653228346456693
"(6.14,6.47]",20,dye,94,6.352941176470588,0.3079055118110236
"(6.47,6.79]",21,dye,61,6.670588235294117,0.19981102362204725
"(6.79,7.11]",22,dye,60,6.988235294117647,0.19653543307086613
"(7.11,7.43]",23,dye,40,7.305882352941176,0.1310236220472441
"(7.43,7.76]",24,dye,19,7.6235294117647054,0.06223622047244094
"(7.76,8.08]",25,dye,20,7.941176470588235,0.06551181102362205
"(8.08,8.4]",26,dye,16,8.258823529411764,0.052409448818897635
"(8.4,8.72]",27,dye,33,8.576470588235294,0.10809448818897638
"(8.72,9.05]",28,dye,45,8.894117647058824,0.1474015748031496
"(9.05,9.37]",29,dye,60,9.211764705882352,0.19653543307086613
"(9.37,9.69]",30,dye,34,9.529411764705882,0.11137007874015747
"(9.69,10]",31,dye,14,9.84705882352941,0.04585826771653543
"(10,10.3]",32,dye,29,10.16470588235294,0.09499212598425197
"(10.3,10.7]",33,dye,21,10.48235294117647,0.06878740157480315
"(10.7,11]",34,buffer,169,10.799999999999999,0.5535748031496063
"(10.7,11]",34,dye,84,11.117647058823529,0.2751496062992126
"(11,11.3]",35,buffer,983,11.435294117647057,3.2199055118110236
"(11.3,11.6]",36,buffer,732,11.752941176470587,2.397732283464567
"(11.6,11.9]",37,buffer,536,12.070588235294117,1.7557165354330708
"(11.9,12.3]",38,buffer,436,12.388235294117646,1.4281574803149606
"(12.3,12.6]",39,buffer,432,12.705882352941176,1.4150551181102362
"(12.6,12.9]",40,buffer,413,13.023529411764706,1.3528188976377953
"(12.9,13.2]",41,buffer,512,13.341176470588234,1.6771023622047243
"(13.2,13.6]",42,buffer,627,13.658823529411764,2.0537952755905513
"(13.6,13.9]",43,buffer,742,13.976470588235294,2.430488188976378
"(13.9,14.2]",44,buffer,693,14.294117647058822,2.269984251968504
"(14.2,14.5]",45,buffer,836,14.611764705882353,2.7383937007874013
"(14.5,14.9]",46,buffer,725,14.92941176470588,2.3748031496062993
"(14.9,15.2]",47,buffer,63,15.247058823529411,0.20636220472440944
"(15.2,15.5]",48,buffer,0,15.564705882352941,0
"(15.5,15.8]",49,buffer,0,15.88235294117647,0
"(15.8,16.2]",50,buffer,0,16.2,0
