ybin,ybin_numeric,lum_bin,count,y_mm,relres
"(0.00302,0.336]",1,buffer,0,0,0
"(0.336,0.653]",2,buffer,0,0.3176470588235294,0
"(0.653,0.97]",3,buffer,0,0.6352941176470588,0
"(0.97,1.29]",4,buffer,1725,0.9529411764705882,3.515441291738517
"(1.29,1.6]",5,buffer,1644,1.2705882352941176,3.3503683963003605
"(1.6,1.92]",6,buffer,1490,1.588235294117647,3.0365261012697915
"(1.92,2.24]",7,buffer,1346,1.9058823529411764,2.743063176046402
"(2.24,2.56]",8,buffer,1293,2.223529411764706,2.6350525160683493
"(2.56,2.87]",9,buffer,1244,2.541176470588235,2.5351936040131684
"(2.87,3.19]",10,buffer,973,2.8588235294117643,1.9829126822385954
"(3.19,3.51]",11,buffer,1027,3.176470588235294,2.0929612791973664
"(3.51,3.83]",12,buffer,999,3.4941176470588236,2.035899043737263
"(3.83,4.14]",13,buffer,1385,3.8117647058823527,2.8225427182944034
"(4.14,4.46]",14,buffer,1392,4.129411764705882,2.8368082771594296
"(4.46,4.78]",15,buffer,686,4.447058823529412,1.398024768772535
"(4.78,5.09]",16,buffer,107,4.764705882352941,0.21805925693682396
"(4.78,5.09]",16,dye,262,5.08235294117647,0.533939488948111
"(5.09,5.41]",17,dye,95,5.3999999999999995,0.1936040131682082
"(5.41,5.73]",18,dye,171,5.717647058823529,0.34848722370277474
"(5.73,6.05]",19,dye,121,6.035294117647059,0.2465903746668757
"(6.05,6.36]",20,dye,152,6.352941176470588,0.3097664210691331
"(6.36,6.68]",21,dye,161,6.670588235294117,0.32810785389559494
"(6.68,7]",22,dye,178,6.988235294117647,0.3627527825678006
"(7,7.31]",23,dye,103,7.305882352941176,0.20990750901395203
"(7.31,7.63]",24,dye,48,7.6235294117647054,0.09782097507446308
"(7.63,7.95]",25,dye,82,7.941176470588235,0.16711083241887445
"(7.95,8.27]",26,dye,148,8.258823529411764,0.30161467314626117
"(8.27,8.58]",27,dye,213,8.576470588235294,0.43408057689292995
"(8.58,8.9]",28,dye,190,8.894117647058824,0.3872080263364164
"(8.9,9.22]",29,dye,143,9.211764705882352,0.29142498824267127
"(9.22,9.53]",30,dye,68,9.529411764705882,0.13857971468882271
"(9.53,9.85]",31,dye,51,9.84705882352941,0.10393478601661703
"(9.85,10.2]",32,dye,77,10.16470588235294,0.15692114751528452
"(10.2,10.5]",33,dye,36,10.48235294117647,0.07336573130584731
"(10.5,10.8]",34,buffer,101,10.799999999999999,0.2058316350525161
"(10.5,10.8]",34,dye,23,11.117647058823529,0.04687255055651356
"(10.8,11.1]",35,buffer,423,11.435294117647057,0.862047342843706
"(11.1,11.4]",36,buffer,601,11.752941176470587,1.2248001254115066
"(11.4,11.8]",37,buffer,503,12.070588235294117,1.0250823013011443
"(11.8,12.1]",38,buffer,520,12.388235294117646,1.05972722997335
"(12.1,12.4]",39,buffer,533,12.705882352941176,1.0862204107226838
"(12.4,12.7]",40,buffer,636,13.023529411764706,1.2961279197366358
"(12.7,13]",41,buffer,504,13.341176470588234,1.0271202382818625
"(13,13.3]",42,buffer,576,13.658823529411764,1.173851700893557
"(13.3,13.7]",43,buffer,599,13.976470588235294,1.2207242514500707
"(13.7,14]",44,buffer,694,14.294117647058822,1.4143282646182789
"(14,14.3]",45,buffer,773,14.611764705882353,1.5753252860949993
"(14.3,14.6]",46,buffer,901,14.92941176470588,1.8361812196269007
"(14.6,14.9]",47,buffer,519,15.247058823529411,1.057689292992632
"(14.9,15.2]",48,buffer,0,15.564705882352941,0
"(15.2,15.6]",49,buffer,0,15.88235294117647,0
"(15.6,15.9]",50,buffer,0,16.2,0
