ybin,ybin_numeric,lum_bin,count,y_mm,relres
"(0.00268,0.339]",1,buffer,0,0,0
"(0.339,0.66]",2,buffer,0,0.3176470588235294,0
"(0.66,0.981]",3,buffer,0,0.6352941176470588,0
"(0.981,1.3]",4,buffer,1589,0.9529411764705882,2.571677559912854
"(1.3,1.62]",5,buffer,1545,1.2705882352941176,2.50046685340803
"(1.62,1.94]",6,buffer,1638,1.588235294117647,2.6509803921568627
"(1.94,2.26]",7,buffer,1334,1.9058823529411764,2.1589791472144415
"(2.26,2.58]",8,buffer,1555,2.223529411764706,2.516651104886399
"(2.58,2.91]",9,buffer,1316,2.541176470588235,2.129847494553377
"(2.91,3.23]",10,buffer,1356,2.8588235294117643,2.1945845004668536
"(3.23,3.55]",11,buffer,1481,3.176470588235294,2.3968876439464677
"(3.55,3.87]",12,buffer,1517,3.4941176470588236,2.4551509492685963
"(3.87,4.19]",13,buffer,1533,3.8117647058823527,2.481045751633987
"(4.19,4.51]",14,buffer,1976,4.129411764705882,3.1980080921257392
"(4.51,4.83]",15,buffer,1167,4.447058823529412,1.8887021475256771
"(4.83,5.15]",16,buffer,151,4.764705882352941,0.2443821973233738
"(4.83,5.15]",16,dye,29,5.08235294117647,0.04693432928727047
"(5.15,5.47]",17,dye,112,5.3999999999999995,0.1812636165577342
"(5.47,5.79]",18,dye,80,5.717647058823529,0.129474011826953
"(5.79,6.11]",19,dye,46,6.035294117647059,0.07444755680049799
"(6.11,6.43]",20,dye,82,6.352941176470588,0.13271086212262684
"(6.43,6.75]",21,dye,73,6.670588235294117,0.11814503579209462
"(6.75,7.07]",22,dye,81,6.988235294117647,0.13109243697478992
"(7.07,7.4]",23,dye,125,7.305882352941176,0.2023031434796141
"(7.4,7.72]",24,dye,106,7.6235294117647054,0.17155306567071274
"(7.72,8.04]",25,dye,64,7.941176470588235,0.1035792094615624
"(8.04,8.36]",26,dye,66,8.258823529411764,0.10681605975723624
"(8.36,8.68]",27,dye,76,8.576470588235294,0.12300031123560536
"(8.68,9]",28,dye,155,8.894117647058824,0.25085589791472146
"(9,9.32]",29,dye,92,9.211764705882352,0.14889511360099597
"(9.32,9.64]",30,dye,33,9.529411764705882,0.05340802987861812
"(9.64,9.96]",31,dye,42,9.84705882352941,0.06797385620915034
"(9.96,10.3]",32,dye,47,10.16470588235294,0.07606598194833489
"(10.3,10.6]",33,dye,29,10.48235294117647,0.04693432928727047
"(10.6,10.9]",34,dye,70,10.799999999999999,0.11328976034858389
"(10.9,11.2]",35,buffer,135,11.117647058823529,0.2184873949579832
"(10.9,11.2]",35,dye,29,11.435294117647057,0.04693432928727047
"(11.2,11.6]",36,buffer,725,11.752941176470587,1.1733582321817617
"(11.6,11.9]",37,buffer,1196,12.070588235294117,1.9356364768129475
"(11.9,12.2]",38,buffer,1365,12.388235294117646,2.2091503267973858
"(12.2,12.5]",39,buffer,1170,12.705882352941176,1.8935574229691878
"(12.5,12.8]",40,buffer,955,13.023529411764706,1.5455960161842515
"(12.8,13.2]",41,buffer,993,13.341176470588234,1.6070961718020542
"(13.2,13.5]",42,buffer,993,13.658823529411764,1.6070961718020542
"(13.5,13.8]",43,buffer,1190,13.976470588235294,1.925925925925926
"(13.8,14.1]",44,buffer,959,14.294117647058822,1.5520697167755992
"(14.1,14.5]",45,buffer,1185,14.611764705882353,1.9178338001867414
"(14.5,14.8]",46,buffer,1366,14.92941176470588,2.210768751945223
"(14.8,15.1]",47,buffer,303,15.247058823529411,0.49038281979458453
"(15.1,15.4]",48,buffer,0,15.564705882352941,0
"(15.4,15.7]",49,buffer,0,15.88235294117647,0
"(15.7,16.1]",50,buffer,0,16.2,0
