ypos,lum_bin,worm,time,y_mm
52,buffer,1,1074,1.013405555555555
52,buffer,1,1502,1.013405555555555
52,buffer,1,1562,1.013405555555555
52,buffer,2,814,1.013405555555555
52,buffer,2,815,1.013405555555555
52,buffer,2,816,1.013405555555555
52,buffer,2,820,1.013405555555555
52,buffer,5,858,1.013405555555555
52,buffer,5,866,1.013405555555555
52,buffer,5,1923,1.013405555555555
52,buffer,5,1994,1.013405555555555
52,buffer,5,1997,1.013405555555555
52,buffer,5,1999,1.013405555555555
52,buffer,5,2000,1.013405555555555
52,buffer,5,2001,1.013405555555555
52,buffer,5,2002,1.013405555555555
52,buffer,5,2003,1.013405555555555
52,buffer,5,2004,1.013405555555555
52,buffer,5,2198,1.013405555555555
52,buffer,5,2200,1.013405555555555
52,buffer,5,2258,1.013405555555555
52,buffer,7,2456,1.013405555555555
52,buffer,7,2466,1.013405555555555
52,buffer,7,2527,1.013405555555555
52,buffer,7,2937,1.013405555555555
52,buffer,7,4104,1.013405555555555
52,buffer,7,4105,1.013405555555555
52,buffer,7,4106,1.013405555555555
52,buffer,7,4107,1.013405555555555
52,buffer,7,4109,1.013405555555555
52,buffer,11,2235,1.013405555555555
52,buffer,12,587,1.013405555555555
52,buffer,12,588,1.013405555555555
52,buffer,12,589,1.013405555555555
52,buffer,12,590,1.013405555555555
52,buffer,12,591,1.013405555555555
52,buffer,12,592,1.013405555555555
52,buffer,12,593,1.013405555555555
52,buffer,12,605,1.013405555555555
52,buffer,12,614,1.013405555555555
52,buffer,12,615,1.013405555555555
52,buffer,12,983,1.013405555555555
52,buffer,14,1142,1.013405555555555
52,buffer,14,2596,1.013405555555555
52,buffer,16,458,1.013405555555555
52,buffer,16,459,1.013405555555555
52,buffer,16,461,1.013405555555555
52,buffer,17,449,1.013405555555555
52,buffer,17,490,1.013405555555555
52,buffer,17,555,1.013405555555555
52,buffer,17,556,1.013405555555555
52,buffer,17,576,1.013405555555555
52,buffer,17,2770,1.013405555555555
52,buffer,17,2771,1.013405555555555
52,buffer,17,2774,1.013405555555555
52,buffer,17,2775,1.013405555555555
52,buffer,17,2776,1.013405555555555
52,buffer,17,2777,1.013405555555555
52,buffer,19,839,1.013405555555555
52,buffer,19,840,1.013405555555555
52,buffer,19,841,1.013405555555555
52,buffer,19,844,1.013405555555555
52,buffer,21,594,1.013405555555555
52,buffer,21,682,1.013405555555555
52,buffer,21,940,1.013405555555555
52,buffer,21,1599,1.013405555555555
52,buffer,21,1603,1.013405555555555
52,buffer,21,1685,1.013405555555555
52,buffer,21,1779,1.013405555555555
52,buffer,21,2073,1.013405555555555
52,buffer,21,2074,1.013405555555555
52,buffer,23,3805,1.013405555555555
52,buffer,23,4225,1.013405555555555
52,buffer,23,4226,1.013405555555555
52,buffer,23,4227,1.013405555555555
52,buffer,23,4230,1.013405555555555
52,buffer,23,4231,1.013405555555555
52,buffer,24,902,1.013405555555555
52,buffer,24,903,1.013405555555555
52,buffer,24,1139,1.013405555555555
52,buffer,27,1513,1.013405555555555
52,buffer,27,1649,1.013405555555555
52,buffer,27,1660,1.013405555555555
52,buffer,28,363,1.013405555555555
52,buffer,29,1185,1.013405555555555
52,buffer,29,2648,1.013405555555555
52,buffer,29,2657,1.013405555555555
52,buffer,29,2871,1.013405555555555
52,buffer,29,3258,1.013405555555555
52,buffer,31,282,1.013405555555555
52,buffer,31,283,1.013405555555555
52,buffer,31,284,1.013405555555555
52,buffer,31,285,1.013405555555555
52,buffer,32,987,1.013405555555555
52,buffer,32,1115,1.013405555555555
52,buffer,32,1707,1.013405555555555
52,buffer,32,1708,1.013405555555555
52,buffer,33,2363,1.013405555555555
52,buffer,33,3468,1.013405555555555
52,buffer,33,3483,1.013405555555555
53,buffer,1,1503,1.0328941239316234
53,buffer,1,1540,1.0328941239316234
53,buffer,1,3253,1.0328941239316234
53,buffer,2,812,1.0328941239316234
53,buffer,2,813,1.0328941239316234
53,buffer,2,817,1.0328941239316234
53,buffer,5,865,1.0328941239316234
53,buffer,5,1911,1.0328941239316234
53,buffer,5,1924,1.0328941239316234
53,buffer,5,1925,1.0328941239316234
53,buffer,6,4785,1.0328941239316234
53,buffer,7,4108,1.0328941239316234
53,buffer,10,4663,1.0328941239316234
53,buffer,11,2188,1.0328941239316234
53,buffer,11,2207,1.0328941239316234
53,buffer,11,2210,1.0328941239316234
53,buffer,11,3205,1.0328941239316234
53,buffer,12,597,1.0328941239316234
53,buffer,12,598,1.0328941239316234
53,buffer,12,604,1.0328941239316234
53,buffer,12,984,1.0328941239316234
53,buffer,14,1139,1.0328941239316234
53,buffer,14,1140,1.0328941239316234
53,buffer,14,1141,1.0328941239316234
53,buffer,14,3690,1.0328941239316234
53,buffer,14,3709,1.0328941239316234
53,buffer,15,3939,1.0328941239316234
53,buffer,15,3941,1.0328941239316234
53,buffer,15,3944,1.0328941239316234
53,buffer,15,3945,1.0328941239316234
53,buffer,15,4181,1.0328941239316234
53,buffer,17,554,1.0328941239316234
53,buffer,17,557,1.0328941239316234
53,buffer,17,570,1.0328941239316234
53,buffer,17,573,1.0328941239316234
53,buffer,17,581,1.0328941239316234
53,buffer,17,4422,1.0328941239316234
53,buffer,17,4567,1.0328941239316234
53,buffer,18,1337,1.0328941239316234
53,buffer,19,735,1.0328941239316234
53,buffer,19,842,1.0328941239316234
53,buffer,19,843,1.0328941239316234
53,buffer,19,846,1.0328941239316234
53,buffer,19,847,1.0328941239316234
53,buffer,19,848,1.0328941239316234
53,buffer,19,849,1.0328941239316234
53,buffer,19,851,1.0328941239316234
53,buffer,19,852,1.0328941239316234
53,buffer,21,684,1.0328941239316234
53,buffer,21,719,1.0328941239316234
53,buffer,21,942,1.0328941239316234
53,buffer,21,1600,1.0328941239316234
53,buffer,21,1744,1.0328941239316234
53,buffer,23,4232,1.0328941239316234
53,buffer,23,4233,1.0328941239316234
53,buffer,23,4234,1.0328941239316234
53,buffer,23,4236,1.0328941239316234
53,buffer,23,4237,1.0328941239316234
53,buffer,23,4239,1.0328941239316234
53,buffer,23,4240,1.0328941239316234
53,buffer,23,4241,1.0328941239316234
53,buffer,23,4242,1.0328941239316234
53,buffer,23,4243,1.0328941239316234
53,buffer,23,4244,1.0328941239316234
53,buffer,23,4245,1.0328941239316234
53,buffer,23,4246,1.0328941239316234
53,buffer,23,4247,1.0328941239316234
53,buffer,23,4248,1.0328941239316234
53,buffer,23,4249,1.0328941239316234
53,buffer,23,4250,1.0328941239316234
53,buffer,23,4251,1.0328941239316234
53,buffer,23,4252,1.0328941239316234
53,buffer,23,4253,1.0328941239316234
53,buffer,24,951,1.0328941239316234
53,buffer,24,1142,1.0328941239316234
53,buffer,24,1144,1.0328941239316234
53,buffer,27,1236,1.0328941239316234
