ybin,ybin_numeric,lum_bin,count,y_mm,relres
"(0.00226,0.341]",1,buffer,0,0,0
"(0.341,0.663]",2,buffer,0,0.3176470588235294,0
"(0.663,0.985]",3,buffer,0,0.6352941176470588,0
"(0.985,1.31]",4,buffer,930,0.9529411764705882,1.2613787527061218
"(1.31,1.63]",5,buffer,693,1.2705882352941176,0.939930618951981
"(1.63,1.95]",6,buffer,691,1.588235294117647,0.9372179764730431
"(1.95,2.27]",7,buffer,632,1.9058823529411764,0.8571950233443751
"(2.27,2.6]",8,buffer,654,2.223529411764706,0.887034090612692
"(2.6,2.92]",9,buffer,459,2.541176470588235,0.6225514489162471
"(2.92,3.24]",10,buffer,707,2.8588235294117643,0.9589191163045463
"(3.24,3.56]",11,buffer,540,3.176470588235294,0.7324134693132319
"(3.56,3.89]",12,buffer,802,3.4941176470588236,1.0877696340540963
"(3.89,4.21]",13,buffer,569,3.8117647058823527,0.7717467852578315
"(4.21,4.53]",14,buffer,617,4.129411764705882,0.836850204752341
"(4.53,4.85]",15,buffer,596,4.447058823529412,0.808367458723493
"(4.85,5.18]",16,buffer,270,4.764705882352941,0.36620673465661596
"(4.85,5.18]",16,dye,695,5.08235294117647,0.9426432614309189
"(5.18,5.5]",17,dye,1576,5.3999999999999995,2.137562273403062
"(5.5,5.82]",18,dye,1262,5.717647058823529,1.7116774042098124
"(5.82,6.14]",19,dye,1276,6.035294117647059,1.7306659015623778
"(6.14,6.47]",20,dye,1368,6.352941176470588,1.855447455593521
"(6.47,6.79]",21,dye,1224,6.670588235294117,1.6601371971099925
"(6.79,7.11]",22,dye,1222,6.988235294117647,1.6574245546310544
"(7.11,7.43]",23,dye,1198,7.305882352941176,1.6248728448837997
"(7.43,7.76]",24,dye,1028,7.6235294117647054,1.3942982341740786
"(7.76,8.08]",25,dye,1110,7.941176470588235,1.5055165758105324
"(8.08,8.4]",26,dye,939,8.258823529411764,1.2735856438613422
"(8.4,8.72]",27,dye,1098,8.576470588235294,1.489240720936905
"(8.72,9.04]",28,dye,1067,8.894117647058824,1.4471947625133676
"(9.04,9.37]",29,dye,1156,9.211764705882352,1.567907352826104
"(9.37,9.69]",30,dye,1250,9.529411764705882,1.6954015493361851
"(9.69,10]",31,dye,1395,9.84705882352941,1.8920681290591825
"(10,10.3]",32,dye,1309,10.16470588235294,1.775424502464853
"(10.3,10.7]",33,dye,1403,10.48235294117647,1.902918698974934
"(10.7,11]",34,dye,1640,10.799999999999999,2.224366832729075
"(11,11.3]",35,buffer,567,11.117647058823529,0.7690341427788936
"(11,11.3]",35,dye,338,11.435294117647057,0.45843657894050444
"(11.3,11.6]",36,buffer,598,11.752941176470587,0.8110801012024309
"(11.6,11.9]",37,buffer,566,12.070588235294117,0.7676778215394245
"(11.9,12.3]",38,buffer,593,12.388235294117646,0.8042984950050862
"(12.3,12.6]",39,buffer,381,12.705882352941176,0.5167583922376692
"(12.6,12.9]",40,buffer,369,13.023529411764706,0.5004825373640418
"(12.9,13.2]",41,buffer,426,13.341176470588234,0.5777928480137718
"(13.2,13.6]",42,buffer,347,13.658823529411764,0.470643470095725
"(13.6,13.9]",43,buffer,617,13.976470588235294,0.836850204752341
"(13.9,14.2]",44,buffer,661,14.294117647058822,0.8965283392889747
"(14.2,14.5]",45,buffer,569,14.611764705882353,0.7717467852578315
"(14.5,14.8]",46,buffer,624,14.92941176470588,0.8463444534286236
"(14.8,15.2]",47,buffer,307,15.247058823529411,0.41639062051696707
"(15.2,15.5]",48,buffer,0,15.564705882352941,0
"(15.5,15.8]",49,buffer,0,15.88235294117647,0
"(15.8,16.2]",50,buffer,0,16.2,0
