animal,Slice,MeanGCaMP,MeanBackground,Fluor,Fnaut,signal,time
20201230_AWC_odr3_HEX_10K__6_reg.tif,1,428.727,238.034,190.69299999999998,191.0485,-0.0018607840417485947,0.25
20201230_AWC_odr3_HEX_10K__6_reg.tif,2,428.047,238.828,189.21900000000002,191.0485,-0.009576102403316265,0.5
20201230_AWC_odr3_HEX_10K__6_reg.tif,3,429.312,239,190.312,191.0485,-0.0038550420442975382,0.75
20201230_AWC_odr3_HEX_10K__6_reg.tif,4,433.445,238.586,194.85899999999998,191.0485,0.019945197161977145,1
20201230_AWC_odr3_HEX_10K__6_reg.tif,5,429.609,237.586,192.02299999999997,191.0485,0.005100799011769146,1.25
20201230_AWC_odr3_HEX_10K__6_reg.tif,6,434.391,238.483,195.90800000000002,191.0485,0.025435949510203042,1.5
20201230_AWC_odr3_HEX_10K__6_reg.tif,7,429.461,237.172,192.28900000000002,191.0485,0.006493115622472963,1.75
20201230_AWC_odr3_HEX_10K__6_reg.tif,8,428.648,238.759,189.88900000000004,191.0485,-0.0060691395116944215,2
20201230_AWC_odr3_HEX_10K__6_reg.tif,9,432.281,238.69,193.591,191.0485,0.013308139032758794,2.25
20201230_AWC_odr3_HEX_10K__6_reg.tif,10,431.812,237.931,193.881,191.0485,0.014826078194803992,2.5
20201230_AWC_odr3_HEX_10K__6_reg.tif,11,431.484,238.621,192.86299999999997,191.0485,0.00949758830872779,2.75
20201230_AWC_odr3_HEX_10K__6_reg.tif,12,432.266,237.862,194.40400000000002,191.0485,0.01756360295945812,3
20201230_AWC_odr3_HEX_10K__6_reg.tif,13,431.992,239.586,192.406,191.0485,0.007105525560263577,3.25
20201230_AWC_odr3_HEX_10K__6_reg.tif,14,431.805,237.966,193.839,191.0485,0.014606238729956053,3.5
20201230_AWC_odr3_HEX_10K__6_reg.tif,15,429.484,239.241,190.24299999999997,191.0485,-0.0042162068794050905,3.75
20201230_AWC_odr3_HEX_10K__6_reg.tif,16,424.922,238.586,186.336,191.0485,-0.02466651138323503,4
20201230_AWC_odr3_HEX_10K__6_reg.tif,17,432.07,240.414,191.656,191.0485,0.0031798208308362326,4.25
20201230_AWC_odr3_HEX_10K__6_reg.tif,18,425.359,240.103,185.25599999999997,191.0485,-0.03031952619361062,4.5
20201230_AWC_odr3_HEX_10K__6_reg.tif,19,426.391,238.138,188.25300000000001,191.0485,-0.014632410094818728,4.75
20201230_AWC_odr3_HEX_10K__6_reg.tif,20,422.016,238.966,183.05,191.0485,-0.04186633237109937,5
20201230_AWC_odr3_HEX_10K__6_reg.tif,21,424.977,238.897,186.07999999999998,191.0485,-0.026006485264213047,5.25
20201230_AWC_odr3_HEX_10K__6_reg.tif,22,425.219,239.345,185.874,191.0485,-0.027084745496562364,5.5
20201230_AWC_odr3_HEX_10K__6_reg.tif,23,421.758,237.655,184.10299999999998,191.0485,-0.03635464293098355,5.75
20201230_AWC_odr3_HEX_10K__6_reg.tif,24,418.531,239.69,178.841,191.0485,-0.06389738731264565,6
20201230_AWC_odr3_HEX_10K__6_reg.tif,25,423.703,238.621,185.08199999999997,191.0485,-0.031230289690837798,6.25
20201230_AWC_odr3_HEX_10K__6_reg.tif,26,421.969,237.483,184.486,191.0485,-0.034349916382489264,6.5
20201230_AWC_odr3_HEX_10K__6_reg.tif,27,422,238.31,183.69,191.0485,-0.03851639766865478,6.75
20201230_AWC_odr3_HEX_10K__6_reg.tif,28,420.828,238.448,182.37999999999997,191.0485,-0.045373295262721366,7
20201230_AWC_odr3_HEX_10K__6_reg.tif,29,421.383,238.69,182.69299999999998,191.0485,-0.04373496782230694,7.25
20201230_AWC_odr3_HEX_10K__6_reg.tif,30,420.789,238.621,182.16799999999998,191.0485,-0.046482961132906106,7.5
20201230_AWC_odr3_HEX_10K__6_reg.tif,31,420.625,239.069,181.556,191.0485,-0.049686336192118645,7.75
20201230_AWC_odr3_HEX_10K__6_reg.tif,32,424.367,239.379,184.98800000000003,191.0485,-0.03172231135025903,8
20201230_AWC_odr3_HEX_10K__6_reg.tif,33,422.586,238.448,184.138,191.0485,-0.036171443376943474,8.25
20201230_AWC_odr3_HEX_10K__6_reg.tif,34,422.469,238.862,183.607,191.0485,-0.038950842325378064,8.5
20201230_AWC_odr3_HEX_10K__6_reg.tif,35,422.836,238.586,184.25,191.0485,-0.03558520480401568,8.75
20201230_AWC_odr3_HEX_10K__6_reg.tif,36,424.188,239.034,185.154,191.0485,-0.03085342203681261,9
20201230_AWC_odr3_HEX_10K__6_reg.tif,37,426.344,238.621,187.72299999999998,191.0485,-0.017406574770280875,9.25
20201230_AWC_odr3_HEX_10K__6_reg.tif,38,425.445,239.759,185.686,191.0485,-0.028068788815405425,9.5
20201230_AWC_odr3_HEX_10K__6_reg.tif,39,424.922,238.345,186.57700000000003,191.0485,-0.023405051596845635,9.75
20201230_AWC_odr3_HEX_10K__6_reg.tif,40,422.359,238,184.35899999999998,191.0485,-0.03501466905000568,10
20201230_AWC_odr3_HEX_10K__6_reg.tif,41,421.812,237.138,184.674,191.0485,-0.03336587306364606,10.25
20201230_AWC_odr3_HEX_10K__6_reg.tif,42,422.625,239.241,183.384,191.0485,-0.0401180851982612,10.5
20201230_AWC_odr3_HEX_10K__6_reg.tif,43,424.055,237.828,186.227,191.0485,-0.025237047137245183,10.75
20201230_AWC_odr3_HEX_10K__6_reg.tif,44,434.508,239.621,194.88699999999997,191.0485,0.020091756805209054,11
20201230_AWC_odr3_HEX_10K__6_reg.tif,45,433.797,239.69,194.10700000000003,191.0485,0.016009023886604908,11.25
20201230_AWC_odr3_HEX_10K__6_reg.tif,46,431.57,237.621,193.94899999999998,191.0485,0.015182008756938651,11.5
20201230_AWC_odr3_HEX_10K__6_reg.tif,47,430.797,237.621,193.17600000000002,191.0485,0.011135915749142371,11.75
20201230_AWC_odr3_HEX_10K__6_reg.tif,48,432.25,240.103,192.147,191.0485,0.005749848860367925,12
20201230_AWC_odr3_HEX_10K__6_reg.tif,49,429.891,239.034,190.85700000000003,191.0485,-0.0010023632742469177,12.25
