animal,animal_num,signal,MeanGCaMP,time,MeanBackground,fitted,correction,delF,genotype,cue,food,neuron,mean_pulse_delF
20201230_AWC_odr3_HEX_10K__1/20201230_AWC_odr3_HEX_10K__1_ImageJ_data.csv,1,0.0167693690314399,752.97,0.25,211.382,0,raw,-0.12106348467201951,odr3_HEX,HEX,OP50,AWC,0.1378328537034594
20201230_AWC_odr3_HEX_10K__1/20201230_AWC_odr3_HEX_10K__1_ImageJ_data.csv,1,0.02067620791441839,755.287,0.5,211.618,0,raw,-0.11715664578904102,odr3_HEX,HEX,OP50,AWC,0.1378328537034594
20201230_AWC_odr3_HEX_10K__1/20201230_AWC_odr3_HEX_10K__1_ImageJ_data.csv,1,0.01185437422334894,750.406,0.75,211.436,0,raw,-0.12597847948011046,odr3_HEX,HEX,OP50,AWC,0.1378328537034594
20201230_AWC_odr3_HEX_10K__1/20201230_AWC_odr3_HEX_10K__1_ImageJ_data.csv,1,0.01565044737153838,752.356,1,211.364,0,raw,-0.12218240633192103,odr3_HEX,HEX,OP50,AWC,0.1378328537034594
20201230_AWC_odr3_HEX_10K__1/20201230_AWC_odr3_HEX_10K__1_ImageJ_data.csv,1,-0.00707530211354178,740.069,1.25,211.182,0,raw,-0.1449081558170012,odr3_HEX,HEX,OP50,AWC,0.1378328537034594
20201230_AWC_odr3_HEX_10K__1/20201230_AWC_odr3_HEX_10K__1_ImageJ_data.csv,1,0.01513792117497292,752.119,1.5,211.4,0,raw,-0.12269493252848648,odr3_HEX,HEX,OP50,AWC,0.1378328537034594
20201230_AWC_odr3_HEX_10K__1/20201230_AWC_odr3_HEX_10K__1_ImageJ_data.csv,1,-0.00772300005425642,739.851,1.75,211.309,0,raw,-0.14555585375771582,odr3_HEX,HEX,OP50,AWC,0.1378328537034594
20201230_AWC_odr3_HEX_10K__1/20201230_AWC_odr3_HEX_10K__1_ImageJ_data.csv,1,-0.01580702130851114,735.109,2,210.873,0,raw,-0.15363987501197054,odr3_HEX,HEX,OP50,AWC,0.1378328537034594
20201230_AWC_odr3_HEX_10K__1/20201230_AWC_odr3_HEX_10K__1_ImageJ_data.csv,1,0.01637511811100494,752.614,2.25,211.236,0,raw,-0.12145773559245447,odr3_HEX,HEX,OP50,AWC,0.1378328537034594
20201230_AWC_odr3_HEX_10K__1/20201230_AWC_odr3_HEX_10K__1_ImageJ_data.csv,1,-0.02832918149566428,729.257,2.5,211.691,0,raw,-0.16616203519912368,odr3_HEX,HEX,OP50,AWC,0.1378328537034594
20201230_AWC_odr3_HEX_10K__1/20201230_AWC_odr3_HEX_10K__1_ImageJ_data.csv,1,0.02188899884108987,755.733,2.75,211.418,0,raw,-0.11594385486236954,odr3_HEX,HEX,OP50,AWC,0.1378328537034594
20201230_AWC_odr3_HEX_10K__1/20201230_AWC_odr3_HEX_10K__1_ImageJ_data.csv,1,-0.01907179440678109,733.842,3,211.345,0,raw,-0.1569046481102405,odr3_HEX,HEX,OP50,AWC,0.1378328537034594
20201230_AWC_odr3_HEX_10K__1/20201230_AWC_odr3_HEX_10K__1_ImageJ_data.csv,1,-0.00834253721494022,739.703,3.25,211.491,0,raw,-0.14617539091839962,odr3_HEX,HEX,OP50,AWC,0.1378328537034594
20201230_AWC_odr3_HEX_10K__1/20201230_AWC_odr3_HEX_10K__1_ImageJ_data.csv,1,0.00661271436689774,748.178,3.5,212,0,raw,-0.13122013933656168,odr3_HEX,HEX,OP50,AWC,0.1378328537034594
20201230_AWC_odr3_HEX_10K__1/20201230_AWC_odr3_HEX_10K__1_ImageJ_data.csv,1,-0.00939387300276704,738.743,3.75,211.091,0,raw,-0.14722672670622644,odr3_HEX,HEX,OP50,AWC,0.1378328537034594
20201230_AWC_odr3_HEX_10K__1/20201230_AWC_odr3_HEX_10K__1_ImageJ_data.csv,1,-0.01313925674690045,736.475,4,210.818,0,raw,-0.15097211045035985,odr3_HEX,HEX,OP50,AWC,0.1378328537034594
20201230_AWC_odr3_HEX_10K__1/20201230_AWC_odr3_HEX_10K__1_ImageJ_data.csv,1,0.01297892803925675,750.733,4.25,211.164,0,raw,-0.12485392566420266,odr3_HEX,HEX,OP50,AWC,0.1378328537034594
20201230_AWC_odr3_HEX_10K__1/20201230_AWC_odr3_HEX_10K__1_ImageJ_data.csv,1,-0.00136429592323885,743.238,4.5,211.309,0,raw,-0.13919714962669827,odr3_HEX,HEX,OP50,AWC,0.1378328537034594
20201230_AWC_odr3_HEX_10K__1/20201230_AWC_odr3_HEX_10K__1_ImageJ_data.csv,1,-0.03408712231935188,725.644,4.75,211.145,0,raw,-0.17191997602281128,odr3_HEX,HEX,OP50,AWC,0.1378328537034594
20201230_AWC_odr3_HEX_10K__1/20201230_AWC_odr3_HEX_10K__1_ImageJ_data.csv,1,0.00638930551198468,747.277,5,211.218,0,raw,-0.13144354819147472,odr3_HEX,HEX,OP50,AWC,0.1378328537034594
20201230_AWC_odr3_HEX_10K__1/20201230_AWC_odr3_HEX_10K__1_ImageJ_data.csv,1,-0.02151427272814336,732.723,5.25,211.527,0,raw,-0.15934712643160276,odr3_HEX,HEX,OP50,AWC,0.1378328537034594
20201230_AWC_odr3_HEX_10K__1/20201230_AWC_odr3_HEX_10K__1_ImageJ_data.csv,1,-0.01287454541460839,736.871,5.5,211.073,0,raw,-0.1507073991180678,odr3_HEX,HEX,OP50,AWC,0.1378328537034594
20201230_AWC_odr3_HEX_10K__1/20201230_AWC_odr3_HEX_10K__1_ImageJ_data.csv,1,-0.01377756776093828,736.644,5.75,211.327,0,raw,-0.15161042146439768,odr3_HEX,HEX,OP50,AWC,0.1378328537034594
20201230_AWC_odr3_HEX_10K__1/20201230_AWC_odr3_HEX_10K__1_ImageJ_data.csv,1,-0.00886445033818291,739.861,6,211.927,0,raw,-0.14669730404164233,odr3_HEX,HEX,OP50,AWC,0.1378328537034594
20201230_AWC_odr3_HEX_10K__1/20201230_AWC_odr3_HEX_10K__1_ImageJ_data.csv,1,0.00924480860713572,748.871,6.25,211.291,0,raw,-0.12858804509632368,odr3_HEX,HEX,OP50,AWC,0.1378328537034594
20201230_AWC_odr3_HEX_10K__1/20201230_AWC_odr3_HEX_10K__1_ImageJ_data.csv,1,0.00907021177094311,749.832,6.5,212.345,0,raw,-0.1287626419325163,odr3_HEX,HEX,OP50,AWC,0.1378328537034594
20201230_AWC_odr3_HEX_10K__1/20201230_AWC_odr3_HEX_10K__1_ImageJ_data.csv,1,0.05688533887837864,774.465,6.75,211.509,0,raw,-0.08094751482508077,odr3_HEX,HEX,OP50,AWC,0.1378328537034594
20201230_AWC_odr3_HEX_10K__1/20201230_AWC_odr3_HEX_10K__1_ImageJ_data.csv,1,0.03079906964292299,760.079,7,211.018,0,raw,-0.10703378406053642,odr3_HEX,HEX,OP50,AWC,0.1378328537034594
20201230_AWC_odr3_HEX_10K__1/20201230_AWC_odr3_HEX_10K__1_ImageJ_data.csv,1,0.04649213366157526,769.02,7.25,211.6,0,raw,-0.09134072004188415,odr3_HEX,HEX,OP50,AWC,0.1378328537034594
