animal,Slice,MeanGCaMP,MeanBackground,Fluor,Fnaut,signal,time
20210816_AWC_Is_odr1p_HEX_10K__3_reg.tif,1,679.835,203.607,476.22800000000007,487.8764,-0.023875719342029915,0.25
20210816_AWC_Is_odr1p_HEX_10K__3_reg.tif,2,684.798,202.571,482.227,487.8764,-0.011579572203123608,0.5
20210816_AWC_Is_odr1p_HEX_10K__3_reg.tif,3,679.294,203.857,475.437,487.8764,-0.025497031625223064,0.75
20210816_AWC_Is_odr1p_HEX_10K__3_reg.tif,4,682.853,203.143,479.7099999999999,487.8764,-0.01673866577682394,1
20210816_AWC_Is_odr1p_HEX_10K__3_reg.tif,5,684.193,202.893,481.29999999999995,487.8764,-0.013479643614653291,1.25
20210816_AWC_Is_odr1p_HEX_10K__3_reg.tif,6,684.761,203.643,481.11799999999994,487.8764,-0.013852688918750838,1.5
20210816_AWC_Is_odr1p_HEX_10K__3_reg.tif,7,691.899,202.929,488.97,487.8764,0.002241551343742058,1.75
20210816_AWC_Is_odr1p_HEX_10K__3_reg.tif,8,683.936,203.393,480.543,487.8764,-0.015031266115762073,2
20210816_AWC_Is_odr1p_HEX_10K__3_reg.tif,9,699.156,203.5,495.65599999999995,487.8764,0.01594584202064285,2.25
20210816_AWC_Is_odr1p_HEX_10K__3_reg.tif,10,692.339,203.643,488.696,487.8764,0.0016799336881227229,2.5
20210816_AWC_Is_odr1p_HEX_10K__3_reg.tif,11,691.578,203.679,487.899,487.8764,4.632320809125278e-5,2.75
20210816_AWC_Is_odr1p_HEX_10K__3_reg.tif,12,694.22,203.536,490.684,487.8764,0.005754736240572482,3
20210816_AWC_Is_odr1p_HEX_10K__3_reg.tif,13,692.954,203.714,489.23999999999995,487.8764,0.002794970201468984,3.25
20210816_AWC_Is_odr1p_HEX_10K__3_reg.tif,14,697.771,204.464,493.30699999999996,487.8764,0.011131097958417276,3.5
20210816_AWC_Is_odr1p_HEX_10K__3_reg.tif,15,694.817,203.607,491.21000000000004,487.8764,0.006832878163403778,3.75
20210816_AWC_Is_odr1p_HEX_10K__3_reg.tif,16,698.477,203.821,494.65599999999995,487.8764,0.013896142547579591,4
20210816_AWC_Is_odr1p_HEX_10K__3_reg.tif,17,701.055,203.036,498.01899999999995,487.8764,0.020789281875491332,4.25
20210816_AWC_Is_odr1p_HEX_10K__3_reg.tif,18,699.339,204.5,494.83900000000006,487.8764,0.014271237551150385,4.5
20210816_AWC_Is_odr1p_HEX_10K__3_reg.tif,19,699.147,203.643,495.504,487.8764,0.015634287700737378,4.75
20210816_AWC_Is_odr1p_HEX_10K__3_reg.tif,20,695.606,203.321,492.28499999999997,487.8764,0.009036305096946641,5
20210816_AWC_Is_odr1p_HEX_10K__3_reg.tif,21,686.927,203.214,483.713,487.8764,-0.008533718786151508,5.25
20210816_AWC_Is_odr1p_HEX_10K__3_reg.tif,22,688.349,203.679,484.6700000000001,487.8764,-0.006572156390429865,5.5
20210816_AWC_Is_odr1p_HEX_10K__3_reg.tif,23,692.661,203.536,489.12499999999994,487.8764,0.0025592547620666905,5.75
20210816_AWC_Is_odr1p_HEX_10K__3_reg.tif,24,691.651,203.393,488.2579999999999,487.8764,7.821653189208064e-4,6
