animal,Slice,MeanGCaMP,MeanBackground,Fluor,Fnaut,signal,time
20201226_AWC_odr3_HEX_IAA_10K__3_reg.tif,1,679.429,216.818,462.611,466.04975,-0.007378504118927276,0.25
20201226_AWC_odr3_HEX_IAA_10K__3_reg.tif,2,666.214,216.618,449.59600000000006,466.04975,-0.035304707276422646,0.5
20201226_AWC_odr3_HEX_IAA_10K__3_reg.tif,3,661.25,217.073,444.177,466.04975,-0.046932221291825595,0.75
20201226_AWC_odr3_HEX_IAA_10K__3_reg.tif,4,656.304,217.436,438.86799999999994,466.04975,-0.058323709003169896,1
20201226_AWC_odr3_HEX_IAA_10K__3_reg.tif,5,662.054,217.927,444.12699999999995,466.04975,-0.0470395059754888,1.25
20201226_AWC_odr3_HEX_IAA_10K__3_reg.tif,6,656.143,217,439.14300000000003,466.04975,-0.057733643243022846,1.5
20201226_AWC_odr3_HEX_IAA_10K__3_reg.tif,7,664.518,217.564,446.95400000000006,466.04975,-0.04097362996117893,1.75
20201226_AWC_odr3_HEX_IAA_10K__3_reg.tif,8,667.455,217.436,450.019,466.04975,-0.034397078852633246,2
20201226_AWC_odr3_HEX_IAA_10K__3_reg.tif,9,676.75,217.8,458.95,466.04975,-0.015233888656736815,2.25
20201226_AWC_odr3_HEX_IAA_10K__3_reg.tif,10,680.554,217.2,463.354,466.04975,-0.005784253719694157,2.5
20201226_AWC_odr3_HEX_IAA_10K__3_reg.tif,11,684.759,216.491,468.26800000000003,466.04975,0.004759684990711854,2.75
20201226_AWC_odr3_HEX_IAA_10K__3_reg.tif,12,686.848,216.927,469.92099999999994,466.04975,0.008306516632612544,3
20201226_AWC_odr3_HEX_IAA_10K__3_reg.tif,13,684.143,217.455,466.688,466.04975,0.0013694889869589478,3.25
20201226_AWC_odr3_HEX_IAA_10K__3_reg.tif,14,701.679,217.255,484.424,466.04975,0.03942551197592094,3.5
20201226_AWC_odr3_HEX_IAA_10K__3_reg.tif,15,710.054,217.036,493.018,466.04975,0.057865603403928344,3.75
20201226_AWC_odr3_HEX_IAA_10K__3_reg.tif,16,702.259,218.055,484.204,466.04975,0.03895345936780352,4
20201226_AWC_odr3_HEX_IAA_10K__3_reg.tif,17,712.321,217.364,494.957,466.04975,0.062026103436382006,4.25
20201226_AWC_odr3_HEX_IAA_10K__3_reg.tif,18,703.973,217.345,486.62799999999993,466.04975,0.04415462083178869,4.5
20201226_AWC_odr3_HEX_IAA_10K__3_reg.tif,19,705.027,217.636,487.3910000000001,466.04975,0.04579178510448736,4.75
20201226_AWC_odr3_HEX_IAA_10K__3_reg.tif,20,704.679,216.982,487.697,466.04975,0.046448367368505154,5
20201226_AWC_odr3_HEX_IAA_10K__3_reg.tif,21,710.464,217.418,493.04600000000005,466.04975,0.057925682826779824,5.25
20201226_AWC_odr3_HEX_IAA_10K__3_reg.tif,22,704.536,216.782,487.7539999999999,466.04975,0.046570671907880834,5.5
20201226_AWC_odr3_HEX_IAA_10K__3_reg.tif,23,708.652,217.891,490.7610000000001,466.04975,0.05302277278337787,5.75
20201226_AWC_odr3_HEX_IAA_10K__3_reg.tif,24,704.911,217.291,487.61999999999995,466.04975,0.04628314895566392,6
20201226_AWC_odr3_HEX_IAA_10K__3_reg.tif,25,724.214,217.309,506.9050000000001,466.04975,0.08766285144450794,6.25
20201226_AWC_odr3_HEX_IAA_10K__3_reg.tif,26,716.402,217.036,499.36600000000004,466.04975,0.07148646684179108,6.5
20201226_AWC_odr3_HEX_IAA_10K__3_reg.tif,27,713.598,216.4,497.198,466.04975,0.0668346029581605,6.75
20201226_AWC_odr3_HEX_IAA_10K__3_reg.tif,28,728.527,217.2,511.32700000000006,466.04975,0.09715110886766924,7
