animal,Slice,MeanGCaMP,MeanBackground,Fluor,Fnaut,signal,time
20210726_AWC_odr1p_HEX_IAA_10K__8_reg.tif,1,349.726,208.667,141.059,140.2904,0.005478635744142095,0.25
20210726_AWC_odr1p_HEX_IAA_10K__8_reg.tif,2,351.578,208.852,142.72599999999997,140.2904,0.017361130911309437,0.5
20210726_AWC_odr1p_HEX_IAA_10K__8_reg.tif,3,347.333,208.741,138.592,140.2904,-0.012106316611827981,0.75
20210726_AWC_odr1p_HEX_IAA_10K__8_reg.tif,4,350.956,209.296,141.66000000000003,140.2904,0.009762606707230285,1
20210726_AWC_odr1p_HEX_IAA_10K__8_reg.tif,5,346.815,207.63,139.185,140.2904,-0.00787937022062809,1.25
20210726_AWC_odr1p_HEX_IAA_10K__8_reg.tif,6,349.007,209.444,139.56300000000002,140.2904,-0.005184959198918733,1.5
20210726_AWC_odr1p_HEX_IAA_10K__8_reg.tif,7,353.519,208.741,144.778,140.2904,0.031987933600588395,1.75
20210726_AWC_odr1p_HEX_IAA_10K__8_reg.tif,8,350.919,209.037,141.88199999999998,140.2904,0.011345038577122678,2
20210726_AWC_odr1p_HEX_IAA_10K__8_reg.tif,9,346.015,207.852,138.16299999999998,140.2904,-0.015164259279323623,2.25
20210726_AWC_odr1p_HEX_IAA_10K__8_reg.tif,10,345.296,207.407,137.88899999999998,140.2904,-0.017117350866488537,2.5
20210726_AWC_odr1p_HEX_IAA_10K__8_reg.tif,11,350.881,208.593,142.28799999999998,140.2904,0.014239035600440066,2.75
20210726_AWC_odr1p_HEX_IAA_10K__8_reg.tif,12,352.681,209.185,143.49599999999998,140.2904,0.022849745955532064,3
20210726_AWC_odr1p_HEX_IAA_10K__8_reg.tif,13,344.852,209.111,135.74099999999999,140.2904,-0.03242844841842364,3.25
20210726_AWC_odr1p_HEX_IAA_10K__8_reg.tif,14,349.615,208.296,141.31900000000002,140.2904,0.007331934330503095,3.5
20210726_AWC_odr1p_HEX_IAA_10K__8_reg.tif,15,347.23,208.815,138.41500000000002,140.2904,-0.013367985264850515,3.75
20210726_AWC_odr1p_HEX_IAA_10K__8_reg.tif,16,346.881,207.926,138.95499999999998,140.2904,-0.009518826662408983,4
20210726_AWC_odr1p_HEX_IAA_10K__8_reg.tif,17,346.104,210.111,135.993,140.2904,-0.030632174403950736,4.25
20210726_AWC_odr1p_HEX_IAA_10K__8_reg.tif,18,349.6,208.63,140.97000000000003,140.2904,0.004844237381888012,4.5
20210726_AWC_odr1p_HEX_IAA_10K__8_reg.tif,19,347.541,209.481,138.06,140.2904,-0.015898450642381823,4.75
20210726_AWC_odr1p_HEX_IAA_10K__8_reg.tif,20,353.074,208,145.074,140.2904,0.03409784276044552,5
20210726_AWC_odr1p_HEX_IAA_10K__8_reg.tif,21,348.207,208.407,139.79999999999998,140.2904,-0.003495606256736187,5.25
20210726_AWC_odr1p_HEX_IAA_10K__8_reg.tif,22,351.57,209.407,142.16299999999998,140.2904,0.013348026664689651,5.5
20210726_AWC_odr1p_HEX_IAA_10K__8_reg.tif,23,350.148,209.407,140.741,140.2904,0.0032119090115931563,5.75
20210726_AWC_odr1p_HEX_IAA_10K__8_reg.tif,24,348.444,209.037,139.407,140.2904,-0.006296938350735293,6
20210726_AWC_odr1p_HEX_IAA_10K__8_reg.tif,25,348.126,208.148,139.97799999999998,140.2904,-0.0022268095322276154,6.25
20210726_AWC_odr1p_HEX_IAA_10K__8_reg.tif,26,348.141,208.037,140.104,140.2904,-0.0013286725249909608,6.5
20210726_AWC_odr1p_HEX_IAA_10K__8_reg.tif,27,354.467,208.444,146.023,140.2904,0.04086238260066256,6.75
20210726_AWC_odr1p_HEX_IAA_10K__8_reg.tif,28,347.089,208.37,138.719,140.2904,-0.011201051533105695,7
20210726_AWC_odr1p_HEX_IAA_10K__8_reg.tif,29,354.007,209.111,144.89600000000002,140.2904,0.032829046035936955,7.25
20210726_AWC_odr1p_HEX_IAA_10K__8_reg.tif,30,348.067,208.37,139.697,140.2904,-0.004229797619794388,7.5
20210726_AWC_odr1p_HEX_IAA_10K__8_reg.tif,31,349.437,208.593,140.84400000000002,140.2904,0.00394610037465156,7.75
20210726_AWC_odr1p_HEX_IAA_10K__8_reg.tif,32,356.281,208.963,147.318,140.2904,0.05009323517503697,8
20210726_AWC_odr1p_HEX_IAA_10K__8_reg.tif,33,354.333,209.333,145.00000000000003,140.2904,0.033570365470481395,8.25
20210726_AWC_odr1p_HEX_IAA_10K__8_reg.tif,34,351.933,208.481,143.452,140.2904,0.02253611081014804,8.5
20210726_AWC_odr1p_HEX_IAA_10K__8_reg.tif,35,352.733,209,143.733,140.2904,0.024539098897715016,8.75
20210726_AWC_odr1p_HEX_IAA_10K__8_reg.tif,36,353.874,208.815,145.05900000000003,140.2904,0.033990921688155575,9
20210726_AWC_odr1p_HEX_IAA_10K__8_reg.tif,37,352.563,208.704,143.85899999999998,140.2904,0.025437235904951266,9.25
20210726_AWC_odr1p_HEX_IAA_10K__8_reg.tif,38,350.474,208.963,141.511,140.2904,0.008700524055815582,9.5
20210726_AWC_odr1p_HEX_IAA_10K__8_reg.tif,39,347.778,209.667,138.11100000000002,140.2904,-0.015534918996595539,9.75
20210726_AWC_odr1p_HEX_IAA_10K__8_reg.tif,40,349.052,208.889,140.163,140.2904,-9.08116307316783e-4,10
20210726_AWC_odr1p_HEX_IAA_10K__8_reg.tif,41,352.015,208.704,143.31099999999998,140.2904,0.021531052730621433,10.25
20210726_AWC_odr1p_HEX_IAA_10K__8_reg.tif,42,350.156,208.074,142.082,140.2904,0.012770652874323463,10.5
20210726_AWC_odr1p_HEX_IAA_10K__8_reg.tif,43,351.052,208.333,142.71900000000002,140.2904,0.017311234410907782,10.75
20210726_AWC_odr1p_HEX_IAA_10K__8_reg.tif,44,351.926,209.037,142.88899999999998,140.2904,0.018523006563528056,11
20210726_AWC_odr1p_HEX_IAA_10K__8_reg.tif,45,351.593,209.111,142.48200000000003,140.2904,0.015621881468725033,11.25
20210726_AWC_odr1p_HEX_IAA_10K__8_reg.tif,46,349.652,208.778,140.874,140.2904,0.004159942519231465,11.5
20210726_AWC_odr1p_HEX_IAA_10K__8_reg.tif,47,353.659,209.074,144.58499999999998,140.2904,0.03061221580378967,11.75
20210726_AWC_odr1p_HEX_IAA_10K__8_reg.tif,48,345.556,208.481,137.075,140.2904,-0.02291960105609519,12
20210726_AWC_odr1p_HEX_IAA_10K__8_reg.tif,49,348.741,209.074,139.66699999999997,140.2904,-0.004443639764374698,12.25
20210726_AWC_odr1p_HEX_IAA_10K__8_reg.tif,50,348.519,208.889,139.63,140.2904,-0.004707378409356662,12.5
20210726_AWC_odr1p_HEX_IAA_10K__8_reg.tif,51,349.963,209.259,140.70400000000004,140.2904,0.0029481703666111923,12.75
20210726_AWC_odr1p_HEX_IAA_10K__8_reg.tif,52,345.704,208.63,137.074,140.2904,-0.022926729127581025,13
20210726_AWC_odr1p_HEX_IAA_10K__8_reg.tif,53,350.607,208.481,142.12600000000003,140.2904,0.013084288019707891,13.25
20210726_AWC_odr1p_HEX_IAA_10K__8_reg.tif,54,346.859,208.926,137.933,140.2904,-0.016803715721104312,13.5
20210726_AWC_odr1p_HEX_IAA_10K__8_reg.tif,55,349.548,208.148,141.4,140.2904,0.007909308120869285,13.75
20210726_AWC_odr1p_HEX_IAA_10K__8_reg.tif,56,346.03,209.259,136.771,140.2904,-0.025086534787840214,14
20210726_AWC_odr1p_HEX_IAA_10K__8_reg.tif,57,351.748,209.333,142.415,140.2904,0.015144300679162555,14.25
20210726_AWC_odr1p_HEX_IAA_10K__8_reg.tif,58,350.393,209.444,140.94899999999998,140.2904,0.004694547880681633,14.5
20210726_AWC_odr1p_HEX_IAA_10K__8_reg.tif,59,350.622,208.556,142.066,140.2904,0.012656603730547472,14.75
20210726_AWC_odr1p_HEX_IAA_10K__8_reg.tif,60,349.541,210.074,139.46699999999998,140.2904,-0.00586925406157528,15
20210726_AWC_odr1p_HEX_IAA_10K__8_reg.tif,61,353.667,208.444,145.22299999999998,140.2904,0.035159925411859826,15.25
20210726_AWC_odr1p_HEX_IAA_10K__8_reg.tif,62,349.874,208.889,140.985,140.2904,0.004951158454177964,15.5
20210726_AWC_odr1p_HEX_IAA_10K__8_reg.tif,63,351.97,208.259,143.71100000000004,140.2904,0.02438228132502321,15.75
20210726_AWC_odr1p_HEX_IAA_10K__8_reg.tif,64,347.044,208.519,138.52499999999998,140.2904,-0.01258389740139046,16
20210726_AWC_odr1p_HEX_IAA_10K__8_reg.tif,65,352.252,208.815,143.437,140.2904,0.02242918973785809,16.25
20210726_AWC_odr1p_HEX_IAA_10K__8_reg.tif,66,348.185,209.148,139.037,140.2904,-0.008934324800556554,16.5
20210726_AWC_odr1p_HEX_IAA_10K__8_reg.tif,67,351.97,208.222,143.74800000000002,140.2904,0.02464601997000517,16.75
