animal,animal_num,time_at_maxON,stim_ON_delF,time_at_maxOFF,stim_OFF_delF
20201226_AWC_odr3_HEX_IAA_10K__1/20201226_AWC_odr3_HEX_IAA_10K__1_ImageJ_data.csv,1,40.25,-0.9642152188054767,62.5,0.7446668048852289
20201226_AWC_odr3_HEX_IAA_10K__2/20201226_AWC_odr3_HEX_IAA_10K__2_ImageJ_data.csv,2,38,-0.6091485476382775,62.75,1.1784227392347393
20201226_AWC_odr3_HEX_IAA_10K__3/20201226_AWC_odr3_HEX_IAA_10K__3_ImageJ_data.csv,3,38.5,-0.8007535676180493,63.5,0.7301237689753082
20201226_AWC_odr3_HEX_IAA_10K__4/20201226_AWC_odr3_HEX_IAA_10K__4_ImageJ_data.csv,4,40,-0.4356818184112397,64.5,1.0152402718511198
20201226_AWC_odr3_HEX_IAA_10K__5/20201226_AWC_odr3_HEX_IAA_10K__5_ImageJ_data.csv,5,40,-0.8612817992778217,60.75,-0.7423748097517268
20201226_AWC_odr3_HEX_IAA_10K__6/20201226_AWC_odr3_HEX_IAA_10K__6_ImageJ_data.csv,6,40,-0.5426718154228671,63,1.2705554759639541
20201226_AWC_odr3_HEX_IAA_10K__7/20201226_AWC_odr3_HEX_IAA_10K__7_ImageJ_data.csv,7,33.25,-0.11028909216794647,64.5,1.5140189560017479
20210726_AWC_odr3_HEX_IAA_10K__1/20210726_AWC_odr3_HEX_IAA_10K__1_ImageJ_data.csv,8,39.5,-0.2914668326774095,63.75,1.3877050504415696
20210726_AWC_odr3_HEX_IAA_10K__2/20210726_AWC_odr3_HEX_IAA_10K__2_ImageJ_data.csv,9,34,-0.049971624566121885,63.5,0.42711080057161127
20210726_AWC_odr3_HEX_IAA_10K__3/20210726_AWC_odr3_HEX_IAA_10K__3_ImageJ_data.csv,10,34,-0.24906712120514107,68,1.1180725111715113
20210726_AWC_odr3_HEX_IAA_10K__4/20210726_AWC_odr3_HEX_IAA_10K__4_ImageJ_data.csv,11,34.5,-0.15864105123087158,64.5,1.0930735930735929
20210726_AWC_odr3_HEX_IAA_10K__5/20210726_AWC_odr3_HEX_IAA_10K__5_ImageJ_data.csv,12,40,0.22357299861045954,68.25,-0.0547145549703856
20210726_AWC_odr3_HEX_IAA_10K__6/20210726_AWC_odr3_HEX_IAA_10K__6_ImageJ_data.csv,13,38.75,-0.17006170724560205,67.5,0.512238662745989
20210726_AWC_odr3_HEX_IAA_10K__7/20210726_AWC_odr3_HEX_IAA_10K__7_ImageJ_data.csv,14,32.5,-0.023545538106775586,65,1.3867203348454253
20210726_AWC_odr3_HEX_IAA_10K__8/20210726_AWC_odr3_HEX_IAA_10K__8_ImageJ_data.csv,15,36,-0.1272988212414982,63.75,0.8831632292342713
20210729_AWC_odr3_HEX_IAA_10K__1/20210729_AWC_odr3_HEX_IAA_10K__1_ImageJ_data.csv,16,38,-0.45875231246399284,63.75,1.2480897036580259
