animal,Slice,MeanGCaMP,MeanBackground,Fluor,Fnaut,signal,time
20200908_AWC_tax4_p678_HEX_10K__1_reg.tif,1,638.207,214.105,424.102,424.2589,-3.6982135200936826e-4,0.25
20200908_AWC_tax4_p678_HEX_10K__1_reg.tif,2,638.252,214.974,423.27799999999996,424.2589,-0.0023120316391713166,0.5
20200908_AWC_tax4_p678_HEX_10K__1_reg.tif,3,639.234,214.842,424.39200000000005,424.2589,3.1372353060847975e-4,0.75
20200908_AWC_tax4_p678_HEX_10K__1_reg.tif,4,638.721,214.632,424.089,424.2589,-4.0046301916114e-4,1
20200908_AWC_tax4_p678_HEX_10K__1_reg.tif,5,637.622,214.816,422.8059999999999,424.2589,-0.003424559861914639,1.25
20200908_AWC_tax4_p678_HEX_10K__1_reg.tif,6,637.324,215,422.32399999999996,424.2589,-0.004560658597851518,1.5
20200908_AWC_tax4_p678_HEX_10K__1_reg.tif,7,632.162,215.368,416.79400000000004,424.2589,-0.017595152393974394,1.75
20200908_AWC_tax4_p678_HEX_10K__1_reg.tif,8,630.459,215.053,415.40599999999995,424.2589,-0.02086673962526192,2
20200908_AWC_tax4_p678_HEX_10K__1_reg.tif,9,653.189,214.079,439.10999999999996,424.2589,0.03500480484911448,2.25
20200908_AWC_tax4_p678_HEX_10K__1_reg.tif,10,648.712,214.105,434.60699999999997,424.2589,0.02439100275798572,2.5
20200908_AWC_tax4_p678_HEX_10K__1_reg.tif,11,647.009,214.553,432.456,424.2589,0.019320985370018248,2.75
20200908_AWC_tax4_p678_HEX_10K__1_reg.tif,12,641.793,214.474,427.319,424.2589,0.007212812742408077,3
20200908_AWC_tax4_p678_HEX_10K__1_reg.tif,13,630.919,215.395,415.524,424.2589,-0.02058860756957599,3.25
20200908_AWC_tax4_p678_HEX_10K__1_reg.tif,14,633.09,214.842,418.24800000000005,424.2589,-0.014167999775608562,3.5
20200908_AWC_tax4_p678_HEX_10K__1_reg.tif,15,634.099,214.921,419.17800000000005,424.2589,-0.011975942048593273,3.75
20200908_AWC_tax4_p678_HEX_10K__1_reg.tif,16,641.414,214.237,427.177,424.2589,0.006878111455057368,4
20200908_AWC_tax4_p678_HEX_10K__1_reg.tif,17,642.946,214.368,428.57800000000003,424.2589,0.01018034035349653,4.25
20200908_AWC_tax4_p678_HEX_10K__1_reg.tif,18,644.27,215.184,429.086,424.2589,0.011377722423737087,4.5
20200908_AWC_tax4_p678_HEX_10K__1_reg.tif,19,635.64,215.658,419.98199999999997,424.2589,-0.010080872787818976,4.75
20200908_AWC_tax4_p678_HEX_10K__1_reg.tif,20,636.775,216.053,420.722,424.2589,-0.00833665481148422,5
20200908_AWC_tax4_p678_HEX_10K__1_reg.tif,21,648.748,214.632,434.11600000000004,424.2589,0.0232336905601746,5.25
20200908_AWC_tax4_p678_HEX_10K__1_reg.tif,22,648.514,214.447,434.067,424.2589,0.023118195045525328,5.5
20200908_AWC_tax4_p678_HEX_10K__1_reg.tif,23,650.532,213.368,437.16400000000004,424.2589,0.03041798298161821,5.75
20200908_AWC_tax4_p678_HEX_10K__1_reg.tif,24,651.225,214.184,437.04100000000005,424.2589,0.03012806566933557,6
20200908_AWC_tax4_p678_HEX_10K__1_reg.tif,25,651.063,214.842,436.221,424.2589,0.028195283587451016,6.25
20200908_AWC_tax4_p678_HEX_10K__1_reg.tif,26,652.883,214.184,438.69900000000007,424.2589,0.03403605675685315,6.5
20200908_AWC_tax4_p678_HEX_10K__1_reg.tif,27,652.622,215.474,437.14799999999997,424.2589,0.03038027016050809,6.75
20200908_AWC_tax4_p678_HEX_10K__1_reg.tif,28,651.622,214.474,437.14799999999997,424.2589,0.03038027016050809,7
