animal,Slice,MeanGCaMP,MeanBackground,Fluor,Fnaut,signal,time
20210828_AWC_WT_HEX_10K_2_reg.tif,1,886.429,214.448,671.981,659.89895,0.018308939573248268,0.25
20210828_AWC_WT_HEX_10K_2_reg.tif,2,880.815,214.015,666.8000000000001,659.89895,0.010457737506628938,0.5
20210828_AWC_WT_HEX_10K_2_reg.tif,3,888.403,214.836,673.567,659.89895,0.020712337851120984,0.75
20210828_AWC_WT_HEX_10K_2_reg.tif,4,885.513,214.134,671.379,659.89895,0.01739667868845678,1
20210828_AWC_WT_HEX_10K_2_reg.tif,5,884.824,214.284,670.54,659.89895,0.01612527190716086,1.25
20210828_AWC_WT_HEX_10K_2_reg.tif,6,883.84,214.209,669.6310000000001,659.89895,0.01474778827879643,1.5
20210828_AWC_WT_HEX_10K_2_reg.tif,7,879.328,213.836,665.492,659.89895,0.008475615849972104,1.75
20210828_AWC_WT_HEX_10K_2_reg.tif,8,878.193,214.403,663.79,659.89895,0.005896433082671142,2
20210828_AWC_WT_HEX_10K_2_reg.tif,9,879.227,215.119,664.108,659.89895,0.0063783250450693,2.25
20210828_AWC_WT_HEX_10K_2_reg.tif,10,879.017,213.97,665.047,659.89895,0.007801270179320655,2.5
20210828_AWC_WT_HEX_10K_2_reg.tif,11,871.824,213.851,657.973,659.89895,-0.0029185529087446755,2.75
20210828_AWC_WT_HEX_10K_2_reg.tif,12,871.109,214.343,656.7660000000001,659.89895,-0.004747620828916211,3
20210828_AWC_WT_HEX_10K_2_reg.tif,13,869.824,213.507,656.317,659.89895,-0.005428028033686076,3.25
20210828_AWC_WT_HEX_10K_2_reg.tif,14,866.252,214,652.252,659.89895,-0.0115880620813233,3.5
20210828_AWC_WT_HEX_10K_2_reg.tif,15,866.672,213.791,652.8810000000001,659.89895,-0.010634885841233612,3.75
20210828_AWC_WT_HEX_10K_2_reg.tif,16,861.555,215.075,646.48,659.89895,-0.020334855813909078,4
20210828_AWC_WT_HEX_10K_2_reg.tif,17,858.193,214.06,644.133,659.89895,-0.02389146095777236,4.25
20210828_AWC_WT_HEX_10K_2_reg.tif,18,859.025,214.149,644.876,659.89895,-0.02276553099531381,4.5
20210828_AWC_WT_HEX_10K_2_reg.tif,19,864.504,213.612,650.892,659.89895,-0.013648983681516633,4.75
20210828_AWC_WT_HEX_10K_2_reg.tif,20,866.79,213.716,653.074,659.89895,-0.010342416820029881,5
20210828_AWC_WT_HEX_10K_2_reg.tif,21,859.286,213.284,646.002,659.89895,-0.021059209141036005,5.25
20210828_AWC_WT_HEX_10K_2_reg.tif,22,854.807,212.776,642.031,659.89895,-0.02707679713689507,5.5
20210828_AWC_WT_HEX_10K_2_reg.tif,23,853.655,214.552,639.103,659.89895,-0.03151384011142928,5.75
20210828_AWC_WT_HEX_10K_2_reg.tif,24,848.059,213.597,634.462,659.89895,-0.038546735072089486,6
20210828_AWC_WT_HEX_10K_2_reg.tif,25,848.034,213.687,634.347,659.89895,-0.03872100417798821,6.25
20210828_AWC_WT_HEX_10K_2_reg.tif,26,843.916,213.552,630.364,659.89895,-0.044756776776201844,6.5
20210828_AWC_WT_HEX_10K_2_reg.tif,27,844.521,213.269,631.252,659.89895,-0.043411116201957985,6.75
20210828_AWC_WT_HEX_10K_2_reg.tif,28,842.655,213.761,628.894,659.89895,-0.04698439056464631,7
20210828_AWC_WT_HEX_10K_2_reg.tif,29,840.538,213.851,626.687,659.89895,-0.05032884201437205,7.25
20210828_AWC_WT_HEX_10K_2_reg.tif,30,836.059,214.075,621.9839999999999,659.89895,-0.0574556907538648,7.5
20210828_AWC_WT_HEX_10K_2_reg.tif,31,835.597,213.657,621.9399999999999,659.89895,-0.05752236762916515,7.75
20210828_AWC_WT_HEX_10K_2_reg.tif,32,831.563,213.791,617.7719999999999,659.89895,-0.06383848618034636,8
20210828_AWC_WT_HEX_10K_2_reg.tif,33,827.059,213.866,613.193,659.89895,-0.07077742736217421,8.25
20210828_AWC_WT_HEX_10K_2_reg.tif,34,827,213.224,613.7760000000001,659.89895,-0.06989395876444408,8.5
20210828_AWC_WT_HEX_10K_2_reg.tif,35,828.975,212.896,616.0790000000001,659.89895,-0.06640403049588114,8.75
20210828_AWC_WT_HEX_10K_2_reg.tif,36,824.319,213.851,610.468,659.89895,-0.07490684748020898,9
20210828_AWC_WT_HEX_10K_2_reg.tif,37,820.874,214.254,606.62,659.89895,-0.08073804330193284,9.25
20210828_AWC_WT_HEX_10K_2_reg.tif,38,816.403,213.224,603.1790000000001,659.89895,-0.08595247802712813,9.5
20210828_AWC_WT_HEX_10K_2_reg.tif,39,813.723,212.955,600.7679999999999,659.89895,-0.08960606771688316,9.75
20210828_AWC_WT_HEX_10K_2_reg.tif,40,808.58,213.701,594.879,659.89895,-0.0985301613224267,10
20210828_AWC_WT_HEX_10K_2_reg.tif,41,806.235,213.463,592.772,659.89895,-0.10172307441919701,10.25
20210828_AWC_WT_HEX_10K_2_reg.tif,42,801.765,213.164,588.601,659.89895,-0.10804373912096694,10.5
