animal,Slice,MeanGCaMP,MeanBackground,Fluor,Fnaut,signal,time
20210829_AWC_WT_HEX_10K__1_reg.tif,1,624.135,231.561,392.57399999999996,388.67415,0.010033726194551291,0.25
20210829_AWC_WT_HEX_10K__1_reg.tif,2,620.965,231.976,388.98900000000003,388.67415,8.100615901521503e-4,0.5
20210829_AWC_WT_HEX_10K__1_reg.tif,3,622.05,231.707,390.34299999999996,388.67415,0.004293699490948815,0.75
20210829_AWC_WT_HEX_10K__1_reg.tif,4,621.17,233.073,388.097,388.67415,-0.0014849199515841673,1
20210829_AWC_WT_HEX_10K__1_reg.tif,5,619.624,232.902,386.72200000000004,388.67415,-0.005022587686883628,1.25
20210829_AWC_WT_HEX_10K__1_reg.tif,6,619.113,231.659,387.45400000000006,388.67415,-0.003139262027073148,1.5
20210829_AWC_WT_HEX_10K__1_reg.tif,7,618.936,233.122,385.814,388.67415,-0.007358734816812427,1.75
20210829_AWC_WT_HEX_10K__1_reg.tif,8,619.652,232.268,387.384,388.67415,-0.003319361475415802,2
20210829_AWC_WT_HEX_10K__1_reg.tif,9,618.801,233.244,385.557,388.67415,-0.008019957077155712,2.25
20210829_AWC_WT_HEX_10K__1_reg.tif,10,621.496,232.878,388.618,388.67415,-1.4446548606333187e-4,2.5
20210829_AWC_WT_HEX_10K__1_reg.tif,11,621.688,233.293,388.395,388.67415,-7.182108714974113e-4,2.75
20210829_AWC_WT_HEX_10K__1_reg.tif,12,622.411,231.854,390.5569999999999,388.67415,0.004844289233024386,3
20210829_AWC_WT_HEX_10K__1_reg.tif,13,621.142,232.61,388.53200000000004,388.67415,-3.657305225983211e-4,3.25
20210829_AWC_WT_HEX_10K__1_reg.tif,14,617.092,232.244,384.84799999999996,388.67415,-0.009844107203939446,3.5
20210829_AWC_WT_HEX_10K__1_reg.tif,15,618.858,232.634,386.22399999999993,388.67415,-0.006303866619377863,3.75
20210829_AWC_WT_HEX_10K__1_reg.tif,16,621.695,232.317,389.37800000000004,388.67415,0.0018108999530842104,4
20210829_AWC_WT_HEX_10K__1_reg.tif,17,625.681,232.707,392.97400000000005,388.67415,0.011062865899365958,4.25
20210829_AWC_WT_HEX_10K__1_reg.tif,18,625.972,232.634,393.33799999999997,388.67415,0.011999383030746881,4.5
20210829_AWC_WT_HEX_10K__1_reg.tif,19,622.752,233.39,389.36199999999997,388.67415,0.0017697343648914367,4.75
20210829_AWC_WT_HEX_10K__1_reg.tif,20,621.957,233.634,388.323,388.67415,-9.034560183640159e-4,5
20210829_AWC_WT_HEX_10K__1_reg.tif,21,618,232.902,385.098,388.67415,-0.00920089488843028,5.25
20210829_AWC_WT_HEX_10K__1_reg.tif,22,614.908,233.634,381.274,388.67415,-0.019039470466456276,5.5
20210829_AWC_WT_HEX_10K__1_reg.tif,23,615.05,233.244,381.8059999999999,388.67415,-0.017670714659053274,5.75
20210829_AWC_WT_HEX_10K__1_reg.tif,24,618.113,233.317,384.79600000000005,388.67415,-0.009977895365565084,6
20210829_AWC_WT_HEX_10K__1_reg.tif,25,622.411,234.024,388.38699999999994,388.67415,-7.387936655937981e-4,6.25
20210829_AWC_WT_HEX_10K__1_reg.tif,26,620.447,231.293,389.154,388.67415,0.0012345817183880097,6.5
20210829_AWC_WT_HEX_10K__1_reg.tif,27,619.95,233.39,386.56000000000006,388.67415,-0.005439389267333416,6.75
20210829_AWC_WT_HEX_10K__1_reg.tif,28,619.376,233.78,385.596,388.67415,-0.007919615955936338,7
20210829_AWC_WT_HEX_10K__1_reg.tif,29,620.83,231.951,388.879,388.67415,5.270481713281466e-4,7.25
20210829_AWC_WT_HEX_10K__1_reg.tif,30,623.433,233.561,389.87199999999996,388.67415,0.003081887488529813,7.5
20210829_AWC_WT_HEX_10K__1_reg.tif,31,624.667,233.488,391.17900000000003,388.67415,0.006444601474011156,7.75
20210829_AWC_WT_HEX_10K__1_reg.tif,32,625.135,233.366,391.769,388.67415,0.007962582538612378,8
20210829_AWC_WT_HEX_10K__1_reg.tif,33,625.972,233.561,392.41099999999994,388.67415,0.009614351764839383,8.25
20210829_AWC_WT_HEX_10K__1_reg.tif,34,624.532,232.732,391.80000000000007,388.67415,0.008042340865735657,8.5
20210829_AWC_WT_HEX_10K__1_reg.tif,35,621.454,232.585,388.8689999999999,388.67415,5.013196787075167e-4,8.75
20210829_AWC_WT_HEX_10K__1_reg.tif,36,621.574,232.902,388.67199999999997,388.67415,-5.531625913451512e-6,9
20210829_AWC_WT_HEX_10K__1_reg.tif,37,622.241,232.268,389.97299999999996,388.67415,0.003341745263995455,9.25
20210829_AWC_WT_HEX_10K__1_reg.tif,38,629.809,233.22,396.58899999999994,388.67415,0.02036371598162611,9.5
20210829_AWC_WT_HEX_10K__1_reg.tif,39,633.007,233.537,399.4699999999999,388.67415,0.02777609470555198,9.75
20210829_AWC_WT_HEX_10K__1_reg.tif,40,634.404,233.171,401.233,388.67415,0.03231202795452182,10
20210829_AWC_WT_HEX_10K__1_reg.tif,41,630.291,234.146,396.1450000000001,388.67415,0.019221370909282488,10.25
20210829_AWC_WT_HEX_10K__1_reg.tif,42,631.603,232.78,398.823,388.67415,0.026111461233014808,10.5
20210829_AWC_WT_HEX_10K__1_reg.tif,43,631.234,232.463,398.7710000000001,388.67415,0.02597767307138917,10.75
20210829_AWC_WT_HEX_10K__1_reg.tif,44,630.972,233.805,397.167,388.67415,0.021850822855083045,11
20210829_AWC_WT_HEX_10K__1_reg.tif,45,633.688,234.439,399.249,388.67415,0.02720749501864229,11.25
20210829_AWC_WT_HEX_10K__1_reg.tif,46,634.589,233.073,401.5160000000001,388.67415,0.03304014429567822,11.5
20210829_AWC_WT_HEX_10K__1_reg.tif,47,636.426,233.293,403.13300000000004,388.67415,0.037200441552390454,11.75
20210829_AWC_WT_HEX_10K__1_reg.tif,48,637.135,234,403.135,388.67415,0.037205587250914406,12
20210829_AWC_WT_HEX_10K__1_reg.tif,49,638.589,232.927,405.66200000000003,388.67415,0.04370717733607969,12.25
20210829_AWC_WT_HEX_10K__1_reg.tif,50,640.638,231.878,408.76000000000005,388.67415,0.05167786434986749,12.5
20210829_AWC_WT_HEX_10K__1_reg.tif,51,645.007,233.805,411.20199999999994,388.67415,0.057960762247759326,12.75
20210829_AWC_WT_HEX_10K__1_reg.tif,52,646.879,233.732,413.14700000000005,388.67415,0.06296495406241977,13
20210829_AWC_WT_HEX_10K__1_reg.tif,53,647.496,233.488,414.008,388.67415,0.06518017727703267,13.25
20210829_AWC_WT_HEX_10K__1_reg.tif,54,646.56,233.634,412.92599999999993,388.67415,0.06239635437550949,13.5
20210829_AWC_WT_HEX_10K__1_reg.tif,55,649.844,233.585,416.259,388.67415,0.07097166096587595,13.75
20210829_AWC_WT_HEX_10K__1_reg.tif,56,648.752,234.171,414.58099999999996,388.67415,0.06665441990417928,14
20210829_AWC_WT_HEX_10K__1_reg.tif,57,647.227,233.756,413.471,388.67415,0.06379855722331934,14.25
20210829_AWC_WT_HEX_10K__1_reg.tif,58,646.213,233.341,412.87199999999996,388.67415,0.06225742051535962,14.5
20210829_AWC_WT_HEX_10K__1_reg.tif,59,645.567,233.683,411.884,388.67415,0.059715445444468114,14.75
20210829_AWC_WT_HEX_10K__1_reg.tif,60,645.035,233.22,411.81499999999994,388.67415,0.059537918845387436,15
20210829_AWC_WT_HEX_10K__1_reg.tif,61,645.617,234,411.61699999999996,388.67415,0.05902849469150435,15.25
20210829_AWC_WT_HEX_10K__1_reg.tif,62,646.426,233.293,413.13300000000004,388.67415,0.06292893417275124,15.5
20210829_AWC_WT_HEX_10K__1_reg.tif,63,647.929,234.146,413.783,388.67415,0.06460128619307463,15.75
20210829_AWC_WT_HEX_10K__1_reg.tif,64,650.66,233.122,417.53799999999995,388.67415,0.07426233517201995,16
20210829_AWC_WT_HEX_10K__1_reg.tif,65,654.73,233.024,421.706,388.67415,0.08498597089618648,16.25
20210829_AWC_WT_HEX_10K__1_reg.tif,66,650.773,233.683,417.09000000000003,388.67415,0.07310969870262798,16.5
20210829_AWC_WT_HEX_10K__1_reg.tif,67,650.021,233.049,416.972,388.67415,0.07280610248970759,16.75
20210829_AWC_WT_HEX_10K__1_reg.tif,68,649.468,232.902,416.566,388.67415,0.07176152568932093,17
20210829_AWC_WT_HEX_10K__1_reg.tif,69,645.021,234.585,410.4359999999999,388.67415,0.05598995971303963,17.25
20210829_AWC_WT_HEX_10K__1_reg.tif,70,642.163,234.341,407.822,388.67415,0.04926453174207754,17.5
20210829_AWC_WT_HEX_10K__1_reg.tif,71,636.965,234.805,402.16,388.67415,0.034697059220429316,17.75
20210829_AWC_WT_HEX_10K__1_reg.tif,72,636.681,234.561,402.12,388.67415,0.03459414524994782,18
20210829_AWC_WT_HEX_10K__1_reg.tif,73,639.149,234.22,404.929,388.67415,0.041821278827007084,18.25
20210829_AWC_WT_HEX_10K__1_reg.tif,74,640.716,233.585,407.131,388.67415,0.047486692902010526,18.5
20210829_AWC_WT_HEX_10K__1_reg.tif,75,639.191,233.073,406.11800000000005,388.67415,0.04488039659956818,18.75
20210829_AWC_WT_HEX_10K__1_reg.tif,76,639.298,234.122,405.176,388.67415,0.04245677259473003,19
20210829_AWC_WT_HEX_10K__1_reg.tif,77,636.809,233.829,402.97999999999996,388.67415,0.03680679561529874,19.25
20210829_AWC_WT_HEX_10K__1_reg.tif,78,637.078,235.098,401.97999999999996,388.67415,0.03423394635326266,19.5
20210829_AWC_WT_HEX_10K__1_reg.tif,79,640.227,233.78,406.447,388.67415,0.04572686400677793,19.75
20210829_AWC_WT_HEX_10K__1_reg.tif,80,647.816,235.098,412.718,388.67415,0.061861201729006214,20
20210829_AWC_WT_HEX_10K__1_reg.tif,81,647.908,234.829,413.079,388.67415,0.06279000031260121,20.25
20210829_AWC_WT_HEX_10K__1_reg.tif,82,650.014,234.146,415.86800000000005,388.67415,0.06996567690441995,20.5
20210829_AWC_WT_HEX_10K__1_reg.tif,83,647.83,234.707,413.12300000000005,388.67415,0.0629032056801309,20.75
20210829_AWC_WT_HEX_10K__1_reg.tif,84,650.255,234.439,415.81600000000003,388.67415,0.06983188874279402,21
20210829_AWC_WT_HEX_10K__1_reg.tif,85,650.128,233.659,416.46900000000005,388.67415,0.07151195931090362,21.25
20210829_AWC_WT_HEX_10K__1_reg.tif,86,649.773,233.659,416.11400000000003,388.67415,0.07059859782288078,21.5
