animal,Slice,MeanGCaMP,MeanBackground,Fluor,Fnaut,signal,time
20200914_AWC_tax4_p678_HEX_IAA_10K__2_reg.tif,1,597.566,217.161,380.40500000000003,382.89315,-0.00649828809943443,0.25
20200914_AWC_tax4_p678_HEX_IAA_10K__2_reg.tif,2,596.92,216.677,380.24299999999994,382.89315,-0.006921382636383162,0.5
20200914_AWC_tax4_p678_HEX_IAA_10K__2_reg.tif,3,597.513,216.355,381.158,382.89315,-0.0045316820110257285,0.75
20200914_AWC_tax4_p678_HEX_IAA_10K__2_reg.tif,4,598.115,217.097,381.01800000000003,382.89315,-0.004897319265178712,1
20200914_AWC_tax4_p678_HEX_IAA_10K__2_reg.tif,5,598.442,217.548,380.894,382.89315,-0.005221169404571448,1.25
20200914_AWC_tax4_p678_HEX_IAA_10K__2_reg.tif,6,597.496,217.871,379.625,382.89315,-0.008535409944001326,1.5
20200914_AWC_tax4_p678_HEX_IAA_10K__2_reg.tif,7,598.301,216.613,381.68800000000005,382.89315,-0.0031474838345892228,1.75
20200914_AWC_tax4_p678_HEX_IAA_10K__2_reg.tif,8,600.867,216.516,384.351,382.89315,0.003807459078335582,2
20200914_AWC_tax4_p678_HEX_IAA_10K__2_reg.tif,9,598.195,216.871,381.32400000000007,382.89315,-0.004098140695387009,2.25
20200914_AWC_tax4_p678_HEX_IAA_10K__2_reg.tif,10,601.602,218.065,383.537,382.89315,0.001681539614902973,2.5
20200914_AWC_tax4_p678_HEX_IAA_10K__2_reg.tif,11,597.451,217.194,380.25700000000006,382.89315,-0.006884818910967537,2.75
20200914_AWC_tax4_p678_HEX_IAA_10K__2_reg.tif,12,598.168,216.194,381.97400000000005,382.89315,-0.002400539158248052,3
20200914_AWC_tax4_p678_HEX_IAA_10K__2_reg.tif,13,600.274,216.903,383.371,382.89315,0.0012479982992644018,3.25
20200914_AWC_tax4_p678_HEX_IAA_10K__2_reg.tif,14,599.982,217.452,382.53,382.89315,-9.484369203262549e-4,3.5
20200914_AWC_tax4_p678_HEX_IAA_10K__2_reg.tif,15,601.177,216.581,384.596,382.89315,0.004447324273103377,3.75
20200914_AWC_tax4_p678_HEX_IAA_10K__2_reg.tif,16,602.496,217.806,384.68999999999994,382.89315,0.00469282357232024,4
20200914_AWC_tax4_p678_HEX_IAA_10K__2_reg.tif,17,602.867,217.903,384.96399999999994,382.89315,0.005408427912591151,4.25
20200914_AWC_tax4_p678_HEX_IAA_10K__2_reg.tif,18,603.15,216.387,386.763,382.89315,0.010106866628457535,4.5
20200914_AWC_tax4_p678_HEX_IAA_10K__2_reg.tif,19,604.602,217.968,386.634,382.89315,0.009769958015702353,4.75
20200914_AWC_tax4_p678_HEX_IAA_10K__2_reg.tif,20,605.841,218,387.841,382.89315,0.012922273485435863,5
20200914_AWC_tax4_p678_HEX_IAA_10K__2_reg.tif,21,606.053,217.968,388.08500000000004,382.89315,0.013559526985531199,5.25
20200914_AWC_tax4_p678_HEX_IAA_10K__2_reg.tif,22,606.159,218.065,388.094,382.89315,0.013583032237583783,5.5
20200914_AWC_tax4_p678_HEX_IAA_10K__2_reg.tif,23,606.796,217.226,389.57000000000005,382.89315,0.017437893574225757,5.75
20200914_AWC_tax4_p678_HEX_IAA_10K__2_reg.tif,24,608.398,217.258,391.14,382.89315,0.021538254210084446,6
20200914_AWC_tax4_p678_HEX_IAA_10K__2_reg.tif,25,608,217.903,390.097,382.89315,0.01881425666664444,6.25
20200914_AWC_tax4_p678_HEX_IAA_10K__2_reg.tif,26,608.195,217.677,390.51800000000003,382.89315,0.019913780123776145,6.5
20200914_AWC_tax4_p678_HEX_IAA_10K__2_reg.tif,27,609.044,216.355,392.68899999999996,382.89315,0.025583769257820292,6.75
20200914_AWC_tax4_p678_HEX_IAA_10K__2_reg.tif,28,611.522,217.871,393.65100000000007,382.89315,0.028096219532786303,7
20200914_AWC_tax4_p678_HEX_IAA_10K__2_reg.tif,29,610.416,217.452,392.96400000000006,382.89315,0.02630198529276396,7.25
20200914_AWC_tax4_p678_HEX_IAA_10K__2_reg.tif,30,611.655,216.774,394.881,382.89315,0.031308603979987575,7.5
20200914_AWC_tax4_p678_HEX_IAA_10K__2_reg.tif,31,611.142,218,393.14200000000005,382.89315,0.02676686694447279,7.75
20200914_AWC_tax4_p678_HEX_IAA_10K__2_reg.tif,32,614.398,216.71,397.688,382.89315,0.03863963092575565,8
20200914_AWC_tax4_p678_HEX_IAA_10K__2_reg.tif,33,611.46,217,394.46000000000004,382.89315,0.030209080522856167,8.25
20200914_AWC_tax4_p678_HEX_IAA_10K__2_reg.tif,34,613.602,217.968,395.634,382.89315,0.03327521006839643,8.5
20200914_AWC_tax4_p678_HEX_IAA_10K__2_reg.tif,35,614.168,216.355,397.813,382.89315,0.038966092759820846,8.75
20200914_AWC_tax4_p678_HEX_IAA_10K__2_reg.tif,36,614.947,217,397.947,382.89315,0.03931605984593877,9
20200914_AWC_tax4_p678_HEX_IAA_10K__2_reg.tif,37,618.381,218.161,400.21999999999997,382.89315,0.045252441836580205,9.25
20200914_AWC_tax4_p678_HEX_IAA_10K__2_reg.tif,38,617.46,217.097,400.36300000000006,382.89315,0.04562591417475101,9.5
20200914_AWC_tax4_p678_HEX_IAA_10K__2_reg.tif,39,616,217.355,398.645,382.89315,0.04113902272735877,9.75
20200914_AWC_tax4_p678_HEX_IAA_10K__2_reg.tif,40,616.398,217.742,398.65600000000006,382.89315,0.04116775136875672,10
20200914_AWC_tax4_p678_HEX_IAA_10K__2_reg.tif,41,616.584,216.903,399.6809999999999,382.89315,0.043844738408090965,10.25
20200914_AWC_tax4_p678_HEX_IAA_10K__2_reg.tif,42,618.673,217.29,401.38300000000004,382.89315,0.04828984274072296,10.5
20200914_AWC_tax4_p678_HEX_IAA_10K__2_reg.tif,43,620.442,217.258,403.18399999999997,382.89315,0.05299350484593412,10.75
20200914_AWC_tax4_p678_HEX_IAA_10K__2_reg.tif,44,621.442,217.194,404.24800000000005,382.89315,0.055772347977497264,11
20200914_AWC_tax4_p678_HEX_IAA_10K__2_reg.tif,45,617.54,217.452,400.08799999999997,382.89315,0.04490769813980734,11.25
20200914_AWC_tax4_p678_HEX_IAA_10K__2_reg.tif,46,617.469,218.452,399.01700000000005,382.89315,0.04211057314553698,11.5
20200914_AWC_tax4_p678_HEX_IAA_10K__2_reg.tif,47,618.593,216.968,401.625,382.89315,0.04892187285147308,11.75
20200914_AWC_tax4_p678_HEX_IAA_10K__2_reg.tif,48,619.106,217.484,401.62199999999996,382.89315,0.0489140377674554,12
20200914_AWC_tax4_p678_HEX_IAA_10K__2_reg.tif,49,614.814,217.871,396.943,382.89315,0.036693918394727076,12.25
20200914_AWC_tax4_p678_HEX_IAA_10K__2_reg.tif,50,618.77,218,400.77,382.89315,0.046688873906467095,12.5
20200914_AWC_tax4_p678_HEX_IAA_10K__2_reg.tif,51,619.54,217.419,402.121,382.89315,0.05021727340904372,12.75
20200914_AWC_tax4_p678_HEX_IAA_10K__2_reg.tif,52,620.027,218.323,401.70400000000006,382.89315,0.04912819673060245,13
20200914_AWC_tax4_p678_HEX_IAA_10K__2_reg.tif,53,620.531,217.419,403.11199999999997,382.89315,0.05280546282951255,13.25
