animal,Slice,MeanGCaMP,MeanBackground,Fluor,Fnaut,signal,time
20210830_AWC_tax4_p678_HEX_IAA_10K__9_reg.tif,1,309.568,219.71,89.85799999999998,88.03035,0.020761589610855544,0.25
20210830_AWC_tax4_p678_HEX_IAA_10K__9_reg.tif,2,306.31,220.57,85.74000000000001,88.03035,-0.026017731384687093,0.5
20210830_AWC_tax4_p678_HEX_IAA_10K__9_reg.tif,3,306.392,220.46,85.93199999999999,88.03035,-0.023836665422777605,0.75
20210830_AWC_tax4_p678_HEX_IAA_10K__9_reg.tif,4,306.196,221.42,84.77600000000004,88.03035,-0.036968500068441844,1
20210830_AWC_tax4_p678_HEX_IAA_10K__9_reg.tif,5,308.429,221.09,87.33899999999997,88.03035,-0.007853541420658083,1.25
20210830_AWC_tax4_p678_HEX_IAA_10K__9_reg.tif,6,307.94,220.95,86.99000000000001,88.03035,-0.011818083195170637,1.5
20210830_AWC_tax4_p678_HEX_IAA_10K__9_reg.tif,7,307.36,220.55,86.81,88.03035,-0.013862832534461083,1.75
20210830_AWC_tax4_p678_HEX_IAA_10K__9_reg.tif,8,306.345,220.78,85.56500000000003,88.03035,-0.028005682131219203,2
20210830_AWC_tax4_p678_HEX_IAA_10K__9_reg.tif,9,308.136,220.05,88.08600000000001,88.03035,6.321683373974338e-4,2.25
20210830_AWC_tax4_p678_HEX_IAA_10K__9_reg.tif,10,306.042,221.23,84.81199999999998,88.03035,-0.036559550200584406,2.5
20210830_AWC_tax4_p678_HEX_IAA_10K__9_reg.tif,11,310.318,220.76,89.55799999999999,88.03035,0.017353674045371786,2.75
20210830_AWC_tax4_p678_HEX_IAA_10K__9_reg.tif,12,310.412,220.31,90.10199999999998,88.03035,0.023533360937449153,3
20210830_AWC_tax4_p678_HEX_IAA_10K__9_reg.tif,13,310.873,220.12,90.75299999999999,88.03035,0.030928537714549443,3.25
20210830_AWC_tax4_p678_HEX_IAA_10K__9_reg.tif,14,310.63,220.62,90.00999999999999,88.03035,0.022488266830700918,3.5
20210830_AWC_tax4_p678_HEX_IAA_10K__9_reg.tif,15,310.677,220.38,90.29700000000003,88.03035,0.025748506055014286,3.75
20210830_AWC_tax4_p678_HEX_IAA_10K__9_reg.tif,16,310.139,220.4,89.739,88.03035,0.0194097831032139,4
20210830_AWC_tax4_p678_HEX_IAA_10K__9_reg.tif,17,310.814,220.8,90.01400000000001,88.03035,0.022533705704907585,4.25
20210830_AWC_tax4_p678_HEX_IAA_10K__9_reg.tif,18,308.521,220.75,87.771000000000015,88.03035,-0.0029461430063606876,4.5
20210830_AWC_tax4_p678_HEX_IAA_10K__9_reg.tif,19,306.744,221.21,85.53400000000002,88.03035,-0.02835783340631928,4.75
20210830_AWC_tax4_p678_HEX_IAA_10K__9_reg.tif,20,311.501,220.58,90.92099999999996,88.03035,0.032836970431220205,5
20210830_AWC_tax4_p678_HEX_IAA_10K__9_reg.tif,21,311.514,219.36,92.154,88.03035,0.0468435034053596,5.25
20210830_AWC_tax4_p678_HEX_IAA_10K__9_reg.tif,22,312.114,219.94,92.17399999999998,88.03035,0.04707069777639166,5.5
20210830_AWC_tax4_p678_HEX_IAA_10K__9_reg.tif,23,312.03,220.62,91.40999999999997,88.03035,0.03839187280295909,5.75
20210830_AWC_tax4_p678_HEX_IAA_10K__9_reg.tif,24,312.725,220.63,92.09500000000003,88.03035,0.04617328001081478,6
20210830_AWC_tax4_p678_HEX_IAA_10K__9_reg.tif,25,313.268,220.25,93.01799999999997,88.03035,0.05665830023395311,6.25
