animal,animal_num,time_at_maxON,stim_ON_delF,time_at_maxOFF,stim_OFF_delF
20200914_AWC_tax4_p678_HEX_IAA_10K__1/20200914_AWC_tax4_p678_HEX_IAA_10K__1_ImageJ_data.csv,1,40.25,0.01884075618942112,61.25,0.02586411892599565
20200914_AWC_tax4_p678_HEX_IAA_10K__2/20200914_AWC_tax4_p678_HEX_IAA_10K__2_ImageJ_data.csv,2,32.5,-0.012977320716940991,69.5,0.019006709644091076
20200914_AWC_tax4_p678_HEX_IAA_10K__3/20200914_AWC_tax4_p678_HEX_IAA_10K__3_ImageJ_data.csv,3,38.25,0.01904030896109507,67,-0.018579336803557712
20200914_AWC_tax4_p678_HEX_IAA_10K__4/20200914_AWC_tax4_p678_HEX_IAA_10K__4_ImageJ_data.csv,4,36.25,0.05770656771863857,69,-0.05278800782339527
20200914_AWC_tax4_p678_HEX_IAA_10K__5/20200914_AWC_tax4_p678_HEX_IAA_10K__5_ImageJ_data.csv,5,40,-0.05401518596228094,65.5,-0.0632050107088859
20200914_AWC_tax4_p678_HEX_IAA_10K__6/20200914_AWC_tax4_p678_HEX_IAA_10K__6_ImageJ_data.csv,6,35.5,0.0640622648831603,66.5,-0.07358611504440493
20200914_AWC_tax4_p678_HEX_IAA_10K__7/20200914_AWC_tax4_p678_HEX_IAA_10K__7_ImageJ_data.csv,7,39,-0.021244865796447347,65.75,-0.03429803720319929
20200914_AWC_tax4_p678_HEX_IAA_10K__8/20200914_AWC_tax4_p678_HEX_IAA_10K__8_ImageJ_data.csv,8,31.25,0.030415124763261178,62.75,-0.015410771631351112
20210830_AWC_tax4_p678_HEX_IAA_10K__4/20210830_AWC_tax4_p678_HEX_IAA_10K__4_ImageJ_data.csv,9,31.25,-0.01553010880750666,66.5,-0.04943836167705475
20210830_AWC_tax4_p678_HEX_IAA_10K__5/20210830_AWC_tax4_p678_HEX_IAA_10K__5_ImageJ_data.csv,10,40.25,-0.05126795144008985,64.25,-0.06504893541721696
20210830_AWC_tax4_p678_HEX_IAA_10K__6/20210830_AWC_tax4_p678_HEX_IAA_10K__6_ImageJ_data.csv,11,39.5,-0.06621889123033495,69.75,0.07252739505300332
20210830_AWC_tax4_p678_HEX_IAA_10K__7/20210830_AWC_tax4_p678_HEX_IAA_10K__7_ImageJ_data.csv,12,34.5,-0.07203267734136531,69.75,0.14694264694996612
20210830_AWC_tax4_p678_HEX_IAA_10K__8/20210830_AWC_tax4_p678_HEX_IAA_10K__8_ImageJ_data.csv,13,37.75,-0.05190467263781368,69,-0.05711461632659986
20210830_AWC_tax4_p678_HEX_IAA_10K__9/20210830_AWC_tax4_p678_HEX_10K__9_ImageJ_data.csv,14,30.75,-0.03986201406032671,70,0.055268701775094325
